EndEffector,StartFrame,EndFrame,PreserveAbsoluteRotation,Target,ManipulatedObjectHandle,ManipulationEndFrame
RWrist,0,0,true,null,SpongeHandle,704
RWrist,19,211,true,null,null,-1
RWrist,227,244,true,null,null,-1
RWrist,266,368,true,null,null,-1
RWrist,381,400,true,null,null,-1
RWrist,422,512,true,null,null,-1
RWrist,524,552,true,null,null,-1
RWrist,576,653,true,null,null,-1
RWrist,667,690,true,null,null,-1
LWrist,227,240,true,null,null,-1
LWrist,381,395,true,null,null,-1
LWrist,524,544,true,null,null,-1
LWrist,667,687,true,null,null,-1
