Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
NormanNew,MakeSandwichGaze1Start-Ahead,1,-1,8,null,"0 0 0",0,0,True
NormanNew,MakeSandwichGaze1,9,8,52,Balogna-0,"0 0 0",1,0.9635941,True
NormanNew,MakeSandwichGaze3,53,11,90,MakeSandwichEnv-0,"0 0 0",0.9657568,0.4215597,True
NormanNew,MakeSandwichGaze4,91,10,115,Floor-1,"0 0 0",1,0.9810111,True
NormanNew,MakeSandwichGaze5,116,14,142,Bread1-0,"0 0 0",1,0.3544196,True
NormanNew,MakeSandwichGaze6,143,7,166,Lettuce1-0,"0 0 0",1,0.203205,True
NormanNew,MakeSandwichGaze7,167,10,177,Floor-2,"0 0 0",0.3750833,0.1744806,True
NormanNew,MakeSandwichGaze8,178,14,216,Floor-3,"0 0 0",0.9438526,0.5682063,True
NormanNew,MakeSandwichGaze9,217,8,232,Floor-4,"0 0 0",1,0.3123615,True
NormanNew,MakeSandwichGaze11,233,13,294,Tomatoes-0,"0 0 0",1,1,True
NormanNew,MakeSandwichGaze12,295,11,333,Floor-5,"0 0 0",0.9374942,0.523131,True
NormanNew,MakeSandwichGaze13,334,19,353,Floor-6,"0 0 0",1,0.645652,True
NormanNew,MakeSandwichGaze14,354,21,375,Bread2-0,"0 0 0",1,0.1271811,True
NormanNew,MakeSandwichGaze15,376,12,428,Lettuce1-1,"0 0 0",1,0.084438,True
NormanNew,MakeSandwichGaze17,429,10,472,Floor-7,"0 0 0",1,0.5899017,True
NormanNew,MakeSandwichGaze19,473,8,481,Floor-9,"0 0 0",0.4695561,0.5570182,True
NormanNew,MakeSandwichGaze20,482,26,508,Floor-10,"0 0 0",1,0.6546726,True
NormanNew,MakeSandwichGaze21,509,8,576,Bacon-0,"0 0 0",1,0.1403875,True
NormanNew,MakeSandwichGaze23,577,10,627,Floor-11,"0 0 0",0.9337804,0.4668495,True
NormanNew,MakeSandwichGaze24,628,11,646,Floor-12,"0 0 0",1,0.4953232,True
NormanNew,MakeSandwichGaze25,647,8,655,Floor-13,"0 0 0",0.4765097,0.4308902,True
NormanNew,MakeSandwichGaze26,656,27,715,TableTop2-0,"0 0 0",1,0.8198203,True
NormanNew,MakeSandwichGaze27,716,15,802,MakeSandwichEnv-1,"0 0 0",1,0.548059,True
NormanNew,MakeSandwichGaze30,803,15,818,Floor-16,"0 0 0",0.7869092,0.5450718,True
NormanNew,MakeSandwichGaze31,819,15,834,Plane_001-0,"0 0 0",1,0.07842851,True
NormanNew,MakeSandwichGaze32,835,15,871,Plane_001-1,"0 0 0",1,0.5742108,True
NormanNew,MakeSandwichGaze33,872,15,892,Floor-17,"0 0 0",0.6668258,0.5647086,True
NormanNew,MakeSandwichGaze34,893,11,941,Floor-18,"0 0 0",0.9529418,0.5474362,True
NormanNew,MakeSandwichGaze35,942,17,977,Floor-19,"0 0 0",1,0.5518421,True
NormanNew,MakeSandwichGaze36,978,16,1029,Bread2-1,"0 0 0",1,0.194592,True
NormanNew,MakeSandwichGaze38,1030,14,1084,Floor-20,"0 0 0",0.8626381,0.57772,True
NormanNew,MakeSandwichGaze40,1085,11,1098,TableTop1-0,"0 0 0",1,0.4791129,True
