Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
NormanNew,MakeSandwichDemoGaze1Start-Ahead,1,-1,12,null,"-1.603385 3.152091 2.30821",0.9701124,0.07920919,True
NormanNew,MakeSandwichDemoGaze1,13,12,51,Lettuce-0,"0 0 0",0.8863517,0.4386229,True
NormanNew,MakeSandwichDemoGaze2,52,10,105,Screen-0,"0 0 0",0.1553205,0.3981136,True
NormanNew,MakeSandwichDemoGaze3,106,14,120,Screen-1,"0 0 0",0.558252,0.1954232,True
NormanNew,MakeSandwichDemoGaze4,121,23,144,Screen-2,"0 0 0",1,0.05253535,True
NormanNew,MakeSandwichDemoGaze5,145,18,178,Screen-3,"0 0 0",0.5347005,0.0187811,True
NormanNew,MakeSandwichDemoGaze6,179,16,195,Floor-0,"0 0 0",0.364924,0.09129881,True
NormanNew,MakeSandwichDemoGaze7,196,13,244,Screen-4,"0 0 0",1,0.1302955,True
NormanNew,MakeSandwichDemoGaze55,245,13,283,MakeSandwichDemo-0,"0 0 0",1,1,True
NormanNew,MakeSandwichDemoGaze8,284,18,308,Bread1-0,"0 0 0",0.4881103,0.5733906,True
NormanNew,MakeSandwichDemoGaze10,309,40,349,Bread2-0,"0 0 0",0.9826131,0.009704494,True
NormanNew,MakeSandwichDemoGaze11,350,9,359,Screen-5,"0 0 0",0.04601852,0.07613888,True
NormanNew,MakeSandwichDemoGaze12,360,27,387,Floor-1,"0 0 0",0.04909122,0.4321178,True
NormanNew,MakeSandwichDemoGaze13,388,18,515,Bread1-1,"0 0 0",1,0.06258702,True
NormanNew,MakeSandwichDemoGaze14,516,17,533,Floor-2,"0 0 0",0.924494,0.5978377,True
NormanNew,MakeSandwichDemoGaze15,534,15,590,Screen-6,"0 0 0",0.01659064,0.2049357,True
NormanNew,MakeSandwichDemoGaze16,591,13,607,Floor-3,"0 0 0",0.5751627,0,True
NormanNew,MakeSandwichDemoGaze17,608,8,630,Screen-7,"0 0 0",0.07126733,0.06857072,True
NormanNew,MakeSandwichDemoGaze18,631,18,649,Lettuce-1,"0 0 0",1,0.3337153,True
NormanNew,MakeSandwichDemoGaze19,650,20,693,Lettuce-2,"0 0 0",1,0,True
NormanNew,MakeSandwichDemoGaze20,694,21,826,Screen-8,"0 0 0",0.2787907,0.4002389,True
NormanNew,MakeSandwichDemoGaze21,827,15,842,Tomato-0,"0 0 0",0.3007563,0.3529091,True
NormanNew,MakeSandwichDemoGaze22,843,10,882,Tomato-1,"0 0 0",0.9902818,0,True
NormanNew,MakeSandwichDemoGaze23,883,11,894,Floor-4,"0 0 0",0.009378457,0.3570296,True
NormanNew,MakeSandwichDemoGaze24,895,16,968,Screen-9,"0 0 0",0.1714003,0.1691663,True
NormanNew,MakeSandwichDemoGaze25,969,15,1002,Screen-10,"0 0 0",0.2745486,0.3936897,True
NormanNew,MakeSandwichDemoGaze26,1003,36,1039,Floor-5,"0 0 0",0.7027612,0.1924601,True
NormanNew,MakeSandwichDemoGaze27,1040,29,1097,Bacon-0,"0 0 0",0.9557195,0.4369102,True
NormanNew,MakeSandwichDemoGaze28,1098,36,1134,Floor-6,"0 0 0",0.1751712,0.2900528,True
NormanNew,MakeSandwichDemoGaze29,1135,11,1198,Screen-11,"0 0 0",0.1686957,0.5872934,True
NormanNew,MakeSandwichDemoGaze30,1199,10,1209,Screen-12,"0 0 0",0.7238824,0.180057,True
NormanNew,MakeSandwichDemoGaze31,1210,14,1217,Screen-13,"0 0 0",0.8534271,0.9716519,True
NormanNew,MakeSandwichDemoGaze32,1218,25,1297,Floor-7,"0 0 0",0.8257014,0.4460979,True
NormanNew,MakeSandwichDemoGaze34,1298,11,1309,Floor-8,"0 0 0",0.3240442,0.2294132,True
NormanNew,MakeSandwichDemoGaze35,1310,24,1334,Screen-14,"0 0 0",0.05721541,0.0645811,True
NormanNew,MakeSandwichDemoGaze36,1335,25,1360,Floor-9,"0 0 0",0.7652676,0.1969763,True
NormanNew,MakeSandwichDemoGaze37,1361,19,1425,Turkey-0,"0 0 0",0.1408779,0.2835608,True
NormanNew,MakeSandwichDemoGaze38,1426,23,1496,Screen-15,"0 0 0",0.1148857,0.4161208,True
NormanNew,MakeSandwichDemoGaze39,1497,9,1528,Screen-16,"0 0 0",0.8097194,0.6454194,True
NormanNew,MakeSandwichDemoGaze40,1529,17,1618,Screen-2,"0 0 0",0.8753408,0.2476125,True
NormanNew,MakeSandwichDemoGaze42,1619,12,1676,Floor-11,"0 0 0",0.7377936,0.528648,True
NormanNew,MakeSandwichDemoGaze43,1677,9,1686,Swiss-0,"0 0 0",1,0.4525592,True
NormanNew,MakeSandwichDemoGaze44,1687,25,1727,Screen-11,"0 0 0",0.3347582,0.6897364,True
NormanNew,MakeSandwichDemoGaze45,1728,17,1745,Swiss-1,"0 0 0",1,0.08611999,True
NormanNew,MakeSandwichDemoGaze46,1746,21,1841,Floor-12,"0 0 0",0.04658582,0.08921246,True
NormanNew,MakeSandwichDemoGaze47,1842,8,1850,Floor-13,"0 0 0",0.8105667,0.4142636,True
NormanNew,MakeSandwichDemoGaze48,1851,8,1859,Floor-14,"0 0 0",0.0467259,0.126317,True
NormanNew,MakeSandwichDemoGaze49,1860,15,1894,Floor-15,"0 0 0",0.07858874,0.4208606,True
NormanNew,MakeSandwichDemoGaze50,1895,37,1961,Floor-16,"0 0 0",0.7965338,0.3151809,True
NormanNew,MakeSandwichDemoGaze51,1962,9,2002,Screen-17,"0 0 0",0.3506437,0.3510019,True
NormanNew,MakeSandwichDemoGaze52,2003,12,2015,Screen-18,"0 0 0",0.5446981,0.9842111,True
NormanNew,MakeSandwichDemoGaze53,2016,11,2038,Turkey-0,"0 0 0",1,0.05294435,True
NormanNew,MakeSandwichDemoGaze54,2039,20,2066,Bread1-0,"0 0 0",1,0.05374362,True
