Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
NormanNew,StackBoxesGaze1Start-Ahead,1,-1,29,null,"-0.3542393 3.828678 4.900356",0.948325,0.03437484,True
NormanNew,StackBoxesGaze1,30,18,48,EyeTrackAlign1-0,"0 0 0",0.4587137,0.1195924,True
NormanNew,StackBoxesGaze2,49,21,73,EyeTrackAlign3-0,"0 0 0",0.4897648,0.05033629,True
NormanNew,StackBoxesGaze3,74,15,101,pCube1-0,"0 0 0",0.7651886,0.4625393,True
NormanNew,StackBoxesGaze4,102,33,159,StackBoxesEnv-0,"0 0 0",0.3451498,0.6795375,True
NormanNew,StackBoxesGaze5,160,23,236,pCube1-1,"0 0 0",0.2127729,0.07689167,True
NormanNew,StackBoxesGaze6,237,14,251,pCube1-0,"0 0 0",1,0.0233632,True
NormanNew,StackBoxesGaze7,252,14,281,StackBoxesEnv-1,"0 0 0",0.3988351,0.390292,True
NormanNew,StackBoxesGaze8,282,14,348,pCube1-2,"0 0 0",1,0.07038108,True
NormanNew,StackBoxesGaze9,349,14,381,pCube1-3,"0 0 0",1,0.3626441,True
NormanNew,StackBoxesGaze10,382,11,393,Floor-0,"0 0 0",1,0.135431,True
NormanNew,StackBoxesGaze11,394,20,423,Floor-1,"0 0 0",0.05416442,0.3252569,True
NormanNew,StackBoxesGaze12,424,18,457,Floor-2,"0 0 0",0.3098233,0.1340743,True
NormanNew,StackBoxesGaze13,458,17,475,pCube2-0,"0 0 0",0.0571272,0.8188163,True
NormanNew,StackBoxesGaze14,476,19,531,Floor-3,"0 0 0",0.5648904,0.4209572,True
NormanNew,StackBoxesGaze15,532,7,539,EyeTrackAlign3-0,"0 0 0",0.3315911,0.7482516,True
NormanNew,StackBoxesGaze16,540,26,567,EyeTrackAlign1-0,"0 0 0",0.9994503,0.4451371,True
NormanNew,StackBoxesGaze17,568,25,595,pCube2-1,"0 0 0",1,0.1606721,True
NormanNew,StackBoxesGaze18,596,14,618,pCube2-2,"0 0 0",1,0.08136144,True
NormanNew,StackBoxesGaze19,619,14,654,Floor-4,"0 0 0",0.3199204,0.2807119,True
NormanNew,StackBoxesGaze20,655,24,683,Floor-5,"0 0 0",0.4368916,0,True
NormanNew,StackBoxesGaze21,684,14,700,StackBoxesEnv-2,"0 0 0",0.1729335,0.5367972,True
NormanNew,StackBoxesGaze22,701,17,724,Floor-6,"0 0 0",0.1345425,0.06594946,True
NormanNew,StackBoxesGaze23,725,21,746,EyeTrackAlign1-0,"0 0 0",0.4517984,0.05766769,True
NormanNew,StackBoxesGaze24,747,14,761,EyeTrackAlign3-0,"0 0 0",0.2658177,0.2951595,True
NormanNew,StackBoxesGaze25,762,14,777,pCube3-0,"0 0 0",0.4960981,0.6190069,True
NormanNew,StackBoxesGaze26,778,14,807,pCube3-1,"0 0 0",0.781369,0.4903055,True
NormanNew,StackBoxesGaze27,808,15,864,Floor-7,"0 0 0",0.2975934,0.2441434,True
NormanNew,StackBoxesGaze28,865,20,901,pCube3-0,"0 0 0",1,0.9999998,True
NormanNew,StackBoxesGaze29,902,10,912,pCube3-0,"0 0 0",1,0.06292763,True
NormanNew,StackBoxesGaze30,913,7,920,pCube2-2,"0 0 0",1,0.09110342,True
NormanNew,StackBoxesGaze31,921,7,928,pCube2-2,"0 0 0",1,0.09584258,True
NormanNew,StackBoxesGaze32,929,20,957,pCube3-2,"0 0 0",1,0.1494314,True
NormanNew,StackBoxesGaze33,958,16,979,pCube3-1,"0 0 0",1,0.1995032,True
NormanNew,StackBoxesGaze34,980,7,987,Floor-8,"0 0 0",0.1069985,0.03592693,True
NormanNew,StackBoxesGaze35,988,7,995,Floor-9,"0 0 0",0.06101942,0.1976036,True
NormanNew,StackBoxesGaze36,996,18,1014,Floor-10,"0 0 0",0.04856331,0.6890281,True
NormanNew,StackBoxesGaze37,1015,17,1035,pCube3-3,"0 0 0",1,0.1487953,True
NormanNew,StackBoxesGaze38,1036,17,1053,EyeTrackAlign1-0,"0 0 0",0.1990989,0.01326272,True
NormanNew,StackBoxesGaze39,1054,24,1078,EyeTrackAlign3-0,"0 0 0",0.0827351,0.3587645,True
NormanNew,StackBoxesGaze40,1079,17,1136,pCube4-0,"0 0 0",0.409245,0.6427435,True
NormanNew,StackBoxesGaze41,1137,20,1204,pCube4-0,"0 0 0",1,0.8459018,True
NormanNew,StackBoxesGaze42,1205,12,1217,EyeTrackAlign3-0,"0 0 0",1,0.8599927,True
NormanNew,StackBoxesGaze43,1218,24,1242,pCube4-1,"0 0 0",0.8360069,0.08577839,True
NormanNew,StackBoxesGaze44,1243,13,1256,pCube3-1,"0 0 0",1,0.08362605,True
NormanNew,StackBoxesGaze45,1257,36,1298,pCube3-0,"0 0 0",1,0.2307353,True
NormanNew,StackBoxesGaze46,1299,22,1325,StackBoxesEnv-3,"0 0 0",0.2812794,0.1080958,True
NormanNew,StackBoxesGaze47,1326,32,1414,pCube4-2,"0 0 0",1,0.1899926,True
NormanNew,StackBoxesGaze48,1415,26,1445,EyeTrackAlign2-0,"0 0 0",0.3588315,0.8731416,True
NormanNew,StackBoxesGaze49,1446,19,1485,Floor-11,"0 0 0",0.2123258,0.9999993,True
NormanNew,StackBoxesGaze50,1486,20,1543,Floor-12,"0 0 0",0.5686302,0.1514601,True
