Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
NormanNew,StackBoxesNewGaze1Start-Ahead,1,-1,8,null,"-4.465741 0.6385331 -0.446562",1,0.6352921,True
NormanNew,StackBoxesNewGaze1,9,8,46,Floor-0,"0 0 0",0.6184866,0.5864702,True
NormanNew,StackBoxesNewGaze2,47,13,94,Floor-1,"0 0 0",0.7536808,0.5003981,True
NormanNew,StackBoxesNewGaze3,95,13,108,StackBoxesNewEnv-0,"0 0 0",0.210447,0.4784346,True
NormanNew,StackBoxesNewGaze4,109,14,150,Floor-2,"0 0 0",0.04737891,0.01498111,True
NormanNew,StackBoxesNewGaze5,151,11,171,Floor-3,"0 0 0",0.8007804,0.6174718,True
NormanNew,StackBoxesNewGaze6,172,8,244,Floor-4,"0 0 0",1,0.830272,True
NormanNew,StackBoxesNewGaze7,245,15,263,Floor-5,"0 0 0",0.04364306,0.553455,True
NormanNew,StackBoxesNewGaze8,264,13,277,Floor-6,"0 0 0",0.01347272,0.5298523,True
NormanNew,StackBoxesNewGaze9,278,14,364,Floor-7,"0 0 0",0.06880951,0.5047853,True
NormanNew,StackBoxesNewGaze10,365,13,378,Floor-8,"0 0 0",1,1,True
NormanNew,StackBoxesNewGaze11,379,13,392,Floor-9,"0 0 0",0.8173827,0.7180345,True
NormanNew,StackBoxesNewGaze12,393,20,413,Floor-10,"0 0 0",0.8336635,0.581082,True
NormanNew,StackBoxesNewGaze13,414,27,524,Floor-11,"0 0 0",1,0.7557768,True
NormanNew,StackBoxesNewGaze14,525,15,540,StackBoxesNewEnv-1,"0 0 0",0.1003402,0.09804976,True
NormanNew,StackBoxesNewGaze15,541,17,583,Floor-12,"0 0 0",0.02585123,0.5482748,True
NormanNew,StackBoxesNewGaze16,584,16,675,Floor-13,"0 0 0",0.1658163,0.7243383,True
NormanNew,StackBoxesNewGaze17,676,10,719,Floor-14,"0 0 0",1,0.5985767,True
NormanNew,StackBoxesNewGaze18,720,14,734,Floor-15,"0 0 0",1,0.9559793,True
NormanNew,StackBoxesNewGaze19,735,9,787,Floor-16,"0 0 0",1,0.6918641,True
NormanNew,StackBoxesNewGaze20,788,11,867,pCube3-0,"0 0 0",1,0.03083974,True
NormanNew,StackBoxesNewGaze21,868,8,876,StackBoxesNewEnv-2,"0 0 0",0.142924,0.2216173,True
NormanNew,StackBoxesNewGaze22,877,21,898,StackBoxesNewEnv-3,"0 0 0",0.05454345,0.5129251,True
NormanNew,StackBoxesNewGaze23,899,28,988,Floor-17,"0 0 0",0.1935994,0.6839129,True
NormanNew,StackBoxesNewGaze24,989,10,1008,Floor-18,"0 0 0",1,0.4017397,True
NormanNew,StackBoxesNewGaze25,1009,13,1022,Floor-19,"0 0 0",0.8731704,0.9068245,True
NormanNew,StackBoxesNewGaze26,1023,15,1038,Floor-20,"0 0 0",0.7754288,0.6698499,True
NormanNew,StackBoxesNewGaze27,1039,12,1111,Floor-21,"0 0 0",1,0.9670997,True
NormanNew,StackBoxesNewGaze28,1112,16,1166,Floor-22,"0 0 0",0.3082738,1,True
NormanNew,StackBoxesNewGaze29,1167,10,1177,Floor-23,"0 0 0",0.7520402,0.9603333,True
NormanNew,StackBoxesNewGaze30,1178,22,1205,StackBoxesNewEnv-4,"0 0 0",0.06167259,0.5701252,True
NormanNew,StackBoxesNewGaze31,1206,21,1227,StackBoxesNewEnv-5,"0 0 0",0.1648025,0.6290713,True
NormanNew,StackBoxesNewGaze32,1228,10,1238,Floor-24,"0 0 0",0.1485048,0.3371402,True
NormanNew,StackBoxesNewGaze33,1239,31,1278,Floor-25,"0 0 0",1,1,True
NormanNew,StackBoxesNewGaze34,1279,11,1301,pCube4-0,"0 0 0",1,0.09961058,True
NormanNew,StackBoxesNewGaze35,1302,19,1357,Floor-26,"0 0 0",1,0.3258366,True
