Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,StealDiamondGaze1,1,18,21,Gem-0,"0 0 0",0.9999999,0.7613857,True
Norman,StealDiamondGaze2,22,16,45,Floor-0,"0 0 0",0.1469088,0.1116313,True
Norman,StealDiamondGaze3,46,7,53,Floor-1,"0 0 0",0.2849272,0.06717379,True
Norman,StealDiamondGaze4,54,7,61,Floor-2,"0 0 0",0.1452734,0.01755556,True
Norman,StealDiamondGaze5,62,25,90,StealDiamondEnv-0,"0 0 0",0.1027644,0.361064,True
Norman,StealDiamondGaze6,91,9,114,StealDiamondEnv-1,"0 0 0",0.03026558,0.2039557,True
Norman,StealDiamondGaze8,115,11,126,StealDiamondEnv-2,"0 0 0",0.9994999,0.1550594,True
Norman,StealDiamondGaze9,127,14,141,StealDiamondEnv-3,"0 0 0",1,0.1776814,True
Norman,StealDiamondGaze10,142,16,158,StealDiamondEnv-4,"0 0 0",0.172497,0.2219746,True
Norman,StealDiamondGaze11,159,8,168,Floor-3,"0 0 0",0.06064552,0.7963749,True
Norman,StealDiamondGaze12,169,12,185,Floor-4,"0 0 0",0.3656937,1,True
Norman,StealDiamondGaze13,186,8,194,StealDiamondEnv-5,"0 0 0",0.2047162,0.01784656,True
Norman,StealDiamondGaze14,195,14,209,Floor-5,"0 0 0",0.07970314,0.1876433,True
Norman,StealDiamondGaze15,210,7,222,StealDiamondEnv-6,"0 0 0",0.2150371,0.3598182,True
Norman,StealDiamondGaze17,223,8,231,Floor-6,"0 0 0",0.1688494,0.5182968,True
Norman,StealDiamondGaze18,232,12,253,Floor-7,"0 0 0",0.06398199,0.476853,True
Norman,StealDiamondGaze20,254,12,272,Floor-8,"0 0 0",1,0.4109116,True
Norman,StealDiamondGaze21,273,9,285,Floor-9,"0 0 0",0.3685654,0.3846755,True
