Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
NormanNew,StealDiamondNewGaze1Start-Ahead,1,-1,12,null,"-4.667675 3.637205 -1.248236",1,0.7317995,True
NormanNew,StealDiamondNewGaze1,13,14,46,Gem-0,"0 0 0",0.5337124,0.7700261,True
NormanNew,StealDiamondNewGaze2,47,11,113,Floor-0,"0 0 0",0.9884901,0.3225143,True
NormanNew,StealDiamondNewGaze3,114,13,129,Floor-1,"0 0 0",1,0,True
NormanNew,StealDiamondNewGaze4,130,16,146,Gem-0,"0 0 0",0.8918056,0.4468942,True
NormanNew,StealDiamondNewGaze5,147,14,161,Floor-2,"0 0 0",0.3402723,0.1778831,True
NormanNew,StealDiamondNewGaze6,162,15,182,Gem-0,"0 0 0",1,0.785801,True
NormanNew,StealDiamondNewGaze7,183,13,198,Gem-0,"0 0 0",0.8925818,0,True
NormanNew,StealDiamondNewGaze8,199,7,206,StealDiamondNewEnv-0,"0 0 0",0.3861544,0.03243252,True
NormanNew,StealDiamondNewGaze9,207,12,225,Floor-3,"0 0 0",0.9289489,0.3724993,True
NormanNew,StealDiamondNewGaze10,226,12,240,StealDiamondNewEnv-1,"0 0 0",0.4773032,0.04746117,True
NormanNew,StealDiamondNewGaze11,241,13,267,StealDiamondNewEnv-2,"0 0 0",0.3455948,0.2387844,True
NormanNew,StealDiamondNewGaze12,268,8,276,Floor-4,"0 0 0",0.7599795,1,True
NormanNew,StealDiamondNewGaze13,277,12,303,Floor-5,"0 0 0",0.9972678,0.5297376,True
NormanNew,StealDiamondNewGaze14,304,11,317,StealDiamondNewEnv-3,"0 0 0",0.3607008,0.3244172,True
NormanNew,StealDiamondNewGaze15,318,12,335,Gem-0,"0 0 0",0.3207258,0.2865117,True
NormanNew,StealDiamondNewGaze16,336,12,350,Gem-1,"0 0 0",0.9784253,0.7802541,True
NormanNew,StealDiamondNewGaze17,351,17,368,StealDiamondNewEnv-4,"0 0 0",0.301798,0.008693896,True
NormanNew,StealDiamondNewGaze18,369,7,376,Floor-6,"0 0 0",0.9996153,0.2404172,True
NormanNew,StealDiamondNewGaze19,377,10,387,Floor-7,"0 0 0",0.2871247,0.2147809,True
NormanNew,StealDiamondNewGaze20,388,12,403,Floor-8,"0 0 0",0.3244981,0.3808114,True
NormanNew,StealDiamondNewGaze21,404,14,429,Floor-9,"0 0 0",1,0.3105868,True
NormanNew,StealDiamondNewGaze22,430,11,441,Floor-10,"0 0 0",1,0.04877548,True
NormanNew,StealDiamondNewGaze23,442,14,456,StealDiamondNewEnv-5,"0 0 0",0.37697,0.02158999,True
