Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,WaitForBusGaze1Start-Ahead,1,-1,27,null,"4.426396 5.115036 2.085399",1,1,True
Norman,WaitForBusGaze1,28,11,82,WaitForBusEnv-32,"0 0 0",0.04219063,0.0870313,True
Norman,WaitForBusGaze2,83,8,103,WaitForBusEnv-33,"0 0 0",0.3326268,0,True
Norman,WaitForBusGaze4,104,21,125,Pole1-1,"0 0 0",0.1476464,0.007294624,True
Norman,WaitForBusGaze5,126,7,133,Road-29,"0 0 0",0.008931734,0.114731,True
Norman,WaitForBusGaze6,134,14,184,Road-30,"0 0 0",0.02604905,0.05138579,True
Norman,WaitForBusGaze9,185,18,221,Sidewalk-6,"0 0 0",0.1783372,0.5870856,True
Norman,WaitForBusGaze10,222,14,244,Road-3,"0 0 0",0.5055214,0.01805607,True
Norman,WaitForBusGaze12,245,22,267,Road-31,"0 0 0",0.2104235,0.9116541,True
Norman,WaitForBusGaze13,268,18,314,Grass2-1,"0 0 0",0.06409685,0.6683754,True
Norman,WaitForBusGaze14,315,13,335,WaitForBusEnv-37,"0 0 0",0.4065378,0.4568229,True
Norman,WaitForBusGaze16,336,11,347,WaitForBusEnv-38,"0 0 0",0.124843,0.4100927,True
Norman,WaitForBusGaze17,348,14,367,WaitForBusEnv-39,"0 0 0",0.04671072,0.303096,True
Norman,WaitForBusGaze18,368,17,392,WaitForBusEnv-40,"0 0 0",0.1276671,0.4701157,True
Norman,WaitForBusGaze20,393,24,428,Grass1-1,"0 0 0",1,0.04381668,True
Norman,WaitForBusGaze21,429,13,443,WaitForBusEnv-56,"0 0 0",0.01836558,0.1579856,True
Norman,WaitForBusGaze22,444,8,452,Road-32,"0 0 0",0.02353947,0.6330211,True
Norman,WaitForBusGaze23,453,10,477,WaitForBusEnv-57,"0 0 0",0.01857905,0.6198395,True
Norman,WaitForBusGaze24,478,18,508,Sidewalk-4,"0 0 0",0.1453868,0.7670326,True
Norman,WaitForBusGaze26,509,14,525,Road-19,"0 0 0",0.3509348,0.3550868,True
Norman,WaitForBusGaze27,526,14,546,Road-20,"0 0 0",0.08705898,0.3648174,True
Norman,WaitForBusGaze29,547,9,569,Pole1-0,"0 0 0",0.1198763,0.3506436,True
Norman,WaitForBusGaze30,570,23,600,Road-21,"0 0 0",0.2055402,0.8967332,True
Norman,WaitForBusGaze31,601,9,610,WaitForBusEnv-58,"0 0 0",0.02849729,0.3616433,True
Norman,WaitForBusGaze32,611,22,657,WaitForBusEnv-59,"0 0 0",0.02256585,0.3007011,True
Norman,WaitForBusGaze33,658,21,692,Road-22,"0 0 0",0.1125999,0.9723138,True
Norman,WaitForBusGaze34,693,15,731,WaitForBusEnv-44,"0 0 0",0.1408718,0.08550658,True
Norman,WaitForBusGaze36,732,18,830,Road-33,"0 0 0",0.1763355,0.4778599,True
Norman,WaitForBusGaze37,831,10,841,Road-34,"0 0 0",1,0.02578953,True
Norman,WaitForBusGaze38,842,18,909,Sidewalk-7,"0 0 0",0.06089608,0.7253475,True
Norman,WaitForBusGaze39,910,21,948,Road-26,"0 0 0",0.8282843,1,True
Norman,WaitForBusGaze40,949,10,968,WaitForBusEnv-45,"0 0 0",0.1114565,0.03477133,True
Norman,WaitForBusGaze41,969,11,986,WaitForBusEnv-60,"0 0 0",0.08912461,0.1778297,True
Norman,WaitForBusGaze43,987,13,1000,WaitForBusEnv-61,"0 0 0",0.1311386,0.599811,True
Norman,WaitForBusGaze44,1001,18,1019,Road-35,"0 0 0",0.111606,0.1482193,True
Norman,WaitForBusGaze45,1020,15,1035,Road-36,"0 0 0",0.2137136,0.3096118,True
Norman,WaitForBusGaze46,1036,9,1045,WaitForBusEnv-62,"0 0 0",0.09007621,0.3334791,True
Norman,WaitForBusGaze47,1046,11,1083,WaitForBusEnv-47,"0 0 0",0.06467801,0.3857884,True
Norman,WaitForBusGaze48,1084,14,1128,WaitForBusEnv-63,"0 0 0",0.1090577,0.4946316,True
Norman,WaitForBusGaze49,1129,18,1147,Road-37,"0 0 0",0.1640085,0.9999962,True
Norman,WaitForBusGaze50,1148,13,1204,WaitForBusEnv-50,"0 0 0",0.04063241,0.01352775,True
Norman,WaitForBusGaze51,1205,15,1234,Plate-0,"0 0 0",0.07668867,0.1954987,True
Norman,WaitForBusGaze52,1235,15,1299,Road-28,"0 0 0",0.2305065,0.09714248,True
Norman,WaitForBusGaze53,1300,21,1322,Road-38,"0 0 0",0.1656338,0.5515789,True
Norman,WaitForBusGaze54,1323,9,1336,WaitForBusEnv-25,"0 0 0",0.1554292,0.08326187,True
Norman,WaitForBusGaze55,1337,9,1346,WaitForBusEnv-52,"0 0 0",0.08615801,0.06438735,True
Norman,WaitForBusGaze56,1347,14,1381,WaitForBusEnv-53,"0 0 0",0.0339495,0.00111413,True
Norman,WaitForBusGaze57,1382,22,1500,WaitForBusEnv-64,"0 0 0",0.1044412,0.5631113,True
Norman,WaitForBusGaze59,1501,7,1508,WaitForBusEnv-65,"0 0 0",0.1404439,0.6839148,True
Norman,WaitForBusGaze60,1509,11,1553,WaitForBusEnv-66,"0 0 0",0.02586247,0.2945369,True
