Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
NormanNew,WaitForBusNewGaze1,1,24,44,Road-0,"0 0 0",0.9424456,0.7212894,True
NormanNew,WaitForBusNewGaze2,45,19,82,Grass1-0,"0 0 0",1,0.6808441,True
NormanNew,WaitForBusNewGaze3,83,10,93,WaitForBusNewEnv-0,"0 0 0",0.3731954,0.3522951,True
NormanNew,WaitForBusNewGaze4,94,12,127,WaitForBusNewEnv-1,"0 0 0",0.3478236,0.5918456,True
NormanNew,WaitForBusNewGaze5,128,9,137,WaitForBusNewEnv-2,"0 0 0",1,0.8292195,True
NormanNew,WaitForBusNewGaze6,138,16,174,Road-1,"0 0 0",0.3728472,0.1848631,True
NormanNew,WaitForBusNewGaze7,175,16,218,WaitForBusNewEnv-3,"0 0 0",0.3647186,0.01304586,True
NormanNew,WaitForBusNewGaze8,219,13,232,Road-2,"0 0 0",1,0.2500418,True
NormanNew,WaitForBusNewGaze9,233,11,267,Watch-0,"0 0 0",0.8380408,0.0261196,True
NormanNew,WaitForBusNewGaze10,268,12,308,WaitForBusNewEnv-4,"0 0 0",0.3165664,0.3341544,True
NormanNew,WaitForBusNewGaze11,309,23,354,WaitForBusNewEnv-5,"0 0 0",0.7072,0.5641668,True
NormanNew,WaitForBusNewGaze12,355,20,385,WaitForBusNewEnv-6,"0 0 0",1,1,True
NormanNew,WaitForBusNewGaze13,386,22,410,WaitForBusNewEnv-7,"0 0 0",1,0.7326313,True
NormanNew,WaitForBusNewGaze14,411,9,420,WaitForBusNewEnv-8,"0 0 0",0.9101331,0.7184535,True
NormanNew,WaitForBusNewGaze15,421,8,429,WaitForBusNewEnv-9,"0 0 0",1,0.746475,True
NormanNew,WaitForBusNewGaze16,430,8,438,WaitForBusNewEnv-10,"0 0 0",1,0.7891909,True
NormanNew,WaitForBusNewGaze17,439,19,459,Sidewalk-0,"0 0 0",1,1,True
NormanNew,WaitForBusNewGaze18,460,11,473,WaitForBusNewEnv-11,"0 0 0",1,1,True
NormanNew,WaitForBusNewGaze19,474,12,486,Road-3,"0 0 0",0.5110137,0.2949013,True
NormanNew,WaitForBusNewGaze20,487,30,534,WaitForBusNewEnv-12,"0 0 0",1,0.1399751,True
NormanNew,WaitForBusNewGaze21,535,17,552,Road-4,"0 0 0",0.5523133,0.3628444,True
NormanNew,WaitForBusNewGaze22,553,9,569,WaitForBusNewEnv-13,"0 0 0",0.4658403,0.4287416,True
NormanNew,WaitForBusNewGaze24,570,17,595,Road-5,"0 0 0",0.394278,0.2740824,True
NormanNew,WaitForBusNewGaze26,596,19,632,WaitForBusNewEnv-14,"0 0 0",0.346152,0.2380072,True
NormanNew,WaitForBusNewGaze27,633,11,666,Road-6,"0 0 0",1,0.4721051,True
NormanNew,WaitForBusNewGaze28,667,18,705,Watch-1,"0 0 0",0.9090116,0.05299927,True
NormanNew,WaitForBusNewGaze29,706,15,738,WaitForBusNewEnv-15,"0 0 0",0.9863251,0.0400066,True
NormanNew,WaitForBusNewGaze31,739,17,756,WaitForBusNewEnv-16,"0 0 0",0.7877038,0.2639947,True
NormanNew,WaitForBusNewGaze32,757,17,774,Grass2-0,"0 0 0",0.404453,0.2612128,True
NormanNew,WaitForBusNewGaze33,775,13,811,WaitForBusNewEnv-17,"0 0 0",0.4287242,0.3943643,True
NormanNew,WaitForBusNewGaze34,812,8,820,Grass1-1,"0 0 0",1,0.9999993,True
NormanNew,WaitForBusNewGaze35,821,30,871,Watch-2,"0 0 0",1,0.9357845,True
NormanNew,WaitForBusNewGaze36,872,12,884,WaitForBusNewEnv-18,"0 0 0",0.9998279,0.08946344,True
NormanNew,WaitForBusNewGaze37,885,16,915,WaitForBusNewEnv-19,"0 0 0",0.9694958,0.5129104,True
NormanNew,WaitForBusNewGaze39,916,20,956,Sidewalk-1,"0 0 0",1,1,True
NormanNew,WaitForBusNewGaze40,957,16,1002,Plate-0,"0 0 0",1,0.4482548,True
NormanNew,WaitForBusNewGaze41,1003,14,1017,Plate-1,"0 0 0",1,0.1449294,True
NormanNew,WaitForBusNewGaze42,1018,14,1049,Road-7,"0 0 0",0.3539355,0.5402831,True
NormanNew,WaitForBusNewGaze44,1050,15,1065,Grass2-1,"0 0 0",0.5837656,0.7009628,True
NormanNew,WaitForBusNewGaze45,1066,16,1094,Sidewalk-2,"0 0 0",1,1,True
NormanNew,WaitForBusNewGaze46,1095,17,1124,WaitForBusNewEnv-20,"0 0 0",0.4498341,0.500635,True
NormanNew,WaitForBusNewGaze47,1125,9,1134,Sidewalk-3,"0 0 0",1,0.8624225,True
NormanNew,WaitForBusNewGaze48,1135,9,1175,Road-8,"0 0 0",1,1,True
NormanNew,WaitForBusNewGaze49,1176,18,1227,Watch-2,"0 0 0",1,0.8251699,True
NormanNew,WaitForBusNewGaze50,1228,17,1257,Pole1-0,"0 0 0",0.9262056,0.4710138,True
NormanNew,WaitForBusNewGaze51,1258,11,1269,WaitForBusNewEnv-21,"0 0 0",0.3699002,0.02383244,True
NormanNew,WaitForBusNewGaze52,1270,27,1312,WaitForBusNewEnv-22,"0 0 0",0.3371742,0.4174745,True
NormanNew,WaitForBusNewGaze53,1313,9,1322,Road-9,"0 0 0",1,0.9405148,True
