Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,WindowWashingAGaze1Start-Ahead,1,-1,41,null,"2.467896 5.26432 4.316926",1,0.3071943,True
Norman,WindowWashingAGaze1,42,18,60,Window-0,"0 0 0",1,0.06796184,True
Norman,WindowWashingAGaze2,61,17,86,Window-1,"0 0 0",0.1394711,0.1619263,True
Norman,WindowWashingAGaze3,87,21,108,Window-2,"0 0 0",0.2188599,0.3644221,True
Norman,WindowWashingAGaze4,109,10,119,Window-3,"0 0 0",0.2016438,0.7443143,True
Norman,WindowWashingAGaze5,120,13,133,Window-4,"0 0 0",0.109396,0.03119453,True
Norman,WindowWashingAGaze6,134,20,164,Window-5,"0 0 0",0.02796558,0.302237,True
Norman,WindowWashingAGaze7,165,15,180,Window-6,"0 0 0",0.2380649,0.4258655,True
Norman,WindowWashingAGaze8,181,27,209,Obj_000002-0,"0 0 0",1,0.05638954,True
Norman,WindowWashingAGaze9,210,16,244,Obj_000007-0,"0 0 0",0.4992874,0.6128085,True
Norman,WindowWashingAGaze10,245,21,314,Box003-0,"0 0 0",0.823428,0.6963555,True
Norman,WindowWashingAGaze11,315,20,350,Window-7,"0 0 0",0.2929811,0.1382917,True
Norman,WindowWashingAGaze12,351,16,373,Window-8,"0 0 0",0.312411,0.5296314,True
Norman,WindowWashingAGaze13,374,14,404,Window-9,"0 0 0",1,0.6863521,True
Norman,WindowWashingAGaze14,405,13,418,Window-10,"0 0 0",0.3739878,0.6694899,True
Norman,WindowWashingAGaze15,419,10,429,Window-11,"0 0 0",0.09680203,0.4766102,True
Norman,WindowWashingAGaze16,430,27,469,Window-12,"0 0 0",0.273473,0.4913761,True
Norman,WindowWashingAGaze17,470,15,485,Window-13,"0 0 0",0.3389261,0.7133421,True
Norman,WindowWashingAGaze18,486,26,554,Window-14,"0 0 0",0.2086446,0.4211756,True
Norman,WindowWashingAGaze19,555,16,587,Window-15,"0 0 0",0.3820536,0.6140765,True
Norman,WindowWashingAGaze20,588,15,606,Window-16,"0 0 0",0.5045777,0.494681,True
Norman,WindowWashingAGaze21,607,25,700,Window-17,"0 0 0",0.3705329,0.7563073,True
