Target,Frame
Background,974
Background,982
RomanTallTorso,992
RomanTallTorso,1002
RomanTallTorso,1009
RomanTallTorso,1020
RomanTallHead,1030
RomanTallHead,1035
RomanTallHead,1039
RomanTallHead,1043
RomanTallHead,1049
RomanTallHead,1054
RomanTallHead,1058
RomanTallHead,1062
RomanTallTorso,1074
RomanTallHead,1088
RomanTallHead,1096
RomanTallHead,1103
RomanTallTorso,1116
RomanTallHead,1128
RomanTallHead,1136
RomanTallHead,1144
RomanTallHead,1149
RomanTallHead,1153
RomanTallHead,1161
RomanTallHead,1167
RomanTallHead,1171
RomanTallHead,1175
Background,1202
Background,1207
Background,1215
RomanTallHead,1226
RomanTallHead,1235
RomanTallHead,1242
RomanTallHead,1250
RomanTallHead,1255
RomanTallHead,1260
RomanTallHead,1265
RomanTallHead,1270
RomanTallHead,1275
RomanTallHead,1279
RomanTallHead,1283
RomanTallHead,1289
RomanTallHead,1294
RomanTallHead,1301
RomanTallHead,1307
RomanTallTorso,1321
RomanTallTorso,1335
RomanTallTorso,1341
RomanTallTorso,1347
RomanTallTorso,1351
RomanTallHead,1355
RomanTallHead,1360
RomanTallHead,1365
RomanTallHead,1372
Background,1382
Background,1389
Background,1397
Background,1405
RomanTallHead,1412
Background,1426
Background,1441
RomanTallHead,1448
RomanTallHead,1461
RomanTallHead,1479
RomanTallHead,1491
RomanTallHead,1498
RomanTallHead,1504
RomanTallHead,1510
RomanTallHead,1516
RomanTallHead,1521
RomanTallHead,1526
Background,1530
Background,1533
Background,1540
Background,1547
Background,1551
Background,1561
Background,1572
RomanTallHead,1586
RomanTallHead,1597
RomanTallHead,1603
RomanTallHead,1607
RomanTallHead,1612
RomanTallHead,1618
RomanTallHead,1626
RomanTallHead,1639
RomanTallTorso,1649
RomanTallTorso,1656
RomanTallTorso,1662
RomanTallTorso,1665
RomanTallTorso,1670
RomanTallHead,1673
RomanTallHead,1677
RomanTallHead,1684
RomanTallHead,1690
RomanTallHead,1697
RomanTallHead,1708
RomanTallHead,1719
RomanTallHead,1725
Background,1730
RomanTallHead,1739
RomanTallHead,1747
Background,1753
RomanTallHead,1759
RomanTallHead,1765
RomanTallTorso,1773
RomanTallTorso,1778
RomanTallTorso,1783
RomanTallHead,1794
RomanTallHead,1805
RomanTallHead,1810
RomanTallHead,1817
RomanTallHead,1826
RomanTallHead,1834
RomanTallHead,1841
RomanTallHead,1845
RomanTallHead,1851
Background,1865
RomanTallHead,1880
RomanTallHead,1887
RomanTallHead,1895
Background,1902
Background,1905
Background,1909
RomanTallHead,1914
RomanTallHead,1919
RomanTallHead,1925
RomanTallHead,1933
RomanTallHead,1938
Background,1945
Background,1952
Background,1960
Background,1966
RomanTallHead,1978
RomanTallHead,1994
Background,2012
RomanTallHead,2024
RomanTallHead,2026
RomanTallHead,2030
RomanTallHead,2034
RomanTallHead,2038
RomanTallHead,2043
Background,2063
RomanTallHead,2083
RomanTallHead,2088
RomanTallHead,2094
RomanTallHead,2109
RomanTallHead,2128
Background,2139
RomanTallHead,2144
RomanTallHead,2152
Background,2169
Background,2184
RomanTallHead,2190
RomanTallHead,2195
RomanTallHead,2203
RomanTallHead,2217
Background,2239
RomanTallHead,2253
RomanTallHead,2257
RomanTallHead,2265
RomanTallHead,2273
RomanTallHead,2278
RomanTallHead,2290
RomanTallHead,2301
RomanTallHead,2308
Background,2315
RomanTallTorso,2327
RomanTallTorso,2331
RomanTallTorso,2335
RomanTallHead,2339
RomanTallHead,2343
RomanTallTorso,2352
RomanTallTorso,2359
RomanTallTorso,2363
Background,2367
RomanTallHead,2375
RomanTallHead,2391
RomanTallHead,2404
RomanTallHead,2421
Background,2439
Background,2449
Background,2463
RomanTallHead,2478
RomanTallHead,2488
RomanTallHead,2492
RomanTallHead,2496
RomanTallTorso,2509
RomanTallHead,2523
RomanTallHead,2530
RomanTallHead,2535
Background,2539
Background,2543
RomanTallHead,2548
RomanTallHead,2553
Background,2558
Background,2565
RomanTallHead,2570
Background,2587
RomanTallHead,2607
RomanTallHead,2616
RomanTallHead,2622
RomanTallHead,2626
RomanTallHead,2631
RomanTallHead,2646
RomanTallHead,2660
RomanTallHead,2666
RomanTallTorso,2678
Background,2686
Background,2689
RomanTallHead,2700
RomanTallTorso,2741
RomanTallHead,2749
Background,2758
RomanTallHead,2793
RomanTallHead,2830
RomanTallHead,2836
RomanTallHead,2841
RomanTallTorso,2849
RomanTallTorso,2857
RomanTallHead,2862
