Target,Frame
Background,821
Background,825
Background,832
Background,854
Bacon,872
Background,875
Bread1,884
Bread1,894
Bread1,901
Bread1,904
Bread1,911
Background,919
Background,925
Background,939
Background,957
Bread1,966
Background,980
Background,994
Background,1000
Bread2,1005
Background,1010
Background,1017
Background,1027
Tomato,1035
Tomato,1041
Background,1058
Bread1,1076
Tomato,1086
Background,1104
Cheese,1123
Bacon,1131
Lettuce,1138
Turkey,1146
Lettuce,1156
Lettuce,1165
Lettuce,1173
Lettuce,1179
Lettuce,1186
Background,1202
Background,1223
Lettuce,1233
Background,1244
Background,1254
Background,1258
Background,1263
Background,1268
Background,1272
Background,1275
Background,1287
Bacon,1303
Bacon,1311
Bacon,1320
Background,1332
Turkey,1339
Background,1344
Background,1349
Background,1359
Background,1368
Background,1373
Lettuce,1392
Background,1422
Background,1439
Background,1441
Bread,1453
Turkey,1475
Turkey,1489
Turkey,1512
Background,1536
Background,1544
Turkey,1555
Turkey,1562
Turkey,1564
Turkey,1567
Turkey,1571
Turkey,1575
Turkey,1584
Background,1593
Background,1612
Background,1632
Swiss,1641
Swiss,1651
Swiss,1655
Swiss,1661
Swiss,1667
Background,1673
Bread,1681
Background,1703
Background,1724
Swiss,1729
Swiss,1735
Swiss,1746
Background,1764
Background,1776
Background,1789
Bread2,1801
Bread2,1813
Background,1844
Background,1871
Background,1881
Background,1891
Bread2,1904
Bread2,1913
Background,1920
Background,1928
Background,1933
Background,1939
Background,1946
Background,1950
Background,1953
