EventType,StartFrame,EndFrame
GazeShift,159,179
GazeShift,232,234
GazeShift,243,286
GazeShift,383,429
GazeShift,447,452
GazeShift,502,511
GazeShift,539,569
GazeShift,577,598
GazeShift,613,629
GazeShift,675,698
GazeShift,700,740
GazeShift,789,800
GazeShift,837,855
GazeShift,872,926
GazeShift,931,936
GazeShift,961,966
GazeShift,987,1001
GazeShift,1002,1017
GazeShift,1029,1049
GazeShift,1073,1084
GazeShift,1118,1128
GazeShift,1150,1170
GazeShift,1175,1229
GazeShift,1232,1240
GazeShift,1281,1291
GazeShift,1314,1327
