## [BeGaze]
## Converted from:	E:\SMI-A\Quick Run\tom3-[f15fc6ba-a5e2-44bd-9430-e7fc34230481]\tom3-1-unified.smi
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.5.101
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	tom3-1-recording.avi
## Number of Samples:	1841
## Reversed:	none
## [Run]
## Subject:	tom3
## Description:	Run3
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, AOI, EYEPOSITION, GAZEVECTOR, TRIGGER, FRAMECOUNTER
##
Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],B AOI Hit,L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Trigger,Frame,Aux1,B Event Info,Stimulus
108825195,SMP,1,111.00,91.00,4.00,108.00,86.00,4.00,547.95,737.23,651.74,722.88,506.15,749.62,-,30.56,0.38,-20.44,-30.04,0.98,-22.50,-0.03,-0.36,0.93,0.13,-0.38,0.92,0,00:00:00:00,,Blink,tom3-1-recording.avi
108858367,SMP,1,112.00,91.00,5.12,110.00,88.00,4.16,530.13,13.60,520.31,-129.92,570.72,392.65,-,30.28,0.04,-20.03,-29.69,0.66,-22.32,0.07,0.31,0.95,0.08,-0.09,0.99,0,00:00:00:00,,Blink,tom3-1-recording.avi
108891632,SMP,1,111.00,91.00,4.04,108.00,88.00,3.90,562.80,499.54,543.39,540.88,625.91,600.48,-,30.15,-0.09,-19.88,-29.53,0.49,-22.21,0.06,-0.21,0.98,0.03,-0.26,0.96,0,00:00:00:01,,Blink,tom3-1-recording.avi
108925079,SMP,1,111.00,91.00,3.98,108.00,88.00,3.94,574.72,510.56,544.94,573.18,643.91,612.32,-,30.11,-0.12,-19.85,-29.45,0.39,-22.16,0.06,-0.24,0.97,0.01,-0.27,0.96,0,00:00:00:02,,Blink,tom3-1-recording.avi
108958251,SMP,1,111.00,87.00,3.92,110.00,82.00,4.06,585.23,493.91,547.66,580.92,659.16,595.33,-,30.08,-0.16,-19.81,-29.39,0.32,-22.14,0.06,-0.25,0.97,0.00,-0.26,0.97,0,00:00:00:03,,Fixation,tom3-1-recording.avi
108991516,SMP,1,110.00,87.00,3.90,108.00,80.00,4.04,589.73,490.10,548.54,573.88,667.21,593.34,-,30.06,-0.20,-19.78,-29.35,0.28,-22.13,0.06,-0.24,0.97,-0.01,-0.26,0.97,0,00:00:00:03,,Fixation,tom3-1-recording.avi
109024749,SMP,1,112.00,88.00,3.96,110.00,82.00,4.00,594.66,489.01,553.30,568.85,672.44,592.40,-,30.05,-0.23,-19.76,-29.32,0.24,-22.12,0.05,-0.24,0.97,-0.01,-0.26,0.97,0,00:00:00:04,,Blink,tom3-1-recording.avi
109057983,SMP,1,112.00,91.00,3.94,110.00,88.00,3.88,593.71,497.78,554.77,567.36,670.02,600.42,-,30.06,-0.27,-19.74,-29.30,0.21,-22.12,0.05,-0.24,0.97,-0.01,-0.26,0.96,0,00:00:00:05,,Blink,tom3-1-recording.avi
109091400,SMP,1,112.00,91.00,3.94,110.00,88.00,3.88,595.60,500.28,555.02,566.25,673.82,602.02,-,30.05,-0.28,-19.73,-29.28,0.19,-22.11,0.05,-0.23,0.97,-0.01,-0.26,0.96,0,00:00:00:06,,Blink,tom3-1-recording.avi
109124633,SMP,1,99.00,72.00,3.46,102.00,64.00,4.04,610.25,514.84,590.11,603.80,666.77,600.73,-,30.05,-0.28,-19.73,-29.30,0.21,-22.13,0.02,-0.27,0.96,-0.01,-0.26,0.96,0,00:00:00:07,,Blink,tom3-1-recording.avi
109157867,SMP,1,0.00,0.00,0.00,0.00,0.00,0.00,626.01,503.75,590.11,603.80,0.00,0.00,-,30.05,-0.28,-19.73,0.00,0.00,0.00,0.02,-0.27,0.96,0.00,0.00,0.00,0,00:00:00:07,,Blink,tom3-1-recording.avi
109191223,SMP,1,110.00,74.00,3.36,106.00,66.00,3.98,597.95,502.24,563.76,606.42,668.19,588.24,-,30.05,-0.28,-19.73,-29.30,0.21,-22.13,0.05,-0.27,0.96,-0.01,-0.25,0.97,0,00:00:00:08,,Blink,tom3-1-recording.avi
109224395,SMP,1,112.00,91.00,3.96,110.00,88.00,3.90,585.38,488.56,548.96,567.11,658.90,591.02,-,30.05,-0.28,-19.73,-29.30,0.21,-22.15,0.06,-0.24,0.97,0.00,-0.26,0.97,0,00:00:00:09,,Blink,tom3-1-recording.avi
109257812,SMP,1,115.00,93.00,4.04,112.00,88.00,3.88,582.25,490.14,546.53,569.09,655.22,592.31,-,30.06,-0.29,-19.74,-29.30,0.20,-22.15,0.06,-0.24,0.97,0.00,-0.26,0.97,0,00:00:00:10,,Blink,tom3-1-recording.avi
109291137,SMP,1,111.00,94.00,4.02,106.00,90.00,3.88,583.89,490.50,549.77,568.32,655.35,592.30,-,30.08,-0.30,-19.74,-29.29,0.20,-22.16,0.06,-0.24,0.97,0.00,-0.26,0.97,0,00:00:00:11,,Blink,tom3-1-recording.avi
109324249,SMP,1,116.00,94.00,4.08,114.00,90.00,4.00,589.41,488.79,553.58,569.19,662.02,590.81,-,30.09,-0.31,-19.74,-29.28,0.19,-22.16,0.05,-0.24,0.97,0.00,-0.26,0.97,0,00:00:00:11,,Blink,tom3-1-recording.avi
109357604,SMP,1,118.00,95.00,4.18,116.00,90.00,3.96,586.42,489.46,556.58,566.78,653.77,589.56,-,30.11,-0.32,-19.74,-29.27,0.18,-22.16,0.05,-0.23,0.97,0.01,-0.25,0.97,0,00:00:00:12,,Saccade,tom3-1-recording.avi
109390991,SMP,1,119.00,97.00,4.20,118.00,94.00,4.18,596.51,487.75,557.65,567.02,671.81,590.81,-,30.12,-0.33,-19.74,-29.26,0.17,-22.15,0.05,-0.24,0.97,-0.01,-0.26,0.97,0,00:00:00:13,,Saccade,tom3-1-recording.avi
109424194,SMP,1,119.00,97.00,4.20,118.00,94.00,4.16,595.90,486.63,558.78,565.18,669.60,589.34,-,30.12,-0.34,-19.74,-29.25,0.17,-22.15,0.05,-0.23,0.97,-0.01,-0.25,0.97,0,00:00:00:14,,Fixation,tom3-1-recording.avi
109457489,SMP,1,121.00,98.00,4.26,118.00,94.00,4.20,597.89,486.23,558.09,566.33,674.01,589.42,-,30.12,-0.34,-19.73,-29.24,0.16,-22.14,0.05,-0.23,0.97,-0.01,-0.25,0.97,0,00:00:00:15,,Fixation,tom3-1-recording.avi
109490753,SMP,1,122.00,98.00,4.32,120.00,94.00,4.20,592.27,486.13,557.33,563.50,664.17,588.31,-,30.13,-0.34,-19.73,-29.24,0.15,-22.14,0.05,-0.23,0.97,0.00,-0.25,0.97,0,00:00:00:15,,Fixation,tom3-1-recording.avi
109523986,SMP,1,121.00,99.00,4.32,120.00,94.00,4.20,588.41,487.95,555.43,565.15,658.65,589.44,-,30.13,-0.35,-19.73,-29.23,0.14,-22.13,0.05,-0.23,0.97,0.00,-0.25,0.97,0,00:00:00:16,,Fixation,tom3-1-recording.avi
109557220,SMP,1,122.00,99.00,4.34,120.00,94.00,4.22,584.82,488.80,550.77,566.67,656.22,590.55,-,30.13,-0.35,-19.72,-29.23,0.14,-22.13,0.06,-0.23,0.97,0.00,-0.26,0.97,0,00:00:00:17,,Fixation,tom3-1-recording.avi
109590637,SMP,1,123.00,100.00,4.36,120.00,96.00,4.24,581.32,490.12,545.52,567.19,654.64,592.48,-,30.12,-0.35,-19.72,-29.23,0.13,-22.13,0.06,-0.24,0.97,0.00,-0.26,0.97,0,00:00:00:18,,Fixation,tom3-1-recording.avi
109623840,SMP,1,124.00,101.00,4.36,122.00,98.00,4.24,576.40,489.24,543.12,567.88,647.45,590.55,-,30.12,-0.35,-19.72,-29.23,0.13,-22.12,0.06,-0.24,0.97,0.01,-0.26,0.97,0,00:00:00:18,,Fixation,tom3-1-recording.avi
109657073,SMP,1,123.00,101.00,4.38,120.00,98.00,4.26,572.54,488.66,536.61,568.36,646.19,590.74,-,30.12,-0.35,-19.72,-29.23,0.12,-22.11,0.07,-0.24,0.97,0.01,-0.26,0.97,0,00:00:00:19,,Fixation,tom3-1-recording.avi
109690338,SMP,1,123.00,101.00,4.40,120.00,98.00,4.28,572.78,485.51,535.99,569.17,646.86,587.26,-,30.12,-0.35,-19.72,-29.23,0.11,-22.10,0.07,-0.24,0.97,0.01,-0.25,0.97,0,00:00:00:20,,Blink,tom3-1-recording.avi
109723602,SMP,1,124.00,102.00,4.40,120.00,98.00,4.26,572.68,483.52,535.37,566.53,647.32,585.59,-,30.12,-0.35,-19.71,-29.23,0.11,-22.10,0.07,-0.23,0.97,0.01,-0.25,0.97,0,00:00:00:21,,Blink,tom3-1-recording.avi
109756988,SMP,1,123.00,101.00,4.38,120.00,96.00,4.24,571.52,481.98,536.13,565.02,644.41,583.28,-,30.12,-0.35,-19.71,-29.23,0.10,-22.09,0.07,-0.23,0.97,0.01,-0.25,0.97,0,00:00:00:22,,Blink,tom3-1-recording.avi
109790313,SMP,1,123.00,101.00,4.34,122.00,98.00,4.30,573.80,479.83,533.14,566.19,651.25,582.51,-,30.12,-0.36,-19.71,-29.22,0.10,-22.09,0.07,-0.23,0.97,0.01,-0.25,0.97,0,00:00:00:23,,Blink,tom3-1-recording.avi
109823455,SMP,1,51.00,42.00,0.00,102.00,84.00,3.52,337.18,613.84,533.14,566.19,184.43,878.44,-,30.12,-0.36,-19.71,-29.22,0.10,-22.09,0.07,-0.23,0.97,0.37,-0.44,0.82,0,00:00:00:23,,Blink,tom3-1-recording.avi
109856719,SMP,1,84.00,41.00,4.96,0.00,0.00,0.00,491.68,297.57,456.05,400.29,0.00,0.00,-,30.12,-0.36,-19.71,0.00,0.00,0.00,0.14,-0.09,0.99,0.00,0.00,0.00,0,00:00:01:00,,Blink,tom3-1-recording.avi
109890014,SMP,1,54.00,36.00,0.00,108.00,72.00,4.60,564.20,438.74,487.25,536.97,674.58,553.69,-,30.12,-0.36,-19.71,-29.22,0.10,-22.09,0.11,-0.21,0.97,-0.01,-0.22,0.97,0,00:00:01:01,,Blink,tom3-1-recording.avi
109923370,SMP,1,123.00,100.00,4.38,120.00,96.00,4.20,577.43,473.91,538.28,556.18,653.75,576.71,-,30.12,-0.36,-19.71,-29.23,0.10,-22.10,0.07,-0.23,0.97,0.01,-0.24,0.97,0,00:00:01:02,,Blink,tom3-1-recording.avi
109956604,SMP,1,123.00,100.00,4.36,120.00,96.00,4.20,576.45,469.80,534.93,555.03,654.79,572.87,-,30.12,-0.36,-19.71,-29.23,0.10,-22.10,0.07,-0.22,0.97,0.00,-0.24,0.97,0,00:00:01:03,,Blink,tom3-1-recording.avi
109989868,SMP,1,123.00,99.00,4.38,120.00,94.00,4.20,572.86,463.09,530.89,551.84,651.42,565.82,-,30.12,-0.36,-19.71,-29.23,0.10,-22.10,0.07,-0.22,0.97,0.01,-0.23,0.97,0,00:00:01:03,,Blink,tom3-1-recording.avi
110023132,SMP,1,122.00,98.00,4.36,118.00,94.00,4.18,566.92,464.06,527.66,549.93,643.48,566.36,-,30.12,-0.37,-19.71,-29.23,0.09,-22.10,0.08,-0.22,0.97,0.01,-0.23,0.97,0,00:00:01:04,,Blink,tom3-1-recording.avi
110056488,SMP,1,123.00,99.00,4.36,120.00,96.00,4.24,561.61,460.86,522.95,549.61,637.52,562.24,-,30.13,-0.38,-19.71,-29.22,0.09,-22.09,0.08,-0.22,0.97,0.02,-0.23,0.97,0,00:00:01:05,,Fixation,tom3-1-recording.avi
110089752,SMP,1,125.00,99.00,4.36,124.00,96.00,4.34,564.87,455.58,521.59,548.69,644.49,557.83,-,30.13,-0.38,-19.71,-29.22,0.08,-22.09,0.08,-0.22,0.97,0.01,-0.23,0.97,0,00:00:01:06,,Fixation,tom3-1-recording.avi
110123107,SMP,1,125.00,98.00,4.34,122.00,94.00,4.34,564.18,455.22,519.88,545.84,645.08,558.30,-,30.13,-0.39,-19.70,-29.21,0.08,-22.08,0.08,-0.22,0.97,0.01,-0.23,0.97,0,00:00:01:07,,Fixation,tom3-1-recording.avi
110156372,SMP,1,125.00,99.00,4.40,124.00,94.00,4.28,560.17,453.63,521.01,542.99,636.57,555.06,-,30.13,-0.39,-19.70,-29.21,0.07,-22.08,0.08,-0.21,0.97,0.02,-0.23,0.97,0,00:00:01:07,,Fixation,tom3-1-recording.avi
