## [BeGaze]
## Converted from:	E:\SMI-A\Quick Run\tom2-[19c85d75-dff4-46a9-a761-ebe4b32d23ed]\tom2-2-unified.smi
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.5.101
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	tom2-2-recording.avi
## Number of Samples:	2674
## Reversed:	none
## [Run]
## Subject:	tom2
## Description:	Run2
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, AOI, EYEPOSITION, GAZEVECTOR, TRIGGER, FRAMECOUNTER
##
Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],B AOI Hit,L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Trigger,Frame,Aux1,B Event Info,Stimulus
902696136,SMP,1,114.00,100.00,4.00,118.00,98.00,4.00,666.11,848.54,746.90,783.98,583.75,774.43,-,30.79,0.57,-20.85,-30.03,1.13,-22.70,-0.11,-0.41,0.91,0.06,-0.40,0.91,0,00:00:00:00,,Blink,tom2-2-recording.avi
902729370,SMP,1,114.00,97.00,5.14,118.00,92.00,4.72,798.78,211.64,858.61,-57.36,742.70,491.56,-,30.60,0.11,-20.30,-29.68,0.84,-22.51,-0.19,0.26,0.95,-0.07,-0.17,0.98,0,00:00:00:01,,Blink,tom2-2-recording.avi
902762695,SMP,1,112.00,96.00,4.36,116.00,90.00,4.44,740.86,763.83,703.70,550.56,732.62,636.88,-,30.54,-0.16,-20.05,-29.52,0.70,-22.43,-0.08,-0.22,0.97,-0.06,-0.29,0.95,0,00:00:00:02,,Blink,tom2-2-recording.avi
902796020,SMP,1,116.00,101.00,4.20,118.00,100.00,4.26,714.14,616.08,692.06,591.63,737.93,664.87,-,30.49,-0.32,-19.91,-29.44,0.63,-22.38,-0.07,-0.26,0.96,-0.07,-0.32,0.95,0,00:00:00:02,,Blink,tom2-2-recording.avi
902829254,SMP,1,113.00,96.00,4.06,116.00,90.00,4.38,714.68,617.18,685.63,606.46,745.55,652.33,-,30.45,-0.43,-19.83,-29.39,0.59,-22.35,-0.06,-0.27,0.96,-0.07,-0.31,0.95,0,00:00:00:03,,Blink,tom2-2-recording.avi
902862518,SMP,1,113.00,95.00,4.04,116.00,90.00,4.36,717.30,622.71,686.15,615.58,750.36,654.46,-,30.47,-0.47,-19.79,-29.34,0.56,-22.32,-0.06,-0.28,0.96,-0.08,-0.31,0.95,0,00:00:00:04,,Blink,tom2-2-recording.avi
902895751,SMP,1,116.00,97.00,3.98,116.00,94.00,4.36,702.34,640.68,668.16,637.94,737.92,668.58,-,30.47,-0.50,-19.77,-29.31,0.53,-22.30,-0.04,-0.29,0.95,-0.07,-0.32,0.95,0,00:00:00:05,,Saccade,tom2-2-recording.avi
902929016,SMP,1,114.00,101.00,4.00,120.00,98.00,4.38,686.06,673.98,651.13,676.87,721.86,697.16,-,30.47,-0.50,-19.77,-29.27,0.51,-22.29,-0.03,-0.33,0.94,-0.05,-0.34,0.94,0,00:00:00:06,,Saccade,tom2-2-recording.avi
902962402,SMP,1,119.00,100.00,4.02,120.00,96.00,4.40,687.09,673.70,650.70,676.24,724.37,697.25,-,30.47,-0.52,-19.75,-29.25,0.48,-22.28,-0.03,-0.33,0.95,-0.06,-0.34,0.94,0,00:00:00:06,,Fixation,tom2-2-recording.avi
902995666,SMP,1,120.00,101.00,4.04,120.00,96.00,4.40,690.24,672.87,653.26,673.55,728.20,698.27,-,30.46,-0.53,-19.74,-29.23,0.48,-22.27,-0.03,-0.32,0.95,-0.06,-0.34,0.94,0,00:00:00:07,,Fixation,tom2-2-recording.avi
903028900,SMP,1,120.00,101.00,4.16,120.00,96.00,4.40,687.77,670.41,646.97,668.39,729.44,698.46,-,30.46,-0.55,-19.72,-29.22,0.47,-22.25,-0.03,-0.32,0.95,-0.06,-0.34,0.94,0,00:00:00:08,,Fixation,tom2-2-recording.avi
903062164,SMP,1,122.00,103.00,4.20,122.00,96.00,4.42,690.49,670.84,649.32,670.64,732.63,697.08,-,30.46,-0.55,-19.72,-29.20,0.46,-22.24,-0.03,-0.32,0.95,-0.06,-0.34,0.94,0,00:00:00:08,,Fixation,tom2-2-recording.avi
903095428,SMP,1,122.00,102.00,4.14,122.00,96.00,4.42,693.63,671.05,652.06,671.76,736.27,696.38,-,30.45,-0.56,-19.71,-29.19,0.45,-22.23,-0.03,-0.32,0.95,-0.07,-0.34,0.94,0,00:00:00:09,,Fixation,tom2-2-recording.avi
903128814,SMP,1,122.00,104.00,4.24,122.00,98.00,4.44,690.86,673.38,647.76,673.36,734.94,699.51,-,30.45,-0.56,-19.69,-29.19,0.45,-22.23,-0.03,-0.32,0.95,-0.06,-0.34,0.94,0,00:00:00:10,,Fixation,tom2-2-recording.avi
903162048,SMP,1,122.00,106.00,4.22,122.00,102.00,4.48,692.75,672.31,649.99,674.95,736.58,695.74,-,30.44,-0.57,-19.68,-29.18,0.44,-22.22,-0.03,-0.32,0.95,-0.07,-0.34,0.94,0,00:00:00:11,,Fixation,tom2-2-recording.avi
903195281,SMP,1,120.00,106.00,4.22,120.00,100.00,4.42,698.67,669.29,657.38,668.73,741.19,695.85,-,30.44,-0.57,-19.68,-29.18,0.44,-22.21,-0.04,-0.32,0.95,-0.07,-0.34,0.94,0,00:00:00:12,,Saccade,tom2-2-recording.avi
903228546,SMP,1,116.00,102.00,4.22,120.00,96.00,4.40,735.92,639.73,700.24,636.20,774.05,668.45,-,30.44,-0.59,-19.67,-29.17,0.44,-22.22,-0.07,-0.29,0.95,-0.10,-0.32,0.94,0,00:00:00:13,,Saccade,tom2-2-recording.avi
903261871,SMP,1,116.00,102.00,4.24,120.00,96.00,4.48,738.54,636.86,698.18,635.10,781.47,663.74,-,30.44,-0.61,-19.65,-29.16,0.44,-22.21,-0.07,-0.29,0.95,-0.10,-0.31,0.94,0,00:00:00:14,,Fixation,tom2-2-recording.avi
903295166,SMP,1,118.00,102.00,4.26,122.00,96.00,4.48,740.21,637.30,700.56,634.67,782.47,665.07,-,30.44,-0.63,-19.63,-29.16,0.44,-22.21,-0.07,-0.29,0.95,-0.10,-0.31,0.94,0,00:00:00:14,,Fixation,tom2-2-recording.avi
903328399,SMP,1,124.00,106.00,4.38,122.00,102.00,4.34,737.83,641.99,695.49,631.28,782.62,677.99,-,30.43,-0.64,-19.62,-29.15,0.44,-22.21,-0.07,-0.29,0.96,-0.10,-0.33,0.94,0,00:00:00:15,,Fixation,tom2-2-recording.avi
903361663,SMP,1,119.00,102.00,4.38,122.00,94.00,4.54,738.42,634.93,696.00,632.75,783.38,662.19,-,30.44,-0.66,-19.61,-29.15,0.44,-22.21,-0.07,-0.29,0.95,-0.11,-0.31,0.94,0,00:00:00:16,,Fixation,tom2-2-recording.avi
903394897,SMP,1,119.00,102.00,4.38,122.00,94.00,4.54,737.53,635.95,692.35,632.69,785.25,664.32,-,30.41,-0.68,-19.59,-29.15,0.43,-22.20,-0.07,-0.29,0.95,-0.11,-0.31,0.94,0,00:00:00:17,,Fixation,tom2-2-recording.avi
903428314,SMP,1,118.00,102.00,4.26,122.00,96.00,4.52,739.80,641.85,697.93,641.03,784.29,667.96,-,30.40,-0.69,-19.57,-29.15,0.43,-22.20,-0.07,-0.30,0.95,-0.11,-0.32,0.94,0,00:00:00:18,,Fixation,tom2-2-recording.avi
903461547,SMP,1,119.00,105.00,4.36,122.00,98.00,4.56,736.79,639.61,690.62,636.59,785.47,667.87,-,30.39,-0.71,-19.56,-29.15,0.43,-22.20,-0.06,-0.29,0.95,-0.11,-0.32,0.94,0,00:00:00:18,,Fixation,tom2-2-recording.avi
903494812,SMP,1,100.00,110.00,4.04,86.00,108.00,4.34,559.90,670.71,521.45,675.51,595.02,691.95,-,30.39,-0.71,-19.56,-29.15,0.43,-22.20,0.08,-0.32,0.94,0.05,-0.34,0.94,0,00:00:00:19,,Saccade,tom2-2-recording.avi
903528045,SMP,1,105.00,113.00,4.16,100.00,106.00,3.84,251.53,728.69,252.05,731.46,251.80,724.42,-,30.39,-0.71,-19.56,-29.15,0.43,-22.20,0.30,-0.35,0.89,0.33,-0.34,0.88,0,00:00:00:20,,Saccade,tom2-2-recording.avi
903561279,SMP,1,101.00,117.00,4.30,116.00,114.00,4.68,158.56,829.28,206.31,735.16,245.16,697.49,-,30.39,-0.71,-19.56,-29.14,0.42,-22.19,0.33,-0.35,0.88,0.33,-0.32,0.89,0,00:00:00:21,,Blink,tom2-2-recording.avi
903594665,SMP,1,101.00,117.00,4.32,110.00,112.00,4.54,192.68,762.43,201.47,733.66,236.60,699.45,-,30.39,-0.71,-19.56,-29.12,0.41,-22.18,0.33,-0.35,0.88,0.34,-0.32,0.88,0,00:00:00:22,,Blink,tom2-2-recording.avi
903627899,SMP,1,103.00,118.00,4.36,118.00,114.00,4.72,227.95,698.79,195.67,729.42,246.34,694.53,-,30.39,-0.71,-19.56,-29.11,0.40,-22.17,0.34,-0.35,0.88,0.33,-0.32,0.89,0,00:00:00:22,,Blink,tom2-2-recording.avi
903661163,SMP,1,109.00,118.00,4.24,108.00,114.00,4.60,205.12,704.47,176.12,739.37,219.54,696.03,-,30.39,-0.71,-19.56,-29.10,0.39,-22.16,0.35,-0.35,0.87,0.35,-0.32,0.88,0,00:00:00:23,,Blink,tom2-2-recording.avi
903694427,SMP,1,56.00,58.00,0.00,112.00,116.00,4.64,146.80,847.26,61.83,1035.63,205.32,696.58,-,30.39,-0.71,-19.56,-29.09,0.38,-22.15,-0.40,0.53,-0.75,0.36,-0.32,0.88,0,00:00:01:00,,Blink,tom2-2-recording.avi
903727661,SMP,1,56.00,59.00,0.00,112.00,118.00,4.74,134.75,837.59,31.62,1014.00,210.77,698.54,-,30.39,-0.71,-19.56,-29.07,0.38,-22.14,-0.42,0.51,-0.75,0.36,-0.32,0.88,0,00:00:01:01,,Blink,tom2-2-recording.avi
903761108,SMP,1,57.00,59.00,0.00,114.00,118.00,4.76,133.24,835.28,27.60,1009.14,211.68,698.69,-,30.39,-0.71,-19.56,-29.06,0.37,-22.13,-0.43,0.51,-0.75,0.36,-0.32,0.88,0,00:00:01:02,,Blink,tom2-2-recording.avi
903794311,SMP,1,58.00,59.00,0.00,116.00,118.00,4.74,138.83,839.32,36.43,1014.59,214.27,701.46,-,30.39,-0.71,-19.56,-29.05,0.36,-22.12,-0.42,0.51,-0.75,0.36,-0.32,0.88,0,00:00:01:02,,Blink,tom2-2-recording.avi
903827545,SMP,1,57.00,59.00,0.00,114.00,118.00,4.72,141.22,840.46,39.34,1016.16,216.26,702.21,-,30.39,-0.71,-19.56,-29.03,0.35,-22.11,-0.42,0.52,-0.75,0.35,-0.32,0.88,0,00:00:01:03,,Blink,tom2-2-recording.avi
903860778,SMP,1,57.00,59.00,0.00,114.00,118.00,4.70,148.54,845.67,51.75,1026.57,218.82,702.40,-,30.39,-0.71,-19.56,-29.02,0.35,-22.10,-0.41,0.52,-0.75,0.35,-0.32,0.88,0,00:00:01:04,,Blink,tom2-2-recording.avi
903894165,SMP,1,56.00,57.00,0.00,112.00,114.00,4.66,147.29,845.49,46.61,1024.96,221.39,703.65,-,30.39,-0.71,-19.56,-29.01,0.34,-22.09,-0.41,0.52,-0.75,0.35,-0.33,0.88,0,00:00:01:04,,Blink,tom2-2-recording.avi
903927429,SMP,1,52.00,54.00,0.00,104.00,108.00,4.24,487.67,697.78,0.00,0.00,486.04,696.31,-,0.00,0.00,0.00,-29.01,0.34,-22.09,0.00,0.00,0.00,0.15,-0.34,0.93,0,00:00:01:05,,Blink,tom2-2-recording.avi
903960693,SMP,1,123.00,106.00,4.24,120.00,102.00,4.40,699.68,657.84,661.45,653.91,739.07,687.56,-,30.38,-0.71,-19.57,-29.01,0.34,-22.10,-0.04,-0.31,0.95,-0.07,-0.33,0.94,0,00:00:01:06,,Blink,tom2-2-recording.avi
903993927,SMP,1,124.00,107.00,4.24,122.00,104.00,4.28,703.18,664.94,660.18,656.14,747.43,699.73,-,30.37,-0.70,-19.58,-29.01,0.35,-22.11,-0.04,-0.31,0.95,-0.07,-0.34,0.94,0,00:00:01:07,,Blink,tom2-2-recording.avi
904027160,SMP,1,123.00,103.00,4.22,122.00,96.00,4.40,702.96,654.77,653.87,650.61,753.35,684.62,-,30.36,-0.70,-19.59,-29.01,0.35,-22.12,-0.03,-0.30,0.95,-0.08,-0.33,0.94,0,00:00:01:08,,Blink,tom2-2-recording.avi
904060424,SMP,1,123.00,106.00,4.22,122.00,104.00,4.38,701.92,656.10,651.95,650.09,753.15,687.84,-,30.36,-0.70,-19.59,-29.01,0.35,-22.12,-0.03,-0.30,0.95,-0.08,-0.33,0.94,0,00:00:01:09,,Blink,tom2-2-recording.avi
904093780,SMP,1,123.00,106.00,4.22,122.00,104.00,4.40,702.13,652.49,652.33,647.13,753.21,683.49,-,30.35,-0.70,-19.59,-29.02,0.36,-22.13,-0.03,-0.30,0.95,-0.08,-0.33,0.94,0,00:00:01:10,,Blink,tom2-2-recording.avi
904127044,SMP,1,123.00,103.00,4.22,122.00,98.00,4.42,700.72,649.24,649.54,647.12,753.15,676.90,-,30.35,-0.70,-19.59,-29.02,0.36,-22.13,-0.03,-0.30,0.95,-0.08,-0.32,0.94,0,00:00:01:11,,Blink,tom2-2-recording.avi
904160308,SMP,1,124.00,107.00,4.26,122.00,104.00,4.32,700.32,651.22,647.13,642.95,754.71,685.10,-,30.34,-0.71,-19.59,-29.02,0.36,-22.13,-0.03,-0.30,0.95,-0.08,-0.33,0.94,0,00:00:01:11,,Blink,tom2-2-recording.avi
904193542,SMP,1,124.00,106.00,4.26,122.00,102.00,4.40,702.36,647.04,648.38,642.50,757.64,677.06,-,30.34,-0.71,-19.59,-29.02,0.36,-22.14,-0.03,-0.30,0.95,-0.08,-0.32,0.94,0,00:00:01:12,,Blink,tom2-2-recording.avi
904226776,SMP,1,56.00,55.00,4.00,0.00,0.00,0.00,533.23,667.97,534.93,666.86,0.00,0.00,-,30.34,-0.71,-19.59,0.00,0.00,0.00,0.07,-0.32,0.95,0.00,0.00,0.00,0,00:00:01:13,,Blink,tom2-2-recording.avi
904260253,SMP,1,53.00,56.00,3.94,0.00,0.00,0.00,246.45,740.72,250.63,738.30,0.00,0.00,-,30.34,-0.71,-19.59,0.00,0.00,0.00,0.30,-0.36,0.89,0.00,0.00,0.00,0,00:00:01:14,,Blink,tom2-2-recording.avi
904293457,SMP,1,110.00,114.00,4.12,110.00,110.00,4.28,214.37,723.66,185.06,750.43,229.40,723.91,-,30.34,-0.71,-19.59,-29.02,0.36,-22.14,0.35,-0.36,0.87,0.34,-0.34,0.87,0,00:00:01:14,,Blink,tom2-2-recording.avi
904326660,SMP,1,100.00,115.00,4.20,110.00,112.00,4.58,224.26,715.26,185.17,745.57,249.41,711.77,-,30.34,-0.71,-19.59,-29.02,0.36,-22.14,0.35,-0.36,0.87,0.33,-0.33,0.88,0,00:00:01:15,,Blink,tom2-2-recording.avi
904359924,SMP,1,102.00,116.00,4.20,106.00,112.00,4.36,216.01,719.05,180.23,744.65,237.55,720.37,-,30.34,-0.71,-19.59,-29.01,0.35,-22.13,0.35,-0.36,0.87,0.34,-0.34,0.88,0,00:00:01:16,,Blink,tom2-2-recording.avi
904393157,SMP,1,101.00,115.00,4.14,106.00,112.00,4.32,216.08,720.46,185.47,745.38,232.44,722.49,-,30.34,-0.71,-19.59,-29.01,0.34,-22.12,0.35,-0.36,0.87,0.34,-0.34,0.88,0,00:00:01:17,,Blink,tom2-2-recording.avi
904426574,SMP,1,105.00,116.00,4.14,110.00,112.00,4.58,219.51,716.22,175.66,746.94,249.29,712.33,-,30.34,-0.71,-19.59,-29.00,0.33,-22.11,0.35,-0.36,0.87,0.33,-0.33,0.88,0,00:00:01:18,,Blink,tom2-2-recording.avi
904459777,SMP,1,99.00,117.00,3.90,100.00,116.00,4.56,192.15,733.30,138.21,775.22,231.37,718.60,-,30.34,-0.71,-19.59,-29.00,0.33,-22.11,0.38,-0.37,0.85,0.34,-0.34,0.88,0,00:00:01:18,,Fixation,tom2-2-recording.avi
904493041,SMP,1,100.00,117.00,4.18,100.00,116.00,4.58,194.46,721.84,144.53,753.95,229.60,716.67,-,30.34,-0.71,-19.59,-28.99,0.32,-22.10,0.37,-0.36,0.86,0.34,-0.34,0.88,0,00:00:01:19,,Fixation,tom2-2-recording.avi
904526275,SMP,1,100.00,117.00,4.20,108.00,114.00,4.60,194.67,722.68,150.24,753.02,224.27,719.31,-,30.34,-0.71,-19.59,-28.98,0.31,-22.10,0.37,-0.36,0.86,0.35,-0.34,0.87,0,00:00:01:20,,Fixation,tom2-2-recording.avi
904559600,SMP,1,101.00,119.00,4.24,110.00,116.00,4.62,194.92,721.78,147.28,752.07,227.74,718.43,-,30.34,-0.71,-19.59,-28.98,0.31,-22.09,0.37,-0.36,0.86,0.35,-0.34,0.88,0,00:00:01:21,,Fixation,tom2-2-recording.avi
904592926,SMP,1,97.00,119.00,4.24,100.00,116.00,4.60,200.50,721.22,152.05,750.78,234.31,718.61,-,30.34,-0.71,-19.59,-28.97,0.30,-22.08,0.37,-0.36,0.86,0.34,-0.34,0.88,0,00:00:01:21,,Fixation,tom2-2-recording.avi
