KeyFrame,RootKeyFrame,BoneKeyFrames
14,14,"14 0 11 12 14 19 19 10 0 0 9 0 0 0 14 20 16 19 14 0 14 0 9 16 14 15 14 0 14 0 14 14 13 14 0 14 14 16 14 0"
27,25,"27 0 27 29 29 26 26 27 0 0 27 0 0 0 30 23 22 23 27 0 27 0 29 27 25 25 27 0 27 0 27 30 27 21 0 24 24 25 27 0"
35,35,"38 0 32 35 35 33 33 35 0 0 34 0 0 0 35 35 35 36 35 0 35 0 35 37 36 38 35 0 35 0 36 35 33 32 0 33 41 39 35 0"
50,51,"50 0 50 50 50 49 49 50 0 0 50 0 0 0 47 49 49 49 50 0 50 0 48 45 45 48 50 0 50 0 45 53 45 43 0 53 50 55 50 0"
60,60,"62 0 55 60 60 61 61 60 0 0 60 0 0 0 59 57 62 59 60 0 60 0 61 61 61 61 60 0 60 0 63 60 60 59 0 61 57 55 60 0"
70,69,"68 0 71 68 68 70 70 70 0 0 70 0 0 0 68 67 70 71 70 0 70 0 67 66 69 68 70 0 70 0 70 71 71 71 0 77 71 75 70 0"
89,91,"92 0 91 91 91 89 89 89 0 0 89 0 0 0 94 82 94 93 89 0 89 0 90 89 82 89 89 0 89 0 89 89 91 93 0 91 82 88 89 0"
99,104,"101 0 96 97 97 99 99 99 0 0 99 0 0 0 94 95 94 104 99 0 99 0 99 104 99 99 99 0 99 0 100 97 102 97 0 99 99 102 99 0"
110,110,"111 0 107 111 110 111 111 110 0 0 110 0 0 0 110 111 111 111 110 0 110 0 107 110 108 114 110 0 110 0 108 106 107 106 0 111 112 110 110 0"
119,119,"118 0 119 120 120 120 120 118 0 0 119 0 0 0 118 120 122 119 119 0 119 0 119 119 122 121 119 0 119 0 118 119 119 119 0 118 120 122 119 0"
127,125,"127 0 134 134 134 126 126 125 0 0 127 0 0 0 132 131 131 131 127 0 127 0 128 134 134 134 127 0 127 0 124 129 134 127 0 129 127 127 127 0"
141,141,"140 0 145 134 134 142 142 141 0 0 141 0 0 0 141 141 142 140 141 0 141 0 140 134 134 134 141 0 141 0 140 143 138 137 0 135 143 138 141 0"
149,148,"149 0 149 149 149 149 149 149 0 0 149 0 0 0 146 148 149 146 149 0 149 0 151 147 149 149 149 0 149 0 149 150 148 149 0 152 150 149 149 0"
157,157,"157 0 157 158 158 155 155 157 0 0 157 0 0 0 153 154 155 154 157 0 157 0 156 156 158 154 157 0 157 0 157 162 157 157 0 157 156 156 157 0"
181,180,"179 0 181 181 181 175 175 176 0 0 177 0 0 0 181 180 174 174 181 0 181 0 184 181 185 181 181 0 181 0 185 185 182 181 0 183 178 185 181 0"
190,190,"188 0 189 190 190 191 192 190 0 0 190 0 0 0 187 186 187 188 190 0 190 0 191 189 192 187 190 0 190 0 190 190 186 190 0 188 189 190 190 0"
200,196,"201 0 200 200 200 200 200 200 0 0 200 0 0 0 200 197 201 203 200 0 200 0 200 198 200 196 200 0 200 0 196 199 198 200 0 200 197 198 200 0"
