KeyFrame,RootKeyFrame,BoneKeyFrames
15,14,"14 0 15 16 16 15 15 15 0 0 15 0 0 0 15 15 13 15 15 0 15 0 18 14 15 16 15 0 15 0 13 20 16 15 0 12 15 13 15 0"
25,27,"24 0 30 26 26 23 23 25 0 0 25 0 0 0 25 22 32 31 25 0 25 0 25 32 31 32 25 0 25 0 25 25 23 25 0 27 32 23 25 0"
48,47,"48 0 48 52 52 48 48 48 0 0 48 0 0 0 48 47 41 47 48 0 48 0 52 42 42 41 48 0 48 0 48 51 48 48 0 47 51 48 48 0"
57,55,"54 0 57 57 57 57 57 57 0 0 57 0 0 0 57 53 54 55 57 0 57 0 57 57 56 60 57 0 57 0 56 57 55 57 0 55 57 54 57 0"
65,65,"65 0 65 65 65 66 66 65 0 0 65 0 0 0 65 62 64 63 65 0 65 0 66 65 65 65 65 0 65 0 65 65 65 65 0 65 65 65 65 0"
74,79,"79 0 74 74 74 74 74 74 0 0 74 0 0 0 74 73 73 81 74 0 74 0 74 74 76 74 74 0 74 0 72 76 75 74 0 74 74 75 74 0"
94,95,"94 0 94 94 94 94 94 94 0 0 94 0 0 0 94 91 91 95 94 0 94 0 94 94 95 94 94 0 94 0 94 94 94 94 0 94 94 94 94 0"
119,125,"123 0 124 126 126 117 117 119 0 0 119 0 0 0 120 120 119 119 119 0 119 0 119 119 115 116 119 0 119 0 122 119 126 125 0 116 118 117 119 0"
135,141,"140 0 129 135 135 134 134 135 0 0 135 0 0 0 135 134 134 135 135 0 135 0 137 134 131 137 135 0 135 0 138 134 141 142 0 136 135 141 135 0"
150,152,"151 0 149 148 148 151 151 150 0 0 150 0 0 0 146 143 152 152 150 0 150 0 147 150 146 154 150 0 150 0 152 149 151 148 0 148 144 143 150 0"
159,159,"166 0 163 160 160 166 166 159 0 0 159 0 0 0 163 158 160 163 159 0 159 0 156 163 163 163 159 0 159 0 159 156 165 160 0 162 159 159 159 0"
176,178,"179 0 178 176 176 172 172 176 0 0 176 0 0 0 178 172 177 175 176 0 176 0 174 174 174 179 176 0 176 0 174 178 179 170 0 175 176 175 176 0"
184,184,"185 0 184 184 184 184 184 184 0 0 184 0 0 0 186 186 187 184 184 0 184 0 190 187 188 186 184 0 184 0 184 184 187 186 0 180 183 183 184 0"
200,199,"204 0 202 205 205 200 200 200 0 0 200 0 0 0 206 201 206 202 200 0 200 0 196 198 206 200 200 0 200 0 203 199 199 200 0 198 204 200 200 0"
213,214,"215 0 213 211 211 214 214 213 0 0 213 0 0 0 220 209 215 207 213 0 213 0 215 218 218 218 213 0 213 0 212 218 213 212 0 209 212 213 213 0"
228,229,"222 0 228 227 227 229 229 228 0 0 233 0 0 0 228 228 222 223 228 0 228 0 224 228 226 231 228 0 228 0 223 227 226 227 0 227 230 230 228 0"
238,233,"233 0 237 237 237 242 242 239 0 0 239 0 0 0 240 240 240 233 238 0 238 0 242 243 233 240 238 0 238 0 239 239 243 245 0 238 237 237 238 0"
253,252,"253 0 256 253 253 248 248 253 0 0 253 0 0 0 250 254 255 255 253 0 253 0 248 247 247 247 253 0 253 0 248 260 252 253 0 248 250 253 253 0"
271,275,"269 0 270 272 272 270 270 269 0 0 269 0 0 0 274 275 271 264 271 0 271 0 268 269 265 272 271 0 271 0 266 276 270 271 0 269 276 271 271 0"
288,283,"287 0 294 294 294 288 288 288 0 0 288 0 0 0 288 285 284 284 288 0 288 0 289 288 294 288 288 0 288 0 284 289 290 288 0 284 287 288 288 0"
306,309,"305 0 305 307 307 306 306 303 0 0 306 0 0 0 306 305 306 309 306 0 306 0 311 304 306 304 306 0 306 0 305 306 307 307 0 305 307 303 306 0"
316,321,"319 0 319 321 321 314 314 316 0 0 316 0 0 0 316 316 316 316 316 0 316 0 320 314 318 314 316 0 316 0 318 312 316 313 0 318 313 317 316 0"
326,321,"329 0 327 321 321 328 328 326 0 0 329 0 0 0 325 325 328 328 326 0 326 0 327 327 326 324 326 0 326 0 324 324 324 325 0 326 330 329 326 0"
337,335,"340 0 337 337 337 339 339 337 0 0 337 0 0 0 335 341 342 332 337 0 337 0 337 335 344 339 337 0 337 0 344 341 344 337 0 338 336 337 337 0"
352,345,"345 0 347 353 353 345 345 352 0 0 352 0 0 0 347 348 347 346 352 0 352 0 345 359 352 359 352 0 352 0 350 348 352 345 0 359 353 352 352 0"
371,374,"376 0 365 371 371 370 370 370 0 0 370 0 0 0 372 364 364 366 371 0 371 0 372 365 371 368 371 0 371 0 373 371 371 371 0 376 375 375 371 0"
381,384,"384 0 380 387 387 379 379 381 0 0 381 0 0 0 384 384 381 380 381 0 381 0 381 384 383 386 381 0 381 0 382 387 384 383 0 386 383 381 381 0"
405,405,"405 0 399 399 399 408 408 407 0 0 405 0 0 0 409 408 410 410 405 0 405 0 406 407 410 411 405 0 405 0 405 409 406 405 0 407 404 405 405 0"
417,414,"415 0 421 417 417 414 414 415 0 0 413 0 0 0 417 419 414 423 417 0 417 0 415 421 422 411 417 0 417 0 413 417 417 419 0 418 417 419 417 0"
432,432,"432 0 429 431 431 433 433 430 0 0 431 0 0 0 436 433 437 435 432 0 432 0 433 433 427 426 432 0 432 0 430 434 433 431 0 433 429 431 432 0"
445,447,"445 0 446 444 443 440 440 445 0 0 445 0 0 0 446 446 444 442 445 0 445 0 444 444 450 452 445 0 445 0 445 442 444 446 0 445 449 448 445 0"
