KeyFrame,RootKeyFrame,BoneKeyFrames
12,8,"7 0 11 11 12 12 12 12 0 0 12 0 0 0 10 14 16 16 12 0 12 0 12 12 14 14 12 0 12 0 7 12 8 12 0 7 18 8 12 0"
28,27,"27 0 29 30 29 27 27 34 0 0 34 0 0 0 28 27 26 23 28 0 28 0 32 25 28 25 28 0 28 0 28 31 29 26 0 28 28 29 28 0"
41,44,"41 0 39 42 42 41 41 41 0 0 41 0 0 0 47 37 41 45 41 0 41 0 38 46 40 36 41 0 41 0 40 41 43 41 0 38 41 44 41 0"
57,61,"63 0 61 57 57 55 56 63 0 0 59 0 0 0 61 61 60 60 57 0 57 0 57 63 63 50 57 0 57 0 57 56 57 57 0 56 56 58 57 0"
69,69,"69 0 73 70 70 74 74 63 0 0 64 0 0 0 71 69 69 73 69 0 69 0 65 75 69 73 69 0 69 0 73 76 68 70 0 67 70 70 69 0"
85,86,"89 0 84 85 85 83 83 85 0 0 85 0 0 0 87 84 84 82 85 0 85 0 85 81 79 79 85 0 85 0 79 85 78 80 0 86 85 85 85 0"
100,107,"102 0 104 96 96 100 100 100 0 0 100 0 0 0 102 94 96 106 100 0 100 0 96 96 106 104 100 0 100 0 104 105 104 104 0 100 93 98 100 0"
128,130,"130 0 127 130 130 128 128 128 0 0 128 0 0 0 133 128 126 128 128 0 128 0 130 128 129 126 128 0 128 0 123 124 122 123 0 129 128 128 128 0"
138,144,"134 0 140 140 140 142 142 138 0 0 138 0 0 0 140 144 136 145 138 0 138 0 143 141 140 135 138 0 138 0 143 144 142 138 0 137 135 135 138 0"
152,152,"151 0 155 157 157 151 151 153 0 0 152 0 0 0 157 153 152 155 152 0 152 0 151 150 147 150 152 0 152 0 152 154 148 152 0 152 153 153 152 0"
164,160,"169 0 160 168 168 164 164 168 0 0 160 0 0 0 164 159 160 160 164 0 164 0 164 165 161 164 164 0 164 0 165 171 160 164 0 171 162 168 164 0"
181,184,"183 0 179 181 181 181 181 181 0 0 179 0 0 0 181 181 176 180 181 0 181 0 178 176 185 178 181 0 181 0 182 182 182 181 0 179 186 179 181 0"
193,190,"195 0 195 196 196 193 193 191 0 0 194 0 0 0 193 193 197 195 193 0 193 0 191 197 199 193 193 0 193 0 198 193 197 196 0 191 193 188 193 0"
206,206,"205 0 207 206 206 201 201 210 0 0 207 0 0 0 202 201 206 207 206 0 206 0 206 205 205 205 206 0 206 0 206 200 209 205 0 202 208 202 206 0"
