Character,AnimationClip,StartFrame,EndFrame,Target,HeadAlign,TorsoAlign
Norman,TestGaze1,1,29,WindowUpperRight,-1,-1
Norman,TestGaze2,47,78,WindowUpperLeft,-1,-1
Norman,TestGaze3,91,102,WindowCenterLeft,-1,-1
Norman,TestGaze4,103,131,WindowCenterRight,-1,-1
Norman,TestGaze5,133,142,WindowLowerRight,-1,-1
Norman,TestGaze6,165,187,WindowCenterLeft,-1,-1
Norman,TestGaze7,189,204,WindowLowerLeft,-1,-1
Norman,TestGaze8,210,220,AboveBucket,-1,-1
Norman,TestGaze9,237,248,WindowUpperCenter,-1,-1
Norman,TestGaze10,249,270,WindowUpperRight,-1,-1
Norman,TestGaze11,272,295,WindowUpperLeft,-1,-1
Norman,TestGaze12,308,337,WindowUpperRight,-1,-1
Norman,TestGaze13,344,372,WindowCenterLeft,-1,-1
Norman,TestGaze14,376,379,AboveBucket,-1,-1
Norman,TestGaze15,382,393,WindowUpperCenter,-1,-1
Norman,TestGaze16,406,430,WindowUpperRight,-1,-1
Norman,TestGaze17,432,465,WindowCenterLeft,-1,-1
Norman,TestGaze18,470,497,WindowCenterRight,-1,-1
Norman,TestGaze19,499,515,WindowCenterLeft,-1,-1
Norman,TestGaze20,516,527,AboveBucket,-1,-1
Norman,TestGaze21,534,542,WindowCenter,-1,-1
Norman,TestGaze22,550,583,WindowCenterRight,-1,-1
Norman,TestGaze23,585,605,WindowLowerLeft,-1,-1
Norman,TestGaze24,608,632,WindowLowerRight,-1,-1
Norman,TestGaze25,635,650,WindowLowerLeft,-1,-1
Norman,TestGaze26,655,662,AboveBucket,-1,-1
Norman,TestGaze27,665,673,WindowCenter,-1,-1
Norman,TestGaze28,690,702,WindowUpperCenter,-1,-1
