Character,AnimationClip,StartFrame,EndFrame,Target,HeadAlign,TorsoAlign
Norman,PassSodaAGaze1,38,46,RomanFace,1,-1
Norman,PassSodaAGaze2,57,64,SodaBottleA,0.5,-1
#Norman,PassSodaAGaze4,69,106,RomanFace,1,-1
Norman,PassSodaAGaze3,69,106,NormanetteFace,1,-1
#Norman,PassSodaAGaze4,95,106,RomanFace,1,-1
Norman,PassSodaAGaze5,125,137,SodaBottleB,0.5,-1
#Norman,PassSodaAGaze7,152,190,SodaBottleB,-1,-1
Norman,PassSodaAGaze6,152,190,NormanetteBack,1,-1
#Norman,PassSodaAGaze7,177,190,SodaBottleB,-1,-1
Norman,PassSodaAGaze8,195,206,RomanFace,1,-1
