ExpressiveGazeClip,GazeInstance,GazeShiftRotation
TestExpressiveGaze1-Expressive0,TestExpressiveGaze1,"-0.1098757 -0.2213034 -0.009624372"
TestExpressiveGaze1-Expressive1,TestExpressiveGaze1,"-0.00856875 -0.108812 0.01259119"
TestExpressiveGaze1-Expressive2,TestExpressiveGaze1,"0 0 0"
TestExpressiveGaze1-Expressive3,TestExpressiveGaze1,"0 0 0"
TestExpressiveGaze1-Expressive4,TestExpressiveGaze1,"0 0 0"
TestExpressiveGaze2-Expressive0,TestExpressiveGaze2,"0.3342383 0.080583 -0.05812534"
TestExpressiveGaze2-Expressive1,TestExpressiveGaze2,"0.1256895 -0.06053068 -0.008761727"
TestExpressiveGaze2-Expressive2,TestExpressiveGaze2,"0 0 0"
TestExpressiveGaze2-Expressive3,TestExpressiveGaze2,"0 0 0"
TestExpressiveGaze2-Expressive4,TestExpressiveGaze2,"0 0 0"
