Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,WaitForBusGaze1Start-Ahead,1,1,16,null,"4.418586 5.093864 2.052639",0.06022276,0.01060915,True
Norman,WaitForBusGaze1,17,32,50,WaitForBusEnv_0,"0 0 0",0.5483748,0.02894759,True
Norman,WaitForBusGaze2,51,22,136,WaitForBusEnv_1,"0 0 0",0.3602442,0,True
Norman,WaitForBusGaze4,137,18,155,Road_0,"0 0 0",0.5538194,0,True
Norman,WaitForBusGaze5,156,44,215,Grass1_0,"0 0 0",0.9054651,0.04527422,True
Norman,WaitForBusGaze6,216,25,255,Sign_pole_0,"0 0 0",1,0.1538941,True
Norman,WaitForBusGaze6-Ahead,256,43,328,WaitForBusEnv_6,"-0.2548869 2.803788 4.12913",0.4465039,0,True
Norman,WaitForBusGaze7,329,31,418,Sign_pole_1,"0 0 0",0.7443554,0.06895816,True
Norman,WaitForBusGaze9,419,25,445,Sign_pole_2,"0 0 0",0.5705177,0.02701846,True
Norman,WaitForBusGaze10,446,46,544,Road_1,"0 0 0",0.981227,0,True
Norman,WaitForBusGaze13,545,18,564,Sign_pole_3,"0 0 0",0.4974356,0.006122885,True
Norman,WaitForBusGaze14,565,31,597,Road_3,"0 0 0",0.4997683,0,True
Norman,WaitForBusGaze15,598,42,653,WaitForBusEnv_3,"0 0 0",0.6923167,0.05065824,True
Norman,WaitForBusGaze16,654,27,682,Road_4,"0 0 0",0.3523654,0,True
Norman,WaitForBusGaze17,683,32,716,Sign_1,"0 0 0",0.677779,0.1742793,True
Norman,WaitForBusGaze18,717,54,796,Grass1_2,"0 0 0",0.6466902,0.00283668,True
Norman,WaitForBusGaze19,797,31,842,Grass1_3,"0 0 0",0.9727657,0.08462235,True
Norman,WaitForBusGaze19-Ahead,843,40,883,Road_1,"-0.9717457 2.097724 3.265458",0.2728546,0,True
Norman,WaitForBusGaze20,884,21,906,Grass1_4,"0 0 0",0.9815974,0,True
Norman,WaitForBusGaze21,907,33,941,Road_5,"0 0 0",0.8756295,0.03682594,True
Norman,WaitForBusGaze22,942,20,963,Road_6,"0 0 0",0.6619329,0.008970141,True
Norman,WaitForBusGaze23,964,25,1006,Sign_pole_4,"0 0 0",0.9396362,0.1603518,True
Norman,WaitForBusGaze24,1007,23,1044,Sign_pole_5,"0 0 0",1,0.1190565,True
Norman,WaitForBusGaze24-Ahead,1045,11,1056,null,"3.147935 4.575202 1.008183",0.3990974,0,True
Norman,WaitForBusGaze25,1057,13,1084,WaitForBusEnv_4,"0 0 0",0.6309287,0,True
Norman,WaitForBusGaze25-Ahead,1085,40,1138,WaitForBusEnv_8,"1.059327 4.849638 3.86113",0.9711199,0.2413656,True
Norman,WaitForBusGaze26,1139,40,1180,WaitForBusEnv_5,"0 0 0",0.7437607,0,True
Norman,WaitForBusGaze27,1181,45,1227,Sign_2,"0 0 0",0.8865011,0.2235604,True
Norman,WaitForBusGaze28,1228,37,1283,Grass1_5,"0 0 0",0.6161686,0.0100879,True
Norman,WaitForBusGaze29,1284,57,1342,WaitForBusEnv_6,"0 0 0",0.97107,0.02521053,True
Norman,WaitForBusGaze30,1343,24,1381,WaitForBusEnv_7,"0 0 0",0.4519683,0,True
Norman,WaitForBusGaze30-Ahead,1382,22,1404,null,"-1.330912 5.738189 3.809215",1,0,True
Norman,WaitForBusGaze31,1405,18,1424,WaitForBusEnv_8,"0 0 0",0.9353173,0.1858483,True
Norman,WaitForBusGaze32,1425,17,1456,WaitForBusEnv_9,"0 0 0",0.4776187,0,True
Norman,WaitForBusGaze32-Ahead,1457,38,1495,null,"1.879443 5.042739 2.91841",0.410347,0,True
Norman,WaitForBusGaze33,1496,40,1553,Sign_3,"0 0 0",0.9837834,0.1163219,True
