Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,WaitForBusGaze1Start-Ahead,1,1,16,null,"0 0 0",0,0,True
Norman,WaitForBusGaze1,17,32,50,WaitForBusEnv_0,"0 0 0",0,0,True
Norman,WaitForBusGaze2,51,22,91,WaitForBusEnv_0,"0 0 0",0,0,True
Norman,WaitForBusGaze3,92,27,120,Sign_0,"0 0 0",0,0,True
Norman,WaitForBusGaze4,121,33,155,Road_0,"0 0 0",0,0,True
Norman,WaitForBusGaze5,156,44,215,Grass1_0,"0 0 0",0,0,True
Norman,WaitForBusGaze6,216,25,255,Sign_pole_0,"0 0 0",0,0,True
Norman,WaitForBusGaze6-Ahead,256,-1,328,null,"0 0 0",0,0,True
Norman,WaitForBusGaze7,329,31,381,Sign_0,"0 0 0",0,0,True
Norman,WaitForBusGaze8,382,35,418,Grass1_1,"0 0 0",0,0,True
Norman,WaitForBusGaze9,419,25,445,Sign_pole_1,"0 0 0",0,0,True
Norman,WaitForBusGaze10,446,46,493,WaitForBusEnv_0,"0 0 0",0,0,True
Norman,WaitForBusGaze11,494,28,523,Road_1,"0 0 0",0,0,True
Norman,WaitForBusGaze12,524,19,544,WaitForBusEnv_1,"0 0 0",0,0,True
Norman,WaitForBusGaze13,545,18,564,Sign_pole_1,"0 0 0",0,0,True
Norman,WaitForBusGaze14,565,31,597,Road_2,"0 0 0",0,0,True
Norman,WaitForBusGaze15,598,42,653,WaitForBusEnv_0,"0 0 0",0,0,True
Norman,WaitForBusGaze16,654,27,682,Road_3,"0 0 0",0,0,True
Norman,WaitForBusGaze17,683,32,716,Sign_0,"0 0 0",0,0,True
Norman,WaitForBusGaze18,717,54,785,Grass1_2,"0 0 0",0,0,True
Norman,WaitForBusGaze18-Ahead,786,-1,796,null,"0 0 0",0,0,True
Norman,WaitForBusGaze19,797,31,842,Grass1_3,"0 0 0",0,0,True
Norman,WaitForBusGaze19-Ahead,843,-1,883,null,"0 0 0",0,0,True
Norman,WaitForBusGaze20,884,21,906,Grass1_4,"0 0 0",0,0,True
Norman,WaitForBusGaze21,907,33,941,Road_4,"0 0 0",0,0,True
Norman,WaitForBusGaze22,942,20,963,WaitForBusEnv_0,"0 0 0",0,0,True
Norman,WaitForBusGaze23,964,25,1006,Sign_pole_1,"0 0 0",0,0,True
Norman,WaitForBusGaze24,1007,23,1044,Sign_pole_2,"0 0 0",0,0,True
Norman,WaitForBusGaze24-Ahead,1045,-1,1056,null,"0 0 0",0,0,True
Norman,WaitForBusGaze25,1057,13,1084,WaitForBusEnv_0,"0 0 0",0,0,True
Norman,WaitForBusGaze25-Ahead,1085,-1,1138,null,"0 0 0",0,0,True
Norman,WaitForBusGaze26,1139,40,1180,WaitForBusEnv_0,"0 0 0",0,0,True
Norman,WaitForBusGaze27,1181,45,1227,Sign_0,"0 0 0",0,0,True
Norman,WaitForBusGaze28,1228,37,1283,Grass1_5,"0 0 0",0,0,True
Norman,WaitForBusGaze29,1284,57,1342,WaitForBusEnv_2,"0 0 0",0,0,True
Norman,WaitForBusGaze30,1343,24,1381,WaitForBusEnv_3,"0 0 0",0,0,True
Norman,WaitForBusGaze30-Ahead,1382,-1,1404,null,"0 0 0",0,0,True
Norman,WaitForBusGaze31,1405,18,1424,WaitForBusEnv_2,"0 0 0",0,0,True
Norman,WaitForBusGaze32,1425,17,1456,WaitForBusEnv_2,"0 0 0",0,0,True
Norman,WaitForBusGaze32-Ahead,1457,-1,1495,null,"0 0 0",0,0,True
Norman,WaitForBusGaze33,1496,40,1553,Sign_1,"0 0 0",0,0,True
