Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,WaitForBusGaze1Start-Ahead,1,1,16,null,"4.418586 5.093864 2.052639",0.06022276,0.01060915,True
Norman,WaitForBusGaze1,17,32,50,WaitForBusEnv_0,"0 0 0",0.5483748,0.02894759,True
Norman,WaitForBusGaze2,51,22,91,WaitForBusEnv_1,"0 0 0",0.3602442,0,True
Norman,WaitForBusGaze3,92,27,120,Sign_0,"0 0 0",0.6447064,0.1474444,True
Norman,WaitForBusGaze4,121,33,155,Road_0,"0 0 0",0.5538194,0,True
Norman,WaitForBusGaze5,156,44,215,Grass1_0,"0 0 0",0.9054651,0.04527422,True
Norman,WaitForBusGaze6,216,25,255,Sign_pole_0,"0 0 0",1,0.1538941,True
Norman,WaitForBusGaze6-Ahead,256,43,328,null,"-0.2548869 2.803788 4.12913",0.4465039,0,True
Norman,WaitForBusGaze7,329,31,381,Sign_pole_1,"0 0 0",0.7443554,0.06895816,True
Norman,WaitForBusGaze8,382,35,418,Grass1_1,"0 0 0",0.7623671,0.0110043,True
Norman,WaitForBusGaze9,419,25,445,Sign_pole_2,"0 0 0",0.5705177,0.02701846,True
Norman,WaitForBusGaze10,446,46,493,WaitForBusEnv_0,"0 0 0",1,0,True
Norman,WaitForBusGaze11,494,28,523,Road_1,"0 0 0",0.826709,0,True
Norman,WaitForBusGaze12,524,19,544,WaitForBusEnv_2,"0 0 0",0.3110771,0,True
Norman,WaitForBusGaze13,545,18,564,Sign_pole_2,"0 0 0",0.509542,0.005240972,True
Norman,WaitForBusGaze14,565,31,597,Road_2,"0 0 0",0.4997683,0,True
Norman,WaitForBusGaze15,598,42,653,WaitForBusEnv_0,"0 0 0",0.5769918,0.02836685,True
Norman,WaitForBusGaze16,654,27,682,Road_3,"0 0 0",0.3523654,0,True
Norman,WaitForBusGaze17,683,32,716,Sign_0,"0 0 0",0.6768638,0.1664896,True
Norman,WaitForBusGaze18,717,54,785,Grass1_2,"0 0 0",0.6466902,0.00283668,True
Norman,WaitForBusGaze18-Ahead,786,10,796,null,"1.276136 1.184617 -4.208571",0.6079826,0,True
Norman,WaitForBusGaze19,797,31,842,Grass1_3,"0 0 0",0.9727657,0.08462235,True
Norman,WaitForBusGaze19-Ahead,843,40,883,null,"-0.9717457 2.097724 3.265458",0.2728546,0,True
Norman,WaitForBusGaze20,884,21,906,Grass1_4,"0 0 0",1,0,True
Norman,WaitForBusGaze21,907,33,941,Road_4,"0 0 0",0.8756295,0.03682594,True
Norman,WaitForBusGaze22,942,20,963,WaitForBusEnv_1,"0 0 0",0.6109955,0.008895307,True
Norman,WaitForBusGaze23,964,25,1006,Sign_pole_2,"0 0 0",0.9051033,0.170324,True
Norman,WaitForBusGaze24,1007,23,1044,Sign_pole_3,"0 0 0",1,0.1190565,True
Norman,WaitForBusGaze24-Ahead,1045,11,1056,null,"3.147935 4.575202 1.008183",0.3990974,0,True
Norman,WaitForBusGaze25,1057,13,1084,WaitForBusEnv_3,"0 0 0",0.6309287,0,True
Norman,WaitForBusGaze25-Ahead,1085,40,1138,null,"1.059327 4.849638 3.86113",0.999964,0.2413656,True
Norman,WaitForBusGaze26,1139,40,1180,WaitForBusEnv_3,"0 0 0",0.7166486,0,True
Norman,WaitForBusGaze27,1181,45,1227,Sign_0,"0 0 0",0.8929992,0.2250744,True
Norman,WaitForBusGaze28,1228,37,1283,Grass1_5,"0 0 0",0.6161686,0.0100879,True
Norman,WaitForBusGaze29,1284,57,1342,WaitForBusEnv_4,"0 0 0",0.97107,0.02521053,True
Norman,WaitForBusGaze30,1343,24,1381,WaitForBusEnv_5,"0 0 0",0.4519683,0,True
Norman,WaitForBusGaze30-Ahead,1382,22,1404,null,"-1.330912 5.738189 3.809215",1,0,True
Norman,WaitForBusGaze31,1405,18,1424,WaitForBusEnv_4,"0 0 0",0.7505062,0.1844658,True
Norman,WaitForBusGaze32,1425,17,1456,WaitForBusEnv_4,"0 0 0",0.2173417,0,True
Norman,WaitForBusGaze32-Ahead,1457,38,1495,null,"1.879443 5.042739 2.91841",0.410347,0,True
Norman,WaitForBusGaze33,1496,40,1553,Sign_1,"0 0 0",0.9837834,0.1163219,True
