Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,Walking90degGaze1-Ahead,1,39,76,null,"3.962608 3.214225 6.597405",0.8723739,0.4606947,True
Norman,Walking90degGaze2,77,20,98,Cone3,"0 0 0",0,0,True
Norman,Walking90degGaze2-Ahead,99,19,133,null,"-3.23479 3.855952 2.942616",0.5681757,0.4743881,True
Norman,Walking90degGaze3,134,17,151,Cone6,"0 0 0",0.1416937,1,True
Norman,Walking90degGaze3-Ahead,152,18,198,null,"-1.064156 3.966568 -4.529239",1,1,True
Norman,Walking90degGaze4,199,15,214,Cone8,"0 0 0",0,0,True
Norman,Walking90degGaze4-Ahead,215,21,259,null,"-10.70076 4.375851 -3.729625",0.9507381,1,True
Norman,Walking90degGaze5,260,13,273,Cone7,"0 0 0",0,0.1250039,True
Norman,Walking90degGaze5-Ahead,274,15,314,null,"-10.09501 4.159344 3.892931",0.5191364,1,True
Norman,Walking90degGaze6,315,17,335,Cone5,"0 0 0",1,0,True
Norman,Walking90degGaze6-Ahead,336,33,369,null,"0.7000856 4.422271 2.88365",1,0,True
Norman,Walking90degGaze7,370,28,403,Cone6,"0 0 0",0.9145897,0,True
Norman,Walking90degGaze7-Ahead,404,19,423,null,"-1.354605 4.24957 -5.906025",1,0,True
Norman,Walking90degGaze8,424,41,465,Cone2,"0 0 0",0,0.2170928,True
Norman,Walking90degGaze8-Ahead,466,43,510,null,"7.374127 3.91702 1.628902",0.7037858,0,True
Norman,Walking90degGaze9,511,23,608,null,"2.611611 4.578108 2.983606",1,0.6960034,True
