Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,Walking90degGaze1Start-Ahead,1,1,9,null,"0.9741125 4.571136 -1.147132",0,0,True
Norman,Walking90degGaze1,10,12,36,Cone4_0,"0 0 0",0.09505487,0,True
Norman,Walking90degGaze1-Ahead,37,34,93,null,"4.248429 3.18375 6.383549",0.7463167,0.366683,True
Norman,Walking90degGaze2,94,32,140,Floor_0,"0 0 0",0.6301609,0,True
Norman,Walking90degGaze2-Ahead,141,22,163,null,"-1.248176 3.621907 -3.653354",0.7369452,0,True
Norman,Walking90degGaze3,164,19,197,Walking90degEnv_0,"0 0 0",1,0,True
Norman,Walking90degGaze3-Ahead,198,7,205,null,"-6.559899 4.187802 -5.623749",0.4847063,0,True
Norman,Walking90degGaze4,206,30,250,Walking90degEnv_1,"0 0 0",0.9849101,0,True
Norman,Walking90degGaze4-Ahead,251,47,304,null,"-9.774329 4.200897 4.987597",0.3912463,0,True
Norman,Walking90degGaze5,305,22,341,Floor_1,"0 0 0",1,0,True
Norman,Walking90degGaze5-Ahead,342,33,500,null,"0.9557261 4.485802 1.568725",0,0.1638668,True
Norman,Walking90degGaze6,501,22,535,Cone1_0,"0 0 0",0,0.2911139,True
Norman,Walking90degGaze7,536,45,608,Walking90degEnv_1,"0 0 0",1,0,True
