Character,AnimationClip,StartFrame,EndFrame,Target,HeadAlign,TorsoAlign
NormanMittens,WindowWashingGaze1,1,29,WindowUpperRight,-1,-1
NormanMittens,WindowWashingGaze2,47,78,WindowUpperLeft,-1,-1
NormanMittens,WindowWashingGaze3,91,102,WindowCenterLeft,-1,-1
NormanMittens,WindowWashingGaze4,103,131,WindowCenterRight,-1,-1
NormanMittens,WindowWashingGaze5,133,142,WindowLowerRight,-1,-1
NormanMittens,WindowWashingGaze6,165,187,WindowCenterLeft,-1,-1
NormanMittens,WindowWashingGaze7,189,204,WindowLowerLeft,-1,-1
NormanMittens,WindowWashingGaze8,210,220,AboveBucket,-1,-1
NormanMittens,WindowWashingGaze9,237,248,WindowUpperCenter,-1,-1
NormanMittens,WindowWashingGaze10,249,270,WindowUpperRight,-1,-1
NormanMittens,WindowWashingGaze11,272,295,WindowUpperLeft,-1,-1
NormanMittens,WindowWashingGaze12,308,337,WindowUpperRight,-1,-1
NormanMittens,WindowWashingGaze13,344,372,WindowCenterLeft,-1,-1
NormanMittens,WindowWashingGaze14,376,379,AboveBucket,-1,-1
NormanMittens,WindowWashingGaze15,382,393,WindowUpperCenter,-1,-1
NormanMittens,WindowWashingGaze16,406,430,WindowUpperRight,-1,-1
NormanMittens,WindowWashingGaze17,432,465,WindowCenterLeft,-1,-1
NormanMittens,WindowWashingGaze18,470,497,WindowCenterRight,-1,-1
NormanMittens,WindowWashingGaze19,499,515,WindowCenterLeft,-1,-1
NormanMittens,WindowWashingGaze20,516,527,AboveBucket,-1,-1
NormanMittens,WindowWashingGaze21,534,542,WindowCenter,-1,-1
NormanMittens,WindowWashingGaze22,550,583,WindowCenterRight,-1,-1
NormanMittens,WindowWashingGaze23,585,605,WindowLowerLeft,-1,-1
NormanMittens,WindowWashingGaze24,608,632,WindowLowerRight,-1,-1
NormanMittens,WindowWashingGaze25,635,650,WindowLowerLeft,-1,-1
NormanMittens,WindowWashingGaze26,655,662,AboveBucket,-1,-1
NormanMittens,WindowWashingGaze27,665,673,WindowCenter,-1,-1
NormanMittens,WindowWashingGaze28,690,702,WindowUpperCenter,-1,-1
