imagePositionX,imagePositionY,eventType
552.95,776.23,2
535.13,52.6,2
567.8,538.54,2
579.72,549.56,2
590.23,532.91,0
594.73,529.1,0
599.66,528.01,2
598.71,536.78,2
600.6,539.28,2
615.25,553.84,2
631.01,542.75,2
602.95,541.24,2
590.38,527.56,2
587.25,529.14,2
588.89,529.5,2
594.41,527.79,2
591.42,528.46,1
601.51,526.75,1
600.9,525.63,0
602.89,525.23,0
597.27,525.13,0
593.41,526.95,0
589.82,527.8,0
586.32,529.12,0
581.4,528.24,0
577.54,527.66,0
577.78,524.51,2
577.68,522.52,2
576.52,520.98,2
578.8,518.83,2
342.18,652.84,2
496.68,336.57,2
569.2,477.74,2
582.43,512.91,2
581.45,508.8,2
577.86,502.09,2
571.92,503.06,2
566.61,499.86,0
569.87,494.58,0
569.18,494.22,0
565.17,492.63,0
570.89,486.2,0
575.88,477.08,0
577.8,468.13,0
576.26,460.79,0
572.1,456.52,0
567.93,453.19,0
564.46,451.66,0
562.55,453.64,0
559.02,452.53,0
563.43,455.32,1
574.33,447.83,1
575.95,447.37,0
577.06,445.85,0
578.64,447.76,0
579.74,444.09,0
582.52,443.82,0
580.41,444.82,0
581.4,442.92,0
582.48,441,0
580.92,440.23,0
583.56,438.45,0
582.63,435.89,0
583.25,436.63,0
583.28,441.35,1
577.39,472.71,1
580.4,473.13,0
579.64,474.36,0
578.45,477.63,0
579.06,479.02,0
580.82,480.67,0
611.98,681.78,1
626.12,974.26,1
661.85,1146.38,1
-1045.22,-2663.11,1
751.38,1210.32,1
NaN,NaN,1
NaN,NaN,3
1598.85,-1319.23,3
1887.65,-2369.46,3
NaN,NaN,3
NaN,NaN,3
1639.92,-821.43,3
NaN,NaN,3
-1471.46,-2058.15,3
NaN,NaN,3
NaN,NaN,3
-3095.69,5920.09,3
NaN,NaN,3
NaN,NaN,3
-228379.5,-285200.1,3
NaN,NaN,3
NaN,NaN,3
NaN,NaN,3
NaN,NaN,3
NaN,NaN,3
NaN,NaN,3
NaN,NaN,3
NaN,NaN,3
NaN,NaN,3
916.93,1204.36,3
NaN,NaN,3
NaN,NaN,3
2027.5,536.58,3
NaN,NaN,3
-2138.76,4131.12,3
567.71,343.6,3
595.82,395.38,0
616.52,437.4,0
638.12,478.8,0
648.86,519.6,0
651.64,548.07,1
563.11,526.66,1
564.37,546.28,1
570.36,562.85,0
575.98,576.24,0
578.77,585.13,0
578.08,594.68,0
569.29,590.47,0
569.22,593.55,0
573.31,599.69,0
578.87,600.17,0
581.82,592.8,0
583.45,584.13,0
589.08,577.49,1
587.82,568.17,1
589.57,560.42,0
590.77,552.16,0
589.54,546.6,1
585.49,536.92,1
586.61,533.24,0
582.37,529.23,0
575.45,527.05,0
582.49,528.7,0
583.73,527.1,0
580.8,532.45,0
580,525.86,0
578.95,523.61,0
577.43,521.22,0
578.05,520.67,0
577.84,519.84,0
574.21,514.78,0
576.99,512.77,0
579.59,513.17,0
578.5,513.95,0
576.74,508.17,0
576.11,501.84,0
574.62,501.42,0
579.88,499.02,0
577.12,498.08,0
577.41,497.57,0
578.78,494.56,0
578.93,490.29,0
575.85,485.6,0
580.01,486.61,0
578.54,486.6,0
580.84,486.89,2
582.18,488.41,2
584.33,490.78,2
584.93,498.16,2
345.91,648.17,2
262.9,491.51,2
591.63,500.34,2
588.36,506.55,2
584,501.03,2
583.72,502.16,2
588.46,501.37,0
586.78,501.03,0
585.83,499.58,0
587.2,497.1,0
586.68,499.65,0
586.3,496.92,0
586.17,497.18,0
583.19,497.66,1
580.93,489.28,1
