Character,AnimationClirp,StartFrame,FixationStartFrame,FixationEndFrame,HeadAlign,TorsoAlign,TurnBody
Norman,WaitForBus,18,23,26,Watch,-1,-1,True
Norman,WaitForBus,29,49,49,Watch,-1,-1,True
Norman,WaitForBus,49,72,86,Watch,-1,-1,True
Norman,WaitForBus,100,125,127,Sign,-1,-1,True
Norman,WaitForBus,130,162,168,Watch,-1,-1,True
Norman,WaitForBus,175,222,233,Grass1,-1,-1,True
Norman,WaitForBus,245,291,341,Watch,-1,-1,True
Norman,WaitForBus,392,408,428,Grass1,-1,-1,True
Norman,WaitForBus,448,480,512,,-1,-1,True
Norman,WaitForBus,545,568,575,Sign_pole,-1,-1,True
Norman,WaitForBus,583,602,630,Road,-1,-1,True
Norman,WaitForBus,659,682,687,Road,-1,-1,True
Norman,WaitForBus,697,722,752,Sign,-1,-1,True
Norman,WaitForBus,782,804,806,Grass1,-1,-1,True
Norman,WaitForBus,808,824,832,Grass1,-1,-1,True
Norman,WaitForBus,841,885,899,Watch,-1,-1,True
Norman,WaitForBus,913,947,949,Road,-1,-1,True
Norman,WaitForBus,951,966,990,Watch,-1,-1,True
Norman,WaitForBus,1014,1020,1025,Sign_pole,-1,-1,True
Norman,WaitForBus,1031,1070,1110,,-1,-1,True
Norman,WaitForBus,1150,1163,1163,Watch,-1,-1,True
Norman,WaitForBus,1164,1202,1220,,-1,-1,True
Norman,WaitForBus,1238,1269,1273,Grass1,-1,-1,True
Norman,WaitForBus,1277,1295,1323,Road,-1,-1,True
Norman,WaitForBus,1352,1364,1387,Watch,-1,-1,True
Norman,WaitForBus,1410,1422,1440,Watch,-1,-1,True
Norman,WaitForBus,1459,1470,1487,Watch,-1,-1,True
Norman,WaitForBus,1505,1533,1538,Sign,-1,-1,True
