Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,BookShelfGaze1,25,52,52,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze2,53,77,77,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze3,78,101,102,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze4,103,127,133,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze5,134,157,179,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze6,180,198,200,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze7,201,212,214,,0 0 0,-1,-1,True
Norman,BookShelfGaze8,215,230,260,,0 0 0,-1,-1,True
Norman,BookShelfGaze9,242,267,268,Floor,0 0 0,-1,-1,True
Norman,BookShelfGaze10,269,287,288,,0 0 0,-1,-1,True
Norman,BookShelfGaze11,289,304,306,Book1,0 0 0,-1,-1,True
Norman,BookShelfGaze12,307,322,352,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze13,348,361,362,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze14,363,378,406,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze15,407,435,437,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze16,438,479,481,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze17,482,499,520,,0 0 0,-1,-1,True
Norman,BookShelfGaze18,521,540,570,,0 0 0,-1,-1,True
Norman,BookShelfGaze19,543,553,583,,0 0 0,-1,-1,True
Norman,BookShelfGaze20,595,628,658,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze21,631,648,649,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze22,650,666,677,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze23,678,704,734,,0 0 0,-1,-1,True
Norman,BookShelfGaze24,769,787,787,,0 0 0,-1,-1,True
Norman,BookShelfGaze25,788,802,832,,0 0 0,-1,-1,True
Norman,BookShelfGaze26,857,875,877,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze27,878,911,913,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze28,914,940,966,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze29,967,984,1006,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze30,1007,1037,1059,Book1,0 0 0,-1,-1,True
Norman,BookShelfGaze31,1040,1059,1059,Book1,0 0 0,-1,-1,True
Norman,BookShelfGaze32,1060,1090,1120,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze33,1139,1174,1174,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze34,1175,1216,1246,,0 0 0,-1,-1,True
Norman,BookShelfGaze35,1238,1256,1257,,0 0 0,-1,-1,True
Norman,BookShelfGaze36,1258,1272,1272,,0 0 0,-1,-1,True
Norman,BookShelfGaze37,1273,1292,1292,,0 0 0,-1,-1,True
Norman,BookShelfGaze38,1293,1308,1310,Book1,0 0 0,-1,-1,True
Norman,BookShelfGaze39,1311,1325,1355,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze40,1348,1365,1385,Bookshelf,0 0 0,-1,-1,True
Norman,BookShelfGaze41,1386,1434,1434,,0 0 0,-1,-1,True
Norman,BookShelfGaze42,1435,1482,1507,,0 0 0,-1,-1,True
Norman,BookShelfGaze43,1508,1524,1571,,0 0 0,-1,-1,True
Norman,BookShelfGaze44,1527,1539,1539,,0 0 0,-1,-1,True
Norman,BookShelfGaze45,1540,1557,1571,,0 0 0,-1,-1,True
