Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,BookShelfGaze1,10,25,55,,0 0 0,-1,-1,True
Norman,BookShelfGaze2,78,103,133,,0 0 0,-1,-1,True
Norman,BookShelfGaze3,134,157,156,,0 0 0,-1,-1,True
Norman,BookShelfGaze4,157,180,191,,0 0 0,-1,-1,True
Norman,BookShelfGaze5,192,215,214,,0 0 0,-1,-1,True
Norman,BookShelfGaze6,215,233,241,,0 0 0,-1,-1,True
Norman,BookShelfGaze7,242,269,268,,0 0 0,-1,-1,True
Norman,BookShelfGaze8,269,289,288,,0 0 0,-1,-1,True
Norman,BookShelfGaze9,289,304,303,,0 0 0,-1,-1,True
Norman,BookShelfGaze10,304,322,321,,0 0 0,-1,-1,True
Norman,BookShelfGaze11,322,348,347,,0 0 0,-1,-1,True
Norman,BookShelfGaze12,348,363,393,,0 0 0,-1,-1,True
Norman,BookShelfGaze13,407,432,431,,0 0 0,-1,-1,True
Norman,BookShelfGaze14,432,463,462,,0 0 0,-1,-1,True
Norman,BookShelfGaze15,463,499,498,,0 0 0,-1,-1,True
Norman,BookShelfGaze16,499,521,520,,0 0 0,-1,-1,True
Norman,BookShelfGaze17,521,542,553,,0 0 0,-1,-1,True
Norman,BookShelfGaze18,554,581,580,,0 0 0,-1,-1,True
Norman,BookShelfGaze19,581,595,594,,0 0 0,-1,-1,True
Norman,BookShelfGaze20,595,631,630,,0 0 0,-1,-1,True
Norman,BookShelfGaze21,631,650,673,,0 0 0,-1,-1,True
Norman,BookShelfGaze22,674,704,703,,0 0 0,-1,-1,True
Norman,BookShelfGaze23,704,727,726,,0 0 0,-1,-1,True
Norman,BookShelfGaze24,727,749,768,,0 0 0,-1,-1,True
Norman,BookShelfGaze25,769,788,787,,0 0 0,-1,-1,True
Norman,BookShelfGaze26,788,805,804,,0 0 0,-1,-1,True
Norman,BookShelfGaze27,805,845,856,,0 0 0,-1,-1,True
Norman,BookShelfGaze28,857,878,908,,0 0 0,-1,-1,True
Norman,BookShelfGaze29,914,940,939,,0 0 0,-1,-1,True
Norman,BookShelfGaze30,940,967,984,,0 0 0,-1,-1,True
Norman,BookShelfGaze31,985,1007,1006,,0 0 0,-1,-1,True
Norman,BookShelfGaze32,1007,1037,1036,,0 0 0,-1,-1,True
Norman,BookShelfGaze33,1037,1060,1059,,0 0 0,-1,-1,True
Norman,BookShelfGaze34,1060,1088,1087,,0 0 0,-1,-1,True
Norman,BookShelfGaze35,1088,1113,1112,,0 0 0,-1,-1,True
Norman,BookShelfGaze36,1113,1139,1138,,0 0 0,-1,-1,True
Norman,BookShelfGaze37,1139,1175,1174,,0 0 0,-1,-1,True
Norman,BookShelfGaze38,1175,1214,1213,,0 0 0,-1,-1,True
Norman,BookShelfGaze39,1214,1238,1257,,0 0 0,-1,-1,True
Norman,BookShelfGaze40,1258,1273,1272,,0 0 0,-1,-1,True
Norman,BookShelfGaze41,1273,1293,1292,,0 0 0,-1,-1,True
Norman,BookShelfGaze42,1293,1308,1307,,0 0 0,-1,-1,True
Norman,BookShelfGaze43,1308,1325,1324,,0 0 0,-1,-1,True
Norman,BookShelfGaze44,1325,1348,1347,,0 0 0,-1,-1,True
Norman,BookShelfGaze45,1348,1366,1365,,0 0 0,-1,-1,True
Norman,BookShelfGaze46,1366,1386,1385,,0 0 0,-1,-1,True
Norman,BookShelfGaze47,1386,1435,1434,,0 0 0,-1,-1,True
Norman,BookShelfGaze48,1435,1483,1482,,0 0 0,-1,-1,True
Norman,BookShelfGaze49,1483,1508,1523,,0 0 0,-1,-1,True
Norman,BookShelfGaze50,1524,1540,1539,,0 0 0,-1,-1,True
Norman,BookShelfGaze51,1540,1559,1571,,0 0 0,-1,-1,True
