Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,BookShelfGaze1,129,157,156,,0 0 0,-1,-1,True
Norman,BookShelfGaze2,157,184,183,,0 0 0,-1,-1,True
Norman,BookShelfGaze3,184,251,281,,0 0 0,-1,-1,True
Norman,BookShelfGaze4,406,434,433,,0 0 0,-1,-1,True
Norman,BookShelfGaze5,434,475,474,,0 0 0,-1,-1,True
Norman,BookShelfGaze6,475,535,565,,0 0 0,-1,-1,True
Norman,BookShelfGaze7,567,610,640,,0 0 0,-1,-1,True
Norman,BookShelfGaze8,704,728,727,,0 0 0,-1,-1,True
Norman,BookShelfGaze9,728,783,813,,0 0 0,-1,-1,True
Norman,BookShelfGaze10,816,858,888,,0 0 0,-1,-1,True
Norman,BookShelfGaze11,920,945,971,,0 0 0,-1,-1,True
Norman,BookShelfGaze12,972,1019,1049,,0 0 0,-1,-1,True
Norman,BookShelfGaze13,1051,1092,1122,,0 0 0,-1,-1,True
Norman,BookShelfGaze14,1196,1254,1284,,0 0 0,-1,-1,True
Norman,BookShelfGaze15,1403,1430,1460,,0 0 0,-1,-1,True
Norman,BookShelfGaze16,1463,1522,1521,,0 0 0,-1,-1,True
Norman,BookShelfGaze17,1522,1554,1571,,0 0 0,-1,-1,True
