Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,BookShelfGaze1,76,101,100,,0 0 0,-1,-1,True
Norman,BookShelfGaze2,101,127,126,,0 0 0,-1,-1,True
Norman,BookShelfGaze3,127,158,157,,0 0 0,-1,-1,True
Norman,BookShelfGaze4,158,192,222,,0 0 0,-1,-1,True
Norman,BookShelfGaze5,230,253,266,,0 0 0,-1,-1,True
Norman,BookShelfGaze6,267,287,286,,0 0 0,-1,-1,True
Norman,BookShelfGaze7,287,304,303,,0 0 0,-1,-1,True
Norman,BookShelfGaze8,304,322,352,,0 0 0,-1,-1,True
Norman,BookShelfGaze9,377,398,397,,0 0 0,-1,-1,True
Norman,BookShelfGaze10,398,435,434,,0 0 0,-1,-1,True
Norman,BookShelfGaze11,435,478,477,,0 0 0,-1,-1,True
Norman,BookShelfGaze12,478,498,516,,0 0 0,-1,-1,True
Norman,BookShelfGaze13,517,541,568,,0 0 0,-1,-1,True
Norman,BookShelfGaze14,569,591,621,,0 0 0,-1,-1,True
Norman,BookShelfGaze15,648,666,683,,0 0 0,-1,-1,True
Norman,BookShelfGaze16,684,704,734,,0 0 0,-1,-1,True
Norman,BookShelfGaze17,741,788,801,,0 0 0,-1,-1,True
Norman,BookShelfGaze18,802,840,870,,0 0 0,-1,-1,True
Norman,BookShelfGaze19,881,911,910,,0 0 0,-1,-1,True
Norman,BookShelfGaze20,911,941,966,,0 0 0,-1,-1,True
Norman,BookShelfGaze21,967,984,1014,,0 0 0,-1,-1,True
Norman,BookShelfGaze22,1037,1059,1058,,0 0 0,-1,-1,True
Norman,BookShelfGaze23,1059,1076,1106,,0 0 0,-1,-1,True
Norman,BookShelfGaze24,1108,1133,1156,,0 0 0,-1,-1,True
Norman,BookShelfGaze25,1157,1174,1193,,0 0 0,-1,-1,True
Norman,BookShelfGaze26,1194,1216,1215,,0 0 0,-1,-1,True
Norman,BookShelfGaze27,1216,1257,1287,,0 0 0,-1,-1,True
Norman,BookShelfGaze28,1292,1308,1338,,0 0 0,-1,-1,True
Norman,BookShelfGaze29,1344,1365,1364,,0 0 0,-1,-1,True
Norman,BookShelfGaze30,1365,1382,1403,,0 0 0,-1,-1,True
Norman,BookShelfGaze31,1404,1434,1433,,0 0 0,-1,-1,True
Norman,BookShelfGaze32,1434,1461,1491,,0 0 0,-1,-1,True
Norman,BookShelfGaze33,1502,1525,1538,,0 0 0,-1,-1,True
Norman,BookShelfGaze34,1539,1556,1571,,0 0 0,-1,-1,True
