Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,BookShelfGaze1,77,101,100,,0 0 0,-1,-1,True
Norman,BookShelfGaze2,101,127,126,,0 0 0,-1,-1,True
Norman,BookShelfGaze3,127,157,156,,0 0 0,-1,-1,True
Norman,BookShelfGaze4,157,199,229,,0 0 0,-1,-1,True
Norman,BookShelfGaze5,230,253,266,,0 0 0,-1,-1,True
Norman,BookShelfGaze6,267,287,286,,0 0 0,-1,-1,True
Norman,BookShelfGaze7,287,304,303,,0 0 0,-1,-1,True
Norman,BookShelfGaze8,304,322,352,,0 0 0,-1,-1,True
Norman,BookShelfGaze9,377,399,398,,0 0 0,-1,-1,True
Norman,BookShelfGaze10,399,435,434,,0 0 0,-1,-1,True
Norman,BookShelfGaze11,435,478,508,,0 0 0,-1,-1,True
Norman,BookShelfGaze12,517,541,568,,0 0 0,-1,-1,True
Norman,BookShelfGaze13,569,597,627,,0 0 0,-1,-1,True
Norman,BookShelfGaze14,648,666,674,,0 0 0,-1,-1,True
Norman,BookShelfGaze15,675,704,734,,0 0 0,-1,-1,True
Norman,BookShelfGaze16,740,788,801,,0 0 0,-1,-1,True
Norman,BookShelfGaze17,802,840,870,,0 0 0,-1,-1,True
Norman,BookShelfGaze18,875,911,910,,0 0 0,-1,-1,True
Norman,BookShelfGaze19,911,940,967,,0 0 0,-1,-1,True
Norman,BookShelfGaze20,968,984,1014,,0 0 0,-1,-1,True
Norman,BookShelfGaze21,1037,1059,1058,,0 0 0,-1,-1,True
Norman,BookShelfGaze22,1059,1076,1106,,0 0 0,-1,-1,True
Norman,BookShelfGaze23,1109,1132,1155,,0 0 0,-1,-1,True
Norman,BookShelfGaze24,1156,1174,1194,,0 0 0,-1,-1,True
Norman,BookShelfGaze25,1195,1216,1215,,0 0 0,-1,-1,True
Norman,BookShelfGaze26,1216,1256,1286,,0 0 0,-1,-1,True
Norman,BookShelfGaze27,1292,1308,1322,,0 0 0,-1,-1,True
Norman,BookShelfGaze28,1323,1344,1343,,0 0 0,-1,-1,True
Norman,BookShelfGaze29,1344,1365,1364,,0 0 0,-1,-1,True
Norman,BookShelfGaze30,1365,1382,1402,,0 0 0,-1,-1,True
Norman,BookShelfGaze31,1403,1434,1433,,0 0 0,-1,-1,True
Norman,BookShelfGaze32,1434,1461,1460,,0 0 0,-1,-1,True
Norman,BookShelfGaze33,1461,1482,1501,,0 0 0,-1,-1,True
Norman,BookShelfGaze34,1502,1525,1538,,0 0 0,-1,-1,True
Norman,BookShelfGaze35,1539,1557,1571,,0 0 0,-1,-1,True
