vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,pEndEff#Bone_Hand_L,pEndEff#Bone_Hand_R,pEndEff#Bone_Foot_L,pEndEff#Bone_Foot_R,wEndEff#Bone_Hand_L,wEndEff#Bone_Hand_R,wEndEff#Bone_Foot_L,wEndEff#Bone_Foot_R,p0,p
0,26.726,9.495527,6.920994,6.818455,5.173754,5.035762,0,178.0411,0,35.60821,0,61.67524,71.21642,0,0.1145261,0,0.01497852,0,0.09505848,0.1097641,0,0.1128945,0,0.01331424,0,0.09312031,0.1061919,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.06806152,0.06616459
0,26.726,9.495527,6.920994,6.818455,5.173754,5.035762,0,178.0411,0,35.60821,0,61.67524,71.21642,0,0.1145261,0,0.01497852,0,0.09505848,0.1097641,0,0.107714,0.0006720515,0.009985683,0,0.08924396,0.09904769,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.06806152,0.06223672
0,20.79691,8.802588,5.439245,5.567245,4.279575,4.279575,0,155.2126,0,0,0,50.35762,50.35762,0,0.09984154,0,0,0,0.07761493,0.07761493,0,0.09700673,0.001344103,0.004992842,0,0.07480557,0.07970743,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.05098914,0.05152113
0,15.61178,7.962241,4.111682,4.279575,4.279575,4.279575,0,128.3873,35.60821,0,0,50.35762,50.35762,0,0.08258595,0.006048463,0,0,0.07761493,0.07761493,0,0.08252846,0.002016154,0.001664281,0,0.05368146,0.05531541,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.04978307,0.03764944
0,11.26031,6.920994,2.907398,2.907398,4.893881,4.747762,0,100.7152,0,0,0,0,0,0,0.06478574,0,0,0,0,0,0,0.06602209,0.002294527,0,0,0.02587164,0.02587164,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.006972039,0.02076686
0,7.692255,5.814797,2.373881,2.055841,5.173754,5.173754,0,79.62239,0,0,0,0,0,0,0.05121763,0,0,0,0,0,0,0.05038903,0.003523324,0,0,0.00862388,0.00862388,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.005511881,0.01027349
0,4.747762,4.279575,1.678587,1.18694,5.439245,5.439245,0,50.35762,50.35762,0,0,0,0,0,0.03239287,0.008553819,0,0,0,0,0,0.03446778,0.004752121,0,0,0,0,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.004406555,0.004220724
0,2.907398,3.140349,0,1.18694,5.567245,5.439245,0,35.60821,50.35762,0,0,0,0,0,0.02290522,0.008553819,0,0,0,0,0,0.02052434,0.004752121,0,0,0,0.006098004,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.003385524,0.004608421
0,1.678587,2.055841,0,1.18694,5.173754,5.035762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008689256,0.002851273,0,0,0.00862388,0.01829401,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0,0.008707924
0,0,2.373881,0,1.18694,4.441125,4.441125,0,0,0,0,0,0,35.60821,0,0,0,0,0,0,0.05488203,0,0.002545024,0.0009504243,0,0,0.01724776,0.03049002,0.3475436,0.3475436,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.01699422,0.01341986
