vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,pEndEff#Bone_Hand_L,pEndEff#Bone_Hand_R,pEndEff#Bone_Foot_L,pEndEff#Bone_Foot_R,wEndEff#Bone_Hand_L,wEndEff#Bone_Hand_R,wEndEff#Bone_Foot_L,wEndEff#Bone_Foot_R,p0,p
0,18.23415,15.92449,16.01272,16.01272,19.17563,19.21233,0,71.21642,195.0343,151.0729,155.2126,133.2337,128.3873,0,0.1139604,0.2354837,0.2934693,0.3007923,0.07360583,0.07094209,0,0.09529862,0.2039772,0.2602776,0.2641223,0.06447899,0.0635629,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1541075,0.1351157
0,18.23415,15.92449,16.01272,16.01272,19.17563,19.21233,0,71.21642,195.0343,151.0729,155.2126,133.2337,128.3873,0,0.1139604,0.2354837,0.2934693,0.3007923,0.07360583,0.07094209,0,0.089325,0.1888823,0.2448267,0.2489897,0.06126108,0.06106979,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1541075,0.1272463
0,18.61646,9.569424,10.87849,10.94306,17.15942,17.15942,0,50.35762,167.0173,128.3873,133.2337,112.6031,112.6031,0,0.08058218,0.2016562,0.249401,0.2581986,0.06220828,0.06222032,0,0.08336183,0.171172,0.2255635,0.2306587,0.05866749,0.0591697,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1302667,0.1185701
0,18.95394,4.441125,6.501142,6.501142,15.61178,15.61178,0,50.35762,128.3873,112.6031,106.8246,94.21048,94.21048,0,0.08058218,0.1550144,0.2187391,0.2070195,0.05204718,0.05205725,0,0.07758716,0.1483267,0.1993011,0.2079881,0.05695611,0.0579075,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1089454,0.1081917
0,19.02813,2.65408,2.65408,2.373881,14.04408,14.04408,0,35.60821,106.8246,94.21048,94.21048,79.62239,87.22195,0,0.0569802,0.1289797,0.1830103,0.182574,0.0439879,0.04819565,0,0.0747565,0.1237971,0.1693854,0.180372,0.05366432,0.05495375,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.09278945,0.09597012
0,18.8047,4.747762,0,0,12.39203,12.33505,0,35.60821,71.21642,71.21642,79.62239,79.62239,87.22195,0,0.0569802,0.08598648,0.1383427,0.1543032,0.0439879,0.04819565,0,0.07307555,0.09666291,0.1308245,0.1446914,0.0476721,0.04929108,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.07856248,0.08015104
0,18.23415,7.022036,2.907398,2.907398,10.14123,10.14123,0,35.60821,50.35762,50.35762,61.67524,94.21048,100.7152,0,0.0569802,0.06080163,0.09782309,0.1195227,0.05204718,0.05565154,0,0.07543751,0.07604095,0.0932923,0.1088497,0.04095433,0.04264422,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.06985823,0.06509215
0,17.32285,8.392939,5.035762,5.035762,7.600129,7.506873,0,35.60821,0,0,35.60821,112.6031,112.6031,0,0.0569802,0,0,0.06900648,0.06220828,0.06222032,0,0.08312201,0.06493445,0.06423401,0.07638858,0.03393254,0.03536929,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.04804023,0.05310412
0,15.92449,8.882252,6.2807,6.2807,4.597001,4.747762,0,61.67524,0,0,0,50.35762,50.35762,0,0.09869261,0,0,0,0.02782039,0.02782577,0,0.0950977,0.05837422,0.04923197,0.05673852,0.02651491,0.02761363,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.02504795,0.04507758
0,14.14404,8.392939,6.920994,6.818455,3.357175,3.140349,0,71.21642,50.35762,0,0,0,0,0,0.1139604,0.06080163,0,0,0,0,0,0.1114984,0.06178094,0.03681022,0.03959966,0.0192009,0.0197973,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.01880735,0.039165
0,11.92861,6.920994,6.818455,6.818455,2.373881,2.055841,0,79.62239,79.62239,0,0,0,0,0,0.1274116,0.09613582,0,0,0,0,0,0.1303791,0.06757248,0.037876,0.03550519,0.0124168,0.0138828,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.02405748,0.03808779
0,9.270305,4.597001,6.167525,6.167525,1.18694,1.18694,0,87.22195,106.8246,35.60821,0,0,0,0,0.1395724,0.1289797,0.06917137,0,0,0,0,0.1479041,0.07348654,0.03921429,0.03216017,0.006471724,0.009540592,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.03764611,0.03762129
0,6.167525,2.373881,5.035762,5.035762,1.18694,1.678587,0,106.8246,35.60821,61.67524,61.67524,0,0,0,0.1709406,0.04299324,0.1198083,0.1195227,0,0,0,0.1601321,0.07493844,0.04376659,0.03365316,0.003498973,0.007739633,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.05488207,0.03850573
0,3.140349,1.18694,3.560822,3.560822,0,1.18694,0,123.3505,100.7152,0,0,0,0,0,0.1973852,0.1216033,0,0,0,0,0,0.1620793,0.07579903,0.04253777,0.03393741,0.004722554,0.009987087,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.03432855,0.03990547
0,2.65408,2.907398,2.907398,3.140349,0,1.18694,0,137.91,61.67524,61.67524,61.67524,0,35.60821,0,0.2206834,0.07446648,0.1198083,0.1195227,0,0.01967579,0,0.1541076,0.07288887,0.04636331,0.04126155,0.01391766,0.01995659,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.0697149,0.04488368
0,6.71435,5.173754,3.936636,3.936636,1.18694,1.678587,0,118.0991,50.35762,0,0,0,35.60821,0,0.188982,0.06080163,0,0,0,0.01967579,0,0.1370416,0.07243825,0.05080963,0.0482682,0.02925404,0.03547878,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.03297354,0.05299623
0,10.94306,6.608606,4.747762,4.893881,2.907398,3.140349,0,79.62239,0,0,0,50.35762,50.35762,0,0.1274116,0,0,0,0.02782039,0.02782577,0,0.1180602,0.07619966,0.06009537,0.06257846,0.04658464,0.05206666,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.0281386,0.06348962
0,13.63692,7.316793,5.173754,5.035762,5.035762,4.893881,0,35.60821,50.35762,0,0,61.67524,61.67524,0,0.0569802,0.06080163,0,0,0.03407288,0.03407947,0,0.100857,0.09673745,0.07720587,0.07977372,0.0626112,0.06692979,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.03034466,0.0768583
0,15.24654,7.600129,4.441125,4.441125,7.121644,7.219878,0,0,79.62239,50.35762,61.67524,216.5963,219.5038,0,0,0.09613582,0.09782309,0.1195227,0.11966,0.1212897,0,0.09163045,0.1229072,0.1133558,0.1166751,0.07515821,0.07812582,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1019756,0.0942739
0,15.74656,7.873274,3.936636,3.753435,14.14404,14.14404,0,0,118.0991,79.62239,79.62239,306.3136,306.3136,0,0,0.1425924,0.1546719,0.1543032,0.1692249,0.1692576,0,0.09547595,0.149741,0.1526882,0.1541767,0.08146221,0.0825363,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1442312,0.1103974
0,15.24654,9.270305,3.753435,3.753435,24.17986,24.17986,0,61.67524,146.8164,106.8246,106.8246,219.5038,219.5038,0,0.09869261,0.1772657,0.2075141,0.2070195,0.1212663,0.1212897,0,0.1170458,0.1675205,0.1851879,0.1868792,0.0832051,0.0830315,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1477651,0.1232958
0,13.73984,12.5052,6.052233,6.052233,31.4932,31.47082,0,94.21048,251.7882,137.91,133.2337,133.2337,128.3873,0,0.1507555,0.3040082,0.2678996,0.2581986,0.07360583,0.07094209,0,0.1531317,0.1919015,0.227159,0.2276994,0.08270901,0.08243489,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1562533,0.13984
0,11.44645,16.65952,10.00134,9.93066,35.98228,35.98228,0,123.3505,275.8201,159.2448,159.2448,50.35762,50.35762,0,0.1973852,0.3330243,0.3093438,0.3086064,0.02782039,0.02782577,0,0.20117,0.2142425,0.2615702,0.2620451,0.08010052,0.07982393,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.153768,0.1548581
0,9.039472,22.36371,15.0606,15.1073,37.62826,37.62826,0,163.1774,133.2337,191.7561,188.421,35.60821,35.60821,0,0.2611161,0.160866,0.3724993,0.3651481,0.01967198,0.01967579,0,0.2586431,0.232443,0.2878377,0.2870844,0.07397078,0.07383895,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1537643,0.1674327
0,8.137257,25.4571,21.26582,21.23267,36.42977,36.42977,0,195.0343,35.60821,50.35762,61.67524,123.3505,123.3505,0,0.3120935,0.04299324,0.09782309,0.1195227,0.06814575,0.06815894,0,0.3138335,0.2504014,0.2957218,0.2978608,0.06841575,0.06822331,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1026316,0.1784387
0,11.13449,24.41181,21.16621,21.16621,32.46246,32.48414,0,230.7677,178.0411,210.6611,210.6611,207.6298,207.6298,0,0.369274,0.2149662,0.4092234,0.4082479,0.1147064,0.1147286,0,0.3560292,0.2858323,0.3246937,0.3249606,0.06739102,0.0672589,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.2311778,0.1904357
0,17.24132,19.06511,14.82489,14.82489,25.81431,25.84158,0,264.0777,322.4462,185.0257,185.0257,163.1774,163.1774,0,0.4225766,0.3893205,0.3594251,0.3585683,0.09014837,0.09016582,0,0.3842696,0.3097285,0.3407725,0.3417641,0.06959452,0.06943625,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.2297001,0.1999612
0,25.29053,11.38474,9.039472,9.039472,22.39519,22.36371,0,322.4462,475.0732,174.4439,174.4439,118.0991,123.3505,0,0.5159779,0.5736019,0.3388692,0.3380614,0.06524459,0.06815894,0,0.4026589,0.3362555,0.3498525,0.3508001,0.07457283,0.07429312,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.2421013,0.2075195
0,35.54898,14.58538,3.560822,3.560822,23.25923,23.25923,0,304.2368,410.6542,181.567,181.567,100.7152,94.21048,0,0.4868392,0.4958226,0.3527062,0.3518655,0.05564077,0.05205725,0,0.4163507,0.3400935,0.3459444,0.346211,0.08102109,0.08060123,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.2272828,0.2125894
0,45.11967,26.46112,2.65408,2.65408,23.01567,22.98505,0,233.4987,181.567,198.2582,201.4305,112.6031,112.6031,0,0.3736443,0.2192234,0.38513,0.3903597,0.06220828,0.06222032,0,0.4333023,0.3120952,0.3476295,0.3462454,0.08833406,0.087763,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.1993348,0.2193507
0,51.88758,31.38116,9.270305,9.194004,21.46365,21.4308,0,201.4305,50.35762,233.4987,233.4987,146.8164,142.4329,0,0.3223288,0.06080163,0.4535871,0.4525059,0.08110967,0.07870317,0,0.4462766,0.2740577,0.3388049,0.3372058,0.09292659,0.09240616,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.2031596,0.21809
0,56.11417,30.97448,16.78589,16.8278,18.84212,18.84212,0,225.2062,191.7561,167.0173,167.0173,191.7561,191.7561,0,0.3603745,0.2315257,0.3244425,0.3236691,0.1059369,0.1059574,0,0.4613349,0.2603818,0.3384477,0.3358494,0.1030265,0.1025039,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745199,1,0,0,0,0,0,0,0,0,0.2049097,0.2223377
