vRoot,vBones#srfBind_Cn_Pelvis,vBones#srfBind_Cn_SpineA,vBones#srfBind_Cn_SpineB,vBones#srfBind_Cn_SpineC,vBones#srfBind_Cn_Neck,vBones#srfBind_Cn_Head,aRoot,aBones#srfBind_Cn_Pelvis,aBones#srfBind_Cn_SpineA,aBones#srfBind_Cn_SpineB,aBones#srfBind_Cn_SpineC,aBones#srfBind_Cn_Neck,aBones#srfBind_Cn_Head,p0Root,p0Bones#srfBind_Cn_Pelvis,p0Bones#srfBind_Cn_SpineA,p0Bones#srfBind_Cn_SpineB,p0Bones#srfBind_Cn_SpineC,p0Bones#srfBind_Cn_Neck,p0Bones#srfBind_Cn_Head,pRoot,pBones#srfBind_Cn_Pelvis,pBones#srfBind_Cn_SpineA,pBones#srfBind_Cn_SpineB,pBones#srfBind_Cn_SpineC,pBones#srfBind_Cn_Neck,pBones#srfBind_Cn_Head,wRoot,wBones#srfBind_Cn_Pelvis,wBones#srfBind_Cn_SpineA,wBones#srfBind_Cn_SpineB,wBones#srfBind_Cn_SpineC,wBones#srfBind_Cn_Neck,wBones#srfBind_Cn_Head,pEndEff#Hand_L,pEndEff#Hand_R,pEndEff#srfBind_Lf_FootA,pEndEff#srfBind_Rt_FootA,wEndEff#Hand_L,wEndEff#Hand_R,wEndEff#srfBind_Lf_FootA,wEndEff#srfBind_Rt_FootA,p0,p
0,54.84443,14.96676,21.59452,21.59452,21.4308,25.15087,0,1765.054,747.7741,720.1331,720.1331,560.7594,818.9911,0,0.481338,1,0.5581197,0.5579073,0.1476151,0.1637446,0,0.3479651,0.8493775,0.3914649,0.391288,0.1031245,0.1189097,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.3879999,0.2619904
0,54.84443,14.96676,21.59452,21.59452,21.4308,25.15087,0,1765.054,747.7741,720.1331,720.1331,560.7594,818.9911,0,0.481338,1,0.5581197,0.5579073,0.1476151,0.1637446,0,0.3214726,0.798003,0.3455875,0.3454248,0.09495412,0.1102586,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.3879999,0.2314321
0,38.18575,11.13449,7.873274,7.873274,9.270305,25.51238,0,233.4987,35.60821,181.567,181.567,249.2576,230.7677,0,0.06367612,0.04761894,0.1407186,0.1406651,0.06561489,0.04613841,0,0.2376721,0.1750195,0.239548,0.2394775,0.08594328,0.1056696,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.07741047,0.1817502
0,34.70674,10.61632,10.81355,10.81355,11.07105,32.95777,0,1172.377,284.8658,210.6611,210.6611,163.1774,293.633,0,0.3197122,0.3809517,0.1632672,0.163205,0.04295503,0.05870736,0,0.2379887,0.2469397,0.2365042,0.2364324,0.09493618,0.118995,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1449379,0.180243
0,41.96494,1.678587,7.600129,7.600129,13.05635,27.98772,0,228.0039,50.35762,100.7152,100.7152,191.7561,657.549,0,0.06217764,0.06734336,0.07805663,0.07802692,0.05047814,0.1314667,0,0.1843494,0.110534,0.2263298,0.2262699,0.115915,0.1458752,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.08610763,0.1848202
0,45.72451,2.055841,6.501142,6.501142,13.63692,16.74387,0,909.9305,0,118.0991,118.0991,287.0827,334.0348,0,0.248142,0,0.0915295,0.09149467,0.07557204,0.06678507,0,0.1635763,0.07644449,0.2159086,0.2158494,0.1347518,0.1685787,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.08697455,0.1837183
0,28.63464,3.357175,4.279575,4.279575,22.80042,21.56188,0,337.8093,0,295.7841,295.7841,228.0039,632.9865,0,0.09212207,0,0.2292395,0.2291523,0.06002004,0.1265558,0,0.132872,0.06511475,0.2552897,0.2552069,0.1488361,0.2061028,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1227611,0.1978066
0,33.8019,3.357175,7.316793,7.316793,19.71896,23.13777,0,440.4496,0,744.3751,744.3751,1313.658,2042.778,0,0.1201125,0,0.5769078,0.5766883,0.345809,0.4084218,0,0.1303221,0.07119898,0.3874954,0.3873326,0.2018116,0.267493,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.3663282,0.2462039
0,47.70004,3.140349,31.84907,31.84907,37.79637,68.93573,0,230.7677,50.35762,1290.284,1290.776,2161.608,2457.799,0,0.06293134,0.06734336,1,1,0.5690245,0.4913988,0,0.1289272,0.06632981,0.5988489,0.5987654,0.2793359,0.3151314,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.5531641,0.3009491
0,48.17029,2.373881,12.61736,12.61736,50.1197,68.92551,0,373.4623,71.21642,174.4439,174.4439,620.8514,1549.688,0,0.1018448,0.09523788,0.1351981,0.1351466,0.1634337,0.3098361,0,0.141779,0.08195701,0.3625212,0.3624289,0.245419,0.3433996,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1878515,0.3023756
0,40.00558,3.357175,14.2433,14.2433,37.23305,84.09077,0,544.7015,106.8246,543.5364,543.5364,268.8362,1367.569,0,0.1485425,0.1428568,0.4212532,0.4210929,0.0707688,0.2734243,0,0.1630706,0.09870828,0.4561396,0.4559892,0.2598292,0.3804103,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2431476,0.3386205
0,37.5533,6.501142,6.167525,6.167525,29.33937,44.31628,0,471.0528,142.4329,381.8558,381.8558,475.0732,1240.687,0,0.1284582,0.1904758,0.295947,0.2958344,0.1250589,0.2480561,0,0.189085,0.1092387,0.4199634,0.4198448,0.287475,0.394094,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2162884,0.3493874
0,46.36705,11.07105,14.43976,14.43976,32.91499,69.23145,0,1240.687,35.60821,923.7601,923.7601,2288.412,2636.042,0,0.3383407,0.04761894,0.7159353,0.7156628,0.6024045,0.5270357,0,0.2161833,0.1118175,0.5355066,0.5352687,0.4262416,0.4295038,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.5221882,0.3862259
0,71.01958,12.10447,43.05858,43.05858,70.21153,75.50996,0,678.4288,106.8246,1267.48,1267.48,3798.795,4309.055,0,0.1850105,0.1428568,0.9823264,0.9819526,1,0.8615287,0,0.2166073,0.10793,0.5955935,0.5952299,0.5835138,0.4914605,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.7753448,0.4146027
0,52.42782,9.421051,5.035762,5.035762,72.68632,129.0297,0,1598.028,87.22195,178.0411,178.0411,1670.571,2620.119,0,0.4357891,0.1166421,0.1379859,0.1379334,0.4397634,0.5238522,0,0.2326167,0.09878391,0.2428091,0.2427706,0.3403572,0.3990268,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.3505916,0.3119706
