vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,vBones#Bone_Eye_L,vBones#Bone_Eye2_R 1,vBones#srfBind_Lf_Eye,vBones#Bone_Eye_R,vBones#Bone_Eye2_R,vBones#srfBind_Rt_Eye,vBones#Bone_Shoulder_L,vBones#Bone_UpperArm_L,vBones#Bone_Forearm_L,vBones#Bone_Hand_L,vBones#Bone_Fingers_L,vBones#Bone_Thumb_L,vBones#Bone_Shoulder_R,vBones#Bone_UpperArm_R,vBones#Bone_Forearm_R,vBones#Bone_Hand_R,vBones#Bone_Fingers_R,vBones#Bone_Thumb_R,vBones#Bone_UpperLeg_L,vBones#Bone_LowerLeg_L,vBones#Bone_Foot_L,vBones#Bone_Toes_L,vBones#Bone_FootNub_L,vBones#Bone_UpperLeg_R,vBones#Bone_LowerLeg_R,vBones#Bone_Foot_R,vBones#Bone_Toes_R,vBones#Bone_FootNub_R,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,aBones#Bone_Eye_L,aBones#Bone_Eye2_R 1,aBones#srfBind_Lf_Eye,aBones#Bone_Eye_R,aBones#Bone_Eye2_R,aBones#srfBind_Rt_Eye,aBones#Bone_Shoulder_L,aBones#Bone_UpperArm_L,aBones#Bone_Forearm_L,aBones#Bone_Hand_L,aBones#Bone_Fingers_L,aBones#Bone_Thumb_L,aBones#Bone_Shoulder_R,aBones#Bone_UpperArm_R,aBones#Bone_Forearm_R,aBones#Bone_Hand_R,aBones#Bone_Fingers_R,aBones#Bone_Thumb_R,aBones#Bone_UpperLeg_L,aBones#Bone_LowerLeg_L,aBones#Bone_Foot_L,aBones#Bone_Toes_L,aBones#Bone_FootNub_L,aBones#Bone_UpperLeg_R,aBones#Bone_LowerLeg_R,aBones#Bone_Foot_R,aBones#Bone_Toes_R,aBones#Bone_FootNub_R,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,p0Bones#Bone_Eye_L,p0Bones#Bone_Eye2_R 1,p0Bones#srfBind_Lf_Eye,p0Bones#Bone_Eye_R,p0Bones#Bone_Eye2_R,p0Bones#srfBind_Rt_Eye,p0Bones#Bone_Shoulder_L,p0Bones#Bone_UpperArm_L,p0Bones#Bone_Forearm_L,p0Bones#Bone_Hand_L,p0Bones#Bone_Fingers_L,p0Bones#Bone_Thumb_L,p0Bones#Bone_Shoulder_R,p0Bones#Bone_UpperArm_R,p0Bones#Bone_Forearm_R,p0Bones#Bone_Hand_R,p0Bones#Bone_Fingers_R,p0Bones#Bone_Thumb_R,p0Bones#Bone_UpperLeg_L,p0Bones#Bone_LowerLeg_L,p0Bones#Bone_Foot_L,p0Bones#Bone_Toes_L,p0Bones#Bone_FootNub_L,p0Bones#Bone_UpperLeg_R,p0Bones#Bone_LowerLeg_R,p0Bones#Bone_Foot_R,p0Bones#Bone_Toes_R,p0Bones#Bone_FootNub_R,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,pBones#Bone_Eye_L,pBones#Bone_Eye2_R 1,pBones#srfBind_Lf_Eye,pBones#Bone_Eye_R,pBones#Bone_Eye2_R,pBones#srfBind_Rt_Eye,pBones#Bone_Shoulder_L,pBones#Bone_UpperArm_L,pBones#Bone_Forearm_L,pBones#Bone_Hand_L,pBones#Bone_Fingers_L,pBones#Bone_Thumb_L,pBones#Bone_Shoulder_R,pBones#Bone_UpperArm_R,pBones#Bone_Forearm_R,pBones#Bone_Hand_R,pBones#Bone_Fingers_R,pBones#Bone_Thumb_R,pBones#Bone_UpperLeg_L,pBones#Bone_LowerLeg_L,pBones#Bone_Foot_L,pBones#Bone_Toes_L,pBones#Bone_FootNub_L,pBones#Bone_UpperLeg_R,pBones#Bone_LowerLeg_R,pBones#Bone_Foot_R,pBones#Bone_Toes_R,pBones#Bone_FootNub_R,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,wBones#Bone_Eye_L,wBones#Bone_Eye2_R 1,wBones#srfBind_Lf_Eye,wBones#Bone_Eye_R,wBones#Bone_Eye2_R,wBones#srfBind_Rt_Eye,wBones#Bone_Shoulder_L,wBones#Bone_UpperArm_L,wBones#Bone_Forearm_L,wBones#Bone_Hand_L,wBones#Bone_Fingers_L,wBones#Bone_Thumb_L,wBones#Bone_Shoulder_R,wBones#Bone_UpperArm_R,wBones#Bone_Forearm_R,wBones#Bone_Hand_R,wBones#Bone_Fingers_R,wBones#Bone_Thumb_R,wBones#Bone_UpperLeg_L,wBones#Bone_LowerLeg_L,wBones#Bone_Foot_L,wBones#Bone_Toes_L,wBones#Bone_FootNub_L,wBones#Bone_UpperLeg_R,wBones#Bone_LowerLeg_R,wBones#Bone_Foot_R,wBones#Bone_Toes_R,wBones#Bone_FootNub_R,p0,p
0,7.316793,2.373881,1.18694,0,2.907398,2.907398,0,0,0,0,0,0,6.608606,21.03267,18.61646,14.34187,0,0,9.642754,30.99721,39.52729,34.38047,0,0,6.167525,2.907398,8.308585,3.140349,0,4.279575,3.560822,7.783291,0,0,0.9238383,35.60821,71.21642,0,0,35.60821,0,0,0,0,0,0,0,181.567,828.2281,236.1982,210.6611,0,0,133.2337,660.4351,50.35762,251.7882,0,0,0,0,87.22195,0,0,0,0,61.67524,0,0,0.08057064,0.032651,0.03866894,0,0,0.06967323,0,0,0,0,0,0,0,0.07137077,0.01961424,0.01056392,0.005240789,0,0,0.0475253,0.01448444,0.002088328,0.006336847,0,0,0,0,0.01607187,0,0,0,0,0.01210509,0,0,0.08107296,0.03627889,0.03741051,0,0,0.06193176,0,0,0,0,0,0,0,0.06985301,0.0189428,0.01002816,0.006720786,0,0,0.04597865,0.01398289,0.001856292,0.006695912,0,0,0,0,0.01621495,0,0,0,0,0.01210509,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.01166603,0.01165358
0,7.316793,2.373881,1.18694,0,2.907398,2.907398,0,0,0,0,0,0,6.608606,21.03267,18.61646,14.34187,0,0,9.642754,30.99721,39.52729,34.38047,0,0,6.167525,2.907398,8.308585,3.140349,0,4.279575,3.560822,7.783291,0,0,0.9238383,35.60821,71.21642,0,0,35.60821,0,0,0,0,0,0,0,181.567,828.2281,236.1982,210.6611,0,0,133.2337,660.4351,50.35762,251.7882,0,0,0,0,87.22195,0,0,0,0,61.67524,0,0,0.08057064,0.032651,0.03866894,0,0,0.06967323,0,0,0,0,0,0,0,0.07137077,0.01961424,0.01056392,0.005240789,0,0,0.0475253,0.01448444,0.002088328,0.006336847,0,0,0,0,0.01607187,0,0,0,0,0.01210509,0,0,0.08344248,0.04654011,0.03185553,0,0,0.04644882,0.007741469,0,0,0,0,0,0,0.06532319,0.01696093,0.008318637,0.01017004,0,0,0.04230717,0.01252707,0.001392219,0.008126544,0,0,0.001344514,0.0009316363,0.01663429,0,0,0.001194123,0,0.01231317,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.01166603,0.01247627
0,5.934703,2.65408,2.055841,1.678587,3.140349,3.140349,0,0,0,0,0,0,4.111682,46.33666,10.68247,12.04614,0,0,7.121644,44.72766,37.64698,26.69963,0,0,5.692367,2.65408,5.173754,2.373881,0,4.111682,2.907398,5.934703,0,0,0.9756759,71.21642,50.35762,0,0,0,0,0,0,0,0,0,0,146.8164,573.0607,128.3873,746.0766,0,0,94.21048,454.6156,0,380.1919,0,0,0,0,94.21048,0,0,0,0,61.67524,0,0,0.08509155,0.065302,0.02734307,0,0,0,0,0,0,0,0,0,0,0.05771093,0.01357132,0.005742097,0.01856076,0,0,0.03360546,0.009970478,0,0.009568432,0,0,0,0,0.0173596,0,0,0,0,0.01210509,0,0,0.08963279,0.06625398,0.022004,0,0,0.0341725,0.02643103,0,0,0,0,0,0,0.05555701,0.01323917,0.005903511,0.0145134,0,0,0.03535097,0.009921024,0.0006961093,0.01005211,0,0,0.004590459,0.002794909,0.01745497,0,0,0.00407699,0,0.01291263,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.01155401,0.01484986
0,3.936636,3.936636,2.65408,2.65408,3.140349,3.357175,0,0,0,0,0,0,7.121644,64.5884,6.391871,24.9258,0,0,6.501142,58.03953,36.23589,20.52415,0,0,5.035762,1.678587,2.373881,1.18694,0,3.936636,2.373881,4.597001,0,0,1.116525,100.7152,0,0,0,0,35.60821,0,0,0,0,0,0,112.6031,330.2171,0,923.0735,0,0,79.62239,268.8362,0,634.9865,0,0,50.35762,35.60821,100.7152,0,0,50.35762,0,71.21642,0,0,0.09737538,0.09235098,0,0,0,0,0.06967323,0,0,0,0,0,0,0.04426227,0.007820258,0,0.02296406,0,0,0.0284018,0.005896026,0,0.01598094,0,0,0.01210063,0.008384727,0.01855819,0,0,0.0107471,0,0.01397776,0,0,0.1009573,0.09130861,0.01037279,0,0,0.04512059,0.06060353,0,0,0,0,0,0,0.04245147,0.009442129,0.004402648,0.01603776,0,0,0.02620749,0.007391938,0.0002320364,0.0108189,0,0,0.01052543,0.005589818,0.01850914,0,0,0.009028139,0,0.01422162,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.01918227,0.01953731
0,2.907398,4.893881,3.140349,3.357175,2.907398,2.907398,0,0,0,0,0,0,10.27921,74.49557,5.934703,52.90932,0,0,6.920994,66.78689,35.35026,29.6023,0,0,3.936636,0,2.055841,0,0,4.279575,2.373881,4.893881,0,0,1.318128,128.3873,0,0,0,50.35762,50.35762,0,0,0,0,0,0,61.67524,167.0173,94.21048,534.1238,0,0,50.35762,188.421,0,428.78,0,0,71.21642,35.60821,106.8246,0,0,71.21642,0,79.62239,0,0,0.1149578,0.1177249,0,0,0,0.09853283,0.09853283,0,0,0,0,0,0,0.02424344,0.003955333,0.004213546,0.01328784,0,0,0.01796287,0.004132386,0,0.01079127,0,0,0.01711287,0.008384727,0.01968394,0,0,0.0151987,0,0.01562761,0,0,0.1172208,0.1190055,0.003038119,0,0,0.08277281,0.09825575,0,0,0,0,0,0,0.02743997,0.007532113,0.005648341,0.01375108,0,0,0.01603308,0.006528495,0,0.009053345,0,0,0.01706475,0.007838988,0.01975047,0,0,0.01397929,0,0.01609908,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.02562408,0.02561846
0,5.934703,5.035762,3.560822,3.357175,2.907398,2.907398,0,0,0,0,0,0,12.5052,76.03062,9.194004,68.20632,0,0,7.412442,70.68153,34.9696,40.96259,0,0,4.111682,0,5.439245,0,0,5.692367,2.055841,7.022036,0,0,1.557342,159.2448,0,0,0,71.21642,71.21642,0,0,0,0,0,0,35.60821,289.2826,204.5536,261.6659,0,0,0,280.3795,0,94.21048,0,0,100.7152,35.60821,112.6031,0,0,87.22195,0,94.21048,0,0,0.1358203,0.1460197,0,0,0,0.1393465,0.1393465,0,0,0,0,0,0,0.01399696,0.006850839,0.009148624,0.006509679,0,0,0,0.006149189,0,0.00237103,0,0,0.02420126,0.008384727,0.02074869,0,0,0.01861453,0,0.01849083,0,0,0.1371908,0.1468253,0.003038119,0,0,0.130751,0.1372362,0,0,0,0,0,0,0.01652633,0.00855079,0.008502127,0.009761436,0,0,0.00914338,0.007649001,0,0.005938758,0,0,0.02383475,0.009838525,0.02103193,0,0,0.01847794,0,0.01853877,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.03226678,0.03254651
0,11.00724,4.893881,3.140349,3.357175,3.560822,3.753435,0,0,0,0,0,0,13.53321,69.52591,16.01272,73.59171,0,0,7.121644,62.44792,35.09026,40.73841,0,0,6.2807,2.055841,9.270305,0,0,7.873274,2.055841,10.00134,0,0,1.81889,191.7561,0,0,0,87.22195,87.22195,0,0,0,0,0,0,0,549.3375,316.4929,256.7745,0,0,0,560.7594,0,112.6031,0,0,123.3505,50.35762,123.3505,0,0,100.7152,0,106.8246,0,0,0.1586307,0.175831,0,0,0,0.1706639,0.1706639,0,0,0,0,0,0,0,0.0130095,0.01415509,0.006387992,0,0,0,0.01229839,0,0.002833924,0,0,0.02964036,0.0118578,0.02272905,0,0,0.02149421,0,0.02096664,0,0,0.1594964,0.1751051,0.01037279,0.009424308,0.009424308,0.1777459,0.1742167,0,0,0,0,0,0,0.01202502,0.01080155,0.01013785,0.007156249,0,0,0.00914338,0.009741059,0.0002320364,0.003746083,0,0,0.02988423,0.01183806,0.02263731,0,0,0.02211027,0,0.02122193,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.03924176,0.04090682
0,17.28213,3.936636,2.65408,2.907398,6.052233,6.052233,0,0,0,0,0,0,13.27041,52.96254,26.62037,68.75154,0,0,6.2807,45.97035,35.70715,40.6172,0,0,9.93066,4.111682,13.27041,0,0,10.94306,2.373881,13.58516,0,0,2.09492,222.3733,50.35762,0,0,112.6031,106.8246,0,0,0,0,0,0,35.60821,618.8057,275.8201,241.5067,0,0,50.35762,530.551,0,123.3505,0,0,151.0729,61.67524,128.3873,0,0,123.3505,0,123.3505,0,0,0.1827041,0.2039055,0.02734307,0,0,0.2203261,0.2090197,0,0,0,0,0,0,0.01399696,0.01465466,0.012336,0.006008162,0,0,0.01796287,0.01163587,0,0.003104408,0,0,0.03630189,0.01452277,0.02365715,0,0,0.02632492,0,0.02421019,0,0,0.1832564,0.2035957,0.02378369,0.02827292,0.02827292,0.2214364,0.2156342,0,0,0,0,0,0,0.01735977,0.01194348,0.009266006,0.007276275,0,0,0.01629089,0.01024611,0.001316629,0.003144616,0,0,0.03598483,0.01399744,0.02451415,0,0,0.0257426,0,0.02409351,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.04720422,0.05093091
0,24.67015,3.357175,2.055841,2.055841,9.642754,9.642754,0,0,0,0,0,0,11.80991,35.27047,35.88426,60.66262,0,0,4.597001,31.71608,36.85272,40.70382,0,0,14.7773,6.167525,17.72482,0,0,14.72956,2.65408,17.80413,0,0,2.380019,251.7882,71.21642,50.35762,50.35762,137.91,133.2337,0,0,0,0,0,0,71.21642,473.7369,35.60821,278.1091,0,0,79.62239,504.8341,50.35762,137.91,0,0,174.4439,71.21642,146.8164,0,0,137.91,0,137.91,0,0,0.2075684,0.2308775,0.03866894,0.08481877,0.08481877,0.2698433,0.2606934,0,0,0,0,0,0,0.02799391,0.01121912,0.001592571,0.00691875,0,0,0.0284018,0.01107185,0.002088328,0.003470834,0,0,0.04191781,0.01676945,0.02705299,0,0,0.02943216,0,0.02706781,0,0,0.207945,0.2320999,0.03856021,0.06044952,0.06044952,0.265821,0.261025,0,0,0,0,0,0,0.02608729,0.01095684,0.007673752,0.008417951,0,0,0.02343839,0.009067019,0.004410718,0.00422627,0,0,0.04129784,0.01594438,0.02689247,0,0,0.02935025,0,0.02704562,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.06586994,0.06294721
0,33.10704,3.936636,2.373881,2.373881,13.99383,13.9434,0,0,0,0,0,0,9.039472,23.56014,37.34639,51.36909,0,0,1.678587,21.88614,38.47978,41.15132,0,0,20.4898,8.559152,22.55191,1.18694,0,19.17563,3.140349,22.48935,0,0,2.671357,284.8658,100.7152,50.35762,50.35762,159.2448,159.2448,0,0,0,0,0,0,112.6031,347.0661,128.3873,576.37,0,0,100.7152,201.4305,185.0257,159.2448,0,0,198.2582,71.21642,159.2448,0,0,151.0729,0,151.0729,0,0,0.2329769,0.2612081,0.05468615,0.08481877,0.08481877,0.3115882,0.3115882,0,0,0,0,0,0,0.04426227,0.008219278,0.005742097,0.01433883,0,0,0.03592575,0.004417707,0.007673008,0.004007773,0,0,0.04764023,0.01676945,0.02934308,0,0,0.03224132,0,0.0296513,0,0,0.2332523,0.2478863,0.05689609,0.09010089,0.09010089,0.3095157,0.3077592,0,0,0,0,0,0,0.03014915,0.008939433,0.0091768,0.009495032,0,0,0.02850828,0.006601615,0.009076847,0.006208265,0,0,0.04501552,0.02068623,0.02838797,0,0,0.0307197,0,0.03014627,0,0,1.083471,1.083471,0.4281606,0.2345556,2.381796,0.4825369,1.212465,0.2355198,0,0,0.2359152,0,0,0.06507696,0.7738474,0.835029,0.6738147,0.2815987,0.2102149,0.06507733,0.7738491,0.848226,0.6609397,0.2805813,0.2079927,1.445778,1.432618,0.4378316,0.3410683,0,1.446721,1.431686,0.4378317,0.3410683,0,0.07427531,0.07415244
