vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,pEndEff#Bone_Hand_L,pEndEff#Bone_Hand_R,pEndEff#Bone_Foot_L,pEndEff#Bone_Foot_R,wEndEff#Bone_Hand_L,wEndEff#Bone_Hand_R,wEndEff#Bone_Foot_L,wEndEff#Bone_Foot_R,p0,p
0,8.308585,18.95394,14.34187,14.3909,12.89348,12.83873,0,35.60821,133.2337,100.7152,100.7152,79.62239,71.21642,0,0.01350452,0.05734599,0.2138088,0.2144223,0.06279465,0.05616524,0,0.006982332,0.0502335,0.1856127,0.1867258,0.05514954,0.05011899,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.09514451,0.08272319
0,8.308585,18.95394,14.34187,14.3909,12.89348,12.83873,0,35.60821,133.2337,100.7152,100.7152,79.62239,71.21642,0,0.01350452,0.05734599,0.2138088,0.2144223,0.06279465,0.05616524,0,0.005580297,0.04705356,0.1744455,0.1751759,0.05255868,0.04830528,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.09514451,0.07807522
0,7.873274,14.48847,11.00724,11.07105,10.81355,10.81355,0,0,112.6031,79.62239,87.22195,71.21642,61.67524,0,0,0.04846621,0.1690307,0.1856952,0.05616524,0.04864053,0,0.004279126,0.04298067,0.1554144,0.1559562,0.04707556,0.04360083,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.07934294,0.06971794
0,7.412442,10.54976,8.137257,8.137257,9.039472,9.117065,0,0,94.21048,79.62239,71.21642,50.35762,50.35762,0,0,0.04054974,0.1690307,0.1516195,0.03971482,0.03971482,0,0.004388496,0.03761689,0.1347079,0.1343057,0.04285616,0.03829033,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.06752674,0.06091693
0,7.022036,7.316793,5.692367,5.567245,7.692255,7.600129,0,0,79.62239,50.35762,50.35762,50.35762,50.35762,0,0,0.03427078,0.1069044,0.1072112,0.03971482,0.03971482,0,0.005079812,0.03174172,0.1106267,0.110315,0.03865604,0.03233832,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.05278716,0.05142516
0,6.391871,4.441125,3.560822,3.357175,6.391871,6.2807,0,0,61.67524,50.35762,50.35762,50.35762,50.35762,0,0,0.02654603,0.1069044,0.1072112,0.03971482,0.03971482,0,0.006663832,0.02434229,0.08221825,0.08175028,0.03444781,0.02729462,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.05195585,0.04071514
0,5.567245,2.373881,2.055841,1.678587,5.173754,5.173754,0,0,35.60821,0,0,0,0,0,0,0.01532636,0,0,0,0,0,0.009313634,0.01721076,0.05362752,0.05316684,0.03080163,0.02353458,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.001649375,0.03106036
0,4.747762,0,0,1.18694,4.111682,4.111682,0,50.35762,0,0,0,35.60821,0,0,0.01909827,0,0,0,0.02808262,0,0,0.01630481,0.01216542,0.03285033,0.03194975,0.02941805,0.02209198,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.007920775,0.02484412
0,3.936636,0,1.678587,1.678587,3.357175,3.140349,0,50.35762,0,0,0,35.60821,0,0,0.01909827,0,0,0,0.02808262,0,0,0.02696271,0.009591514,0.01634449,0.01638957,0.03051603,0.02353458,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.007920775,0.02203991
0,3.753435,0,2.373881,2.373881,2.65408,2.65408,0,71.21642,0,0,0,50.35762,50.35762,0,0.02700903,0,0,0,0.03971482,0.03971482,0,0.03876064,0.009591514,0.01319689,0.01323324,0.03310202,0.02729462,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.02349936,0.02415105
0,4.893881,0,2.373881,2.373881,2.373881,2.373881,0,71.21642,0,0,0,35.60821,50.35762,0,0.02700903,0,0,0,0.02808262,0.03971482,0,0.05049403,0.01197725,0.01634449,0.01779752,0.03699682,0.03313095,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.0210698,0.02933923
0,7.121644,1.18694,2.907398,2.65408,2.907398,3.140349,0,201.4305,35.60821,0,0,50.35762,50.35762,0,0.0763931,0.01532636,0,0,0.03971482,0.03971482,0,0.06082701,0.01693206,0.03070427,0.03405272,0.04474793,0.04262927,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.0304633,0.0396917
0,13.73984,2.65408,3.140349,3.140349,4.597001,4.597001,0,295.7841,61.67524,0,0,61.67524,61.67524,0,0.112177,0.02654603,0,0,0.04864053,0.04864053,0,0.06697188,0.02272948,0.04939599,0.05409308,0.05204426,0.05244889,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.04014979,0.05078508
0,23.53022,4.441125,3.753435,3.560822,6.818455,6.818455,0,249.2576,79.62239,50.35762,50.35762,71.21642,71.21642,0,0.09453164,0.03427078,0.1069044,0.1072112,0.05616524,0.05616524,0,0.06849777,0.02682229,0.06261467,0.06880858,0.0589427,0.0608893,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.07149015,0.05881512
0,31.84907,6.920994,4.597001,4.597001,9.270305,9.270305,0,204.5536,87.22195,50.35762,61.67524,79.62239,87.22195,0,0.07757755,0.03754176,0.1069044,0.1313063,0.06279465,0.06878809,0,0.06437034,0.02845816,0.07001615,0.07732811,0.06390698,0.06508934,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.07867994,0.06296194
0,38.66241,10.14123,6.167525,6.052233,12.10447,12.16253,0,159.2448,112.6031,61.67524,71.21642,112.6031,112.6031,0,0.06039404,0.04846621,0.1309306,0.1516195,0.08880505,0.08880505,0,0.05640892,0.02784157,0.07158964,0.07888683,0.06451438,0.06641106,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.09551512,0.06293368
0,43.96519,13.9434,8.050224,8.050224,15.70176,15.65683,0,112.6031,87.22195,71.21642,71.21642,118.0991,118.0991,0,0.04270504,0.03754176,0.1511856,0.1516195,0.09313951,0.09313951,0,0.04547814,0.02447291,0.06657682,0.07283029,0.06093736,0.06329782,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.09724417,0.05818169
0,47.75907,16.78589,10.48278,10.48278,19.35844,19.39479,0,61.67524,35.60821,0,0,94.21048,94.21048,0,0.02339051,0.01532636,0,0,0.07429963,0.07429963,0,0.03513957,0.01936826,0.05348689,0.05808909,0.05517636,0.0580348,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.04269207,0.0504943
0,50.0353,18.03995,11.56887,11.50782,22.23736,22.26902,0,0,0,0,0,71.21642,61.67524,0,0,0,0,0,0.05616524,0.04864053,0,0.02938896,0.01366405,0.03641309,0.03967029,0.04872779,0.05139772,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.02679249,0.0410649
0,50.77599,18.87947,10.87849,10.87849,24.20898,24.23806,0,0,0,0,0,0,35.60821,0,0,0,0,0,0,0.02808262,0,0.02789324,0.009764569,0.02151975,0.02273056,0.04322559,0.04573062,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.008695783,0.03327772
0,50.00713,19.21233,10.14123,10.21045,25.23476,25.23476,0,61.67524,0,0,0,0,0,0,0.02339051,0,0,0,0,0,0,0.03013287,0.00746451,0.009120443,0.009144356,0.04121493,0.04302729,0.3475437,0.3475437,0.3475437,0.4083007,0.4515448,0.6745198,1,0,0,0,0,0,0,0,0,0.002517214,0.02850524
