vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,vBones#Bone_Eye_L 1,vBones#Bone_Eye_R 1,vBones#Bone_Shoulder_L,vBones#Bone_UpperArm_L,vBones#Bone_Forearm_L,vBones#Bone_Hand_L,vBones#Bone_Shoulder_R,vBones#Bone_UpperArm_R,vBones#Bone_Forearm_R,vBones#Bone_Hand_R,vBones#Bone_UpperLeg_L,vBones#Bone_LowerLeg_L,vBones#Bone_Foot_L,vBones#Bone_Toes_L,vBones#Bone_UpperLeg_R,vBones#Bone_LowerLeg_R,vBones#Bone_Foot_R,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,aBones#Bone_Eye_L 1,aBones#Bone_Eye_R 1,aBones#Bone_Shoulder_L,aBones#Bone_UpperArm_L,aBones#Bone_Forearm_L,aBones#Bone_Hand_L,aBones#Bone_Shoulder_R,aBones#Bone_UpperArm_R,aBones#Bone_Forearm_R,aBones#Bone_Hand_R,aBones#Bone_UpperLeg_L,aBones#Bone_LowerLeg_L,aBones#Bone_Foot_L,aBones#Bone_Toes_L,aBones#Bone_UpperLeg_R,aBones#Bone_LowerLeg_R,aBones#Bone_Foot_R,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,p0Bones#Bone_Eye_L 1,p0Bones#Bone_Eye_R 1,p0Bones#Bone_Shoulder_L,p0Bones#Bone_UpperArm_L,p0Bones#Bone_Forearm_L,p0Bones#Bone_Hand_L,p0Bones#Bone_Shoulder_R,p0Bones#Bone_UpperArm_R,p0Bones#Bone_Forearm_R,p0Bones#Bone_Hand_R,p0Bones#Bone_UpperLeg_L,p0Bones#Bone_LowerLeg_L,p0Bones#Bone_Foot_L,p0Bones#Bone_Toes_L,p0Bones#Bone_UpperLeg_R,p0Bones#Bone_LowerLeg_R,p0Bones#Bone_Foot_R,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,pBones#Bone_Eye_L 1,pBones#Bone_Eye_R 1,pBones#Bone_Shoulder_L,pBones#Bone_UpperArm_L,pBones#Bone_Forearm_L,pBones#Bone_Hand_L,pBones#Bone_Shoulder_R,pBones#Bone_UpperArm_R,pBones#Bone_Forearm_R,pBones#Bone_Hand_R,pBones#Bone_UpperLeg_L,pBones#Bone_LowerLeg_L,pBones#Bone_Foot_L,pBones#Bone_Toes_L,pBones#Bone_UpperLeg_R,pBones#Bone_LowerLeg_R,pBones#Bone_Foot_R,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,wBones#Bone_Eye_L 1,wBones#Bone_Eye_R 1,wBones#Bone_Shoulder_L,wBones#Bone_UpperArm_L,wBones#Bone_Forearm_L,wBones#Bone_Hand_L,wBones#Bone_Shoulder_R,wBones#Bone_UpperArm_R,wBones#Bone_Forearm_R,wBones#Bone_Hand_R,wBones#Bone_UpperLeg_L,wBones#Bone_LowerLeg_L,wBones#Bone_Foot_L,wBones#Bone_Toes_L,wBones#Bone_UpperLeg_R,wBones#Bone_LowerLeg_R,wBones#Bone_Foot_R,pEndEff#Bone_Hand_L,pEndEff#Bone_Hand_R,pEndEff#Bone_Foot_L,pEndEff#Bone_Foot_R,wEndEff#Bone_Hand_L,wEndEff#Bone_Hand_R,wEndEff#Bone_Foot_L,wEndEff#Bone_Foot_R,p0,p
0,4.597001,3.140349,2.373881,2.055841,3.753435,3.936636,175.9629,167.5224,0,10.34751,12.72853,15.83577,1.678587,3.753435,0,4.441125,3.936636,0,2.65408,0,4.279575,3.560822,3.560822,2.05831,61.67524,50.35762,0,0,61.67524,50.35762,5869.777,5509.005,0,271.1841,241.5067,439.0079,50.35762,79.62239,0,123.3505,61.67524,0,0,0,61.67524,0,50.35762,0.0941915,0.04630722,0.01896726,0,0,0.1011873,0.08261912,0.06583067,0.06505935,0,0.01044828,0.01779296,0.02105395,0.01835968,0.005022082,0,0.004329172,0.009511607,0,0,0,0.01620985,0,0.006119997,0.08721541,0.04780446,0.01835,0,0,0.09912421,0.08261912,0.0591607,0.05783053,0,0.01114183,0.01727343,0.02106929,0.01631971,0.005607652,0.0002997267,0.004367713,0.009511607,0,0.0002808405,0,0.01620985,0,0.006119997,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.05394103,0.05372605
0,4.597001,3.140349,2.373881,2.055841,3.753435,3.936636,175.9629,167.5224,0,10.34751,12.72853,15.83577,1.678587,3.753435,0,4.441125,3.936636,0,2.65408,0,4.279575,3.560822,3.560822,2.05831,61.67524,50.35762,0,0,61.67524,50.35762,5869.777,5509.005,0,271.1841,241.5067,439.0079,50.35762,79.62239,0,123.3505,61.67524,0,0,0,61.67524,0,50.35762,0.0941915,0.04630722,0.01896726,0,0,0.1011873,0.08261912,0.06583067,0.06505935,0,0.01044828,0.01779296,0.02105395,0.01835968,0.005022082,0,0.004329172,0.009511607,0,0,0,0.01620985,0,0.006119997,0.07325994,0.05400885,0.01562526,0,0,0.09706107,0.08468226,0.04605138,0.04473915,0.001073586,0.01384279,0.01578666,0.02115289,0.01223978,0.008513155,0.001023331,0.005433623,0.009675101,0,0.0009588494,0,0.01648848,0,0.006515171,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.05394103,0.05464138
0,6.391871,2.907398,1.678587,1.18694,5.692367,5.567245,24.49823,17.15942,0,5.439245,20.86454,30.44692,1.18694,4.747762,1.18694,8.64106,5.934703,0,3.357175,0,6.2807,3.560822,3.560822,0.6863103,79.62239,35.60821,0,0,50.35762,50.35762,517.2397,0,0,433.1929,178.0411,441.8866,0,163.1774,35.60821,133.2337,61.67524,0,35.60821,0,61.67524,0,50.35762,0.03140664,0.05978237,0.01341188,0,0,0.08261912,0.08261912,0.005800941,0,0,0.01669022,0.01311715,0.02119201,0,0.01029221,0.00269754,0.004676041,0.009511607,0,0.002527565,0,0.01620985,0,0.006119997,0.05930043,0.06731613,0.01079305,0,0,0.09673724,0.09208019,0.03220258,0.03205308,0.004006677,0.01845435,0.01273512,0.02139287,0.006119892,0.01222749,0.002346388,0.006214889,0.01000209,0,0.002264837,0,0.01729122,0,0.007502509,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.05200618,0.05878865
0,9.270305,3.560822,0,0,7.783291,7.873274,39.00705,17.20042,0,16.05665,26.96218,44.94761,2.373881,3.936636,2.65408,5.567245,7.962241,0,4.597001,0,8.308585,2.65408,5.035762,0.6856654,118.0991,0,0,0,61.67524,61.67524,702.3052,1041.202,50.35762,740.1044,123.3505,451.818,0,410.6542,50.35762,386.8044,71.21642,0,50.35762,0,71.21642,0,79.62239,0.03137713,0.08867158,0,0,0,0.1011873,0.1011873,0.007876487,0.01229622,0.009662274,0.02851501,0.009087824,0.0216683,0,0.0259015,0.003814898,0.01357549,0.01098306,0,0.003574516,0,0.01871752,0,0.009676565,0.09018681,0.08733674,0.005087892,0,0,0.1051967,0.1061983,0.03394099,0.03003548,0.008013355,0.02265199,0.008745656,0.02239218,0.002039964,0.01471177,0.00349387,0.007725772,0.01076684,0,0.00380348,0,0.01884,0,0.009330372,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.06411383,0.06831148
0,13.11019,4.111682,0,1.18694,10.21045,10.14123,52.05024,51.94185,2.373881,39.86446,30.97448,59.62014,2.907398,16.10046,4.747762,10.61632,10.48278,1.678587,6.818455,0,10.81355,2.373881,7.316793,2.057517,146.8164,0,0,0,71.21642,79.62239,5276.362,5817.894,87.22195,717.4871,50.35762,468.3533,0,195.0343,71.21642,50.35762,71.21642,0,79.62239,0,79.62239,0,94.21048,0.09415521,0.1102332,0,0,0,0.1168411,0.1306323,0.05917541,0.06870721,0.01673555,0.0276436,0.003710089,0.0224613,0,0.01230154,0.00539508,0.001767377,0.01098306,0,0.005651806,0,0.02092683,0,0.01144947,0.1245709,0.1101193,0.001490209,0,0,0.1195871,0.12537,0.05204608,0.03813516,0.00987286,0.02347109,0.005218552,0.02364559,0,0.01282584,0.003793597,0.007068284,0.01176211,0,0.005560372,0,0.02078164,0,0.01142155,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.08302858,0.08085926
0,18.00086,4.893881,1.678587,1.678587,12.78375,12.78375,124.3753,143.3208,5.692367,63.49945,32.97913,74.62784,3.140349,22.33219,7.121644,10.14123,13.05635,2.055841,9.569424,0,13.37615,1.678587,10.34751,8.134219,178.0411,0,0,0,87.22195,87.22195,7673.171,2621.329,50.35762,498.5155,0,587.2665,0,71.21642,50.35762,330.2171,87.22195,0,100.7152,0,87.22195,0,112.6031,0.3722347,0.1336775,0,0,0,0.1431005,0.1431005,0.08605608,0.03095694,0.009662274,0.01920699,0,0.02816414,0,0.004491886,0.003814898,0.01158947,0.01345144,0,0.007149032,0,0.02292419,0,0.01368473,0.1745888,0.1334783,0,0.005819788,0.0058158,0.1387295,0.1441657,0.07016336,0.04172125,0.008013355,0.02078601,0.00479937,0.02349117,0.001442472,0.01086698,0.003318294,0.009408475,0.01309937,0,0.007219242,0,0.02281514,0,0.01363093,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.0984512,0.09410025
0,23.85726,5.814797,2.373881,2.373881,15.70176,15.70176,355.8848,196.4358,7.022036,78.29479,32.91499,88.74561,3.560822,20.07301,8.722198,2.373881,16.01272,2.65408,13.11019,0,16.14415,0,14.04408,0.0009229294,207.6298,0,0,0,94.21048,100.7152,8668.819,4283.667,0,419.8149,61.67524,512.3135,0,118.0991,0,94.21048,94.21048,0,128.3873,0,94.21048,0,128.3873,4.223471E-05,0.1558934,0,0,0,0.1545662,0.1652382,0.09722246,0.05058855,0,0.01617478,0.004543912,0.02456955,0,0.007448951,0,0.00330646,0.01452922,0,0.009113265,0,0.02476096,0,0.015603,0.1453784,0.1563971,0.001490209,0.01745936,0.0174474,0.1557785,0.16187,0.07106058,0.03967041,0.004006677,0.01688746,0.008540835,0.02222784,0.005769889,0.01100254,0.002894417,0.01269997,0.01433477,0,0.008887538,0,0.0248438,0.001161532,0.01568271,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.1015113,0.1050079
0,30.76912,6.391871,3.357175,3.357175,18.91674,18.95394,94.10868,73.76382,6.2807,90.79388,30.83772,96.79527,3.753435,23.94567,8.559152,5.035762,19.13886,3.357175,17.36346,0,19.17563,0,18.34968,5.131454,238.8672,0,50.35762,50.35762,106.8246,106.8246,4692.725,2687.022,0,345.2346,238.8672,233.4987,35.60821,300.0403,50.35762,746.0766,100.7152,0,146.8164,0,100.7152,0,146.8164,0.2348234,0.1793472,0,0.05237809,0.0523422,0.1752616,0.1752616,0.0526298,0.03173275,0,0.01330133,0.0175985,0.01119814,0.01298225,0.01892466,0.003814898,0.02618469,0.01553239,0,0.01042142,0,0.02647058,0,0.01784271,0.1448319,0.176556,0.005561535,0.03732936,0.03620187,0.1722085,0.177502,0.05455305,0.03143052,0.001073586,0.01364074,0.01442432,0.02133812,0.01568398,0.01468837,0.003842236,0.01771704,0.01549133,0,0.01024509,0,0.02689859,0.003484596,0.0177941,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.118355,0.1160992
0,38.69883,7.219878,5.035762,4.893881,22.48935,22.48935,62.3689,15.79123,5.692367,100.8097,22.86213,93.31934,4.279575,33.92671,6.920994,25.92323,22.45801,3.936636,22.36371,0,22.42662,2.055841,23.25923,0.0001517287,271.1841,35.60821,50.35762,50.35762,112.6031,118.0991,1010.299,946.8069,0,280.3795,330.2171,524.5424,71.21642,278.1091,71.21642,771.1478,106.8246,0,167.0173,0,112.6031,50.35762,163.1774,6.943343E-06,0.2036115,0.01341188,0.05237809,0.0523422,0.184742,0.193759,0.01133069,0.01118144,0,0.01080256,0.02432869,0.02515602,0.0259645,0.01754138,0.00539508,0.0270646,0.01647459,0,0.01185533,0,0.029595,0.01045379,0.01983106,0.1025674,0.1856478,0.01221398,0.0537902,0.05154953,0.1869616,0.1938419,0.04008565,0.02434339,0,0.0120264,0.01840583,0.02326359,0.02521156,0.01971132,0.005813386,0.02924694,0.01653027,0,0.01103811,0,0.02914551,0.006969193,0.01993261,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.1238963,0.1261864
0,47.65571,8.308585,6.920994,6.818455,26.35442,26.35442,88.94385,47.35915,5.035762,108.3156,11.80991,76.87834,1.678587,40.28632,4.279575,51.34166,26.05874,4.441125,28.01288,0,25.95039,3.140349,28.75738,4.953574,264.0777,61.67524,71.21642,61.67524,123.3505,128.3873,2668.315,2809.528,0,251.7882,261.6659,642.9241,137.91,332.1314,112.6031,244.1177,112.6031,0,167.0173,0,118.0991,50.35762,181.567,0.2266834,0.1982757,0.02323006,0.0740738,0.06410585,0.2023747,0.2106383,0.02992566,0.0331795,0,0.009700987,0.01927819,0.03083337,0.05028005,0.02094877,0.008530371,0.008567682,0.01736574,0,0.01185533,0,0.0310395,0.01045379,0.02206597,0.1165716,0.1754607,0.01921821,0.06869164,0.06533884,0.2033248,0.209788,0.0415851,0.02019241,0,0.01139335,0.01799072,0.02525969,0.02896925,0.02486444,0.008315985,0.0375586,0.01626571,0,0.01083348,0,0.03139027,0.009292257,0.02122474,1.083471,1.083471,0.4281607,0.2345558,2.381797,0.4825363,22.27411,0.1600211,0.1609353,0.06507719,0.7738478,0.8350298,0.6738148,0.06507736,0.7738498,0.8482262,0.6609393,1.445779,1.432618,0.4378318,0.3410683,1.446724,1.431687,0.4378317,0,0,0,0,0,0,0,0,0.1405609,0.1368262
