vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,pEndEff#Bone_Hand_L,pEndEff#Bone_Hand_R,pEndEff#Bone_Foot_L,pEndEff#Bone_Foot_R,wEndEff#Bone_Hand_L,wEndEff#Bone_Hand_R,wEndEff#Bone_Foot_L,wEndEff#Bone_Foot_R,p0,p
0,4.597001,3.140349,2.373881,2.055841,3.753435,3.936636,0,61.67524,50.35762,0,0,61.67524,50.35762,0,0.04630722,0.01896726,0,0,0.1011873,0.08261912,0,0.06292441,0.01266043,0,0,0.0989486,0.09083343,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.05374215,0.05693739
0,4.597001,3.140349,2.373881,2.055841,3.753435,3.936636,0,61.67524,50.35762,0,0,61.67524,50.35762,0,0.04630722,0.01896726,0,0,0.1011873,0.08261912,0,0.07194133,0.01053229,0,0,0.1031219,0.09718747,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.05374215,0.06053134
0,6.391871,2.907398,1.678587,1.18694,5.692367,5.567245,0,79.62239,35.60821,0,0,50.35762,50.35762,0,0.05978237,0.01341188,0,0,0.08261912,0.08261912,0,0.08292514,0.008446542,0,0,0.1086241,0.1054953,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.05071619,0.06523065
0,9.270305,3.560822,0,0,7.783291,7.873274,0,118.0991,0,0,0,61.67524,61.67524,0,0.08867158,0,0,0,0.1011873,0.1011873,0,0.09632712,0.006434593,0.003501935,0.003499561,0.1164196,0.1153196,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.06200972,0.0720401
0,13.11019,4.111682,0,1.18694,10.21045,10.14123,0,146.8164,0,0,0,71.21642,79.62239,0,0.1102332,0,0,0,0.1168411,0.1306323,0,0.1121898,0.005443936,0.008126571,0.008121055,0.1260082,0.1271661,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.07671727,0.08051313
0,18.00086,4.893881,1.678587,1.678587,12.78375,12.78375,0,178.0411,0,0,0,87.22195,87.22195,0,0.1336775,0,0,0,0.1431005,0.1431005,0,0.1318307,0.005146761,0.01587157,0.01525034,0.139119,0.1428498,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.08858572,0.09214585
0,23.85726,5.814797,2.373881,2.373881,15.70176,15.70176,0,207.6298,0,0,0,94.21048,100.7152,0,0.1558934,0,0,0,0.1545662,0.1652382,0,0.1476408,0.00610707,0.02543725,0.02451582,0.1539855,0.1597074,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.1002263,0.10478
0,30.76912,6.391871,3.357175,3.357175,18.91674,18.95394,0,238.8672,0,50.35762,50.35762,106.8246,106.8246,0,0.1793472,0,0.05237809,0.0523422,0.1752616,0.1752616,0,0.1563831,0.008833054,0.03736071,0.03611882,0.1711139,0.1769507,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.1241173,0.1180789
0,38.69883,7.219878,5.035762,4.893881,22.48935,22.48935,0,271.1841,35.60821,50.35762,50.35762,112.6031,118.0991,0,0.2036115,0.01341188,0.05237809,0.0523422,0.184742,0.193759,0,0.1557645,0.01312385,0.05049597,0.04902375,0.177136,0.1828761,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.1358797,0.124954
0,47.65571,8.308585,6.920994,6.818455,26.35442,26.35442,0,264.0777,61.67524,71.21642,61.67524,123.3505,128.3873,0,0.1982757,0.02323006,0.0740738,0.06410585,0.2023747,0.2106383,0,0.1467641,0.01799095,0.06441768,0.06243373,0.1815281,0.1862745,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745195,1,0,0,0,0,0,0,0,0,0.1496594,0.130008
