vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,pEndEff#Bone_Hand_L,pEndEff#Bone_Hand_R,pEndEff#Bone_Foot_L,pEndEff#Bone_Foot_R,wEndEff#Bone_Hand_L,wEndEff#Bone_Hand_R,wEndEff#Bone_Foot_L,wEndEff#Bone_Foot_R,p0,p
0,35.46962,13.73984,9.039472,9.039472,18.07896,18.07896,0,207.6298,0,50.35762,50.35762,133.2337,133.2337,0,0.1046916,0,0.09950362,0.09975083,0.1292529,0.1292529,0,0.1036155,0,0.09950363,0.09975082,0.1270291,0.1270291,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.1048137,0.1035448
0,35.46962,13.73984,9.039472,9.039472,18.07896,18.07896,0,207.6298,0,50.35762,50.35762,133.2337,133.2337,0,0.1046916,0,0.09950362,0.09975083,0.1292529,0.1292529,0,0.1000489,0,0.08844767,0.0886674,0.1205989,0.1198456,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.1048137,0.09664605
0,28.51137,13.53321,7.873274,7.783291,13.63692,13.63692,0,188.421,0,50.35762,50.35762,112.6031,112.6031,0,0.09500611,0,0.09950362,0.09975083,0.1092386,0.1092386,0,0.0930752,0.002873627,0.06633575,0.06650055,0.1074838,0.1059772,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.09339365,0.08327618
0,22.23736,12.948,6.71435,6.71435,9.715529,9.715529,0,163.1774,0,0,0,94.21048,87.22195,0,0.08227771,0,0,0,0.09139559,0.08461587,0,0.08353215,0.009266715,0.03316788,0.03325028,0.09110295,0.0876231,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.05414511,0.06498994
0,16.74387,11.98752,5.934703,5.934703,6.501142,6.608606,0,146.8164,50.35762,0,0,71.21642,71.21642,0,0.07402816,0.02586265,0,0,0.06908857,0.06908857,0,0.0733224,0.01972373,0.01105596,0.01108343,0.06877339,0.0648269,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.0465734,0.04739884
0,11.92861,10.61632,5.439245,5.30816,3.936636,3.936636,0,123.3505,61.67524,0,0,61.67524,50.35762,0,0.06219609,0.03167514,0,0,0.05983246,0.048853,0,0.06275516,0.02443348,0,0,0.04545223,0.04103911,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.03772637,0.03158411
0,7.962241,8.882252,5.035762,4.893881,2.055841,2.055841,0,106.8246,71.21642,0,0,0,0,0,0.05386339,0.0365753,0,0,0,0,0,0.05237815,0.02210431,0,0,0.02097261,0.01853273,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.009732732,0.01813467
0,5.035762,6.920994,4.597001,4.597001,0,0,0,79.62239,0,0,0,0,0,0,0.0401474,0,0,0,0,0,0,0.04763728,0.0116473,0,0,0.006648051,0.005428111,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.004320539,0.009449381
0,3.560822,5.692367,4.597001,4.441125,0,0,0,61.67524,0,0,0,0,0,0,0.03109804,0,0,0,0,0,0,0.05672351,0.004063922,0,0,0,0,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.003346675,0.006541753
0,4.111682,5.692367,4.597001,4.597001,0,0,0,151.0729,0,0,0,0,0,0,0.07617435,0,0,0,0,0,0,0.0808712,0,0,0,0.003838254,0.005428111,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.008197646,0.0111856
0,7.600129,6.391871,4.441125,4.597001,1.18694,1.18694,0,259.2318,0,0,0,0,0,0,0.1307105,0,0,0,0,0,0,0.1095288,0.002031961,0,0,0.01535302,0.01853273,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.01406666,0.02095119
0,15.61178,7.219878,4.441125,4.597001,2.373881,2.055841,0,268.8362,0,0,0,35.60821,50.35762,0,0.1355533,0,0,0,0.03454429,0.048853,0,0.12956,0.006095883,0,0,0.03702284,0.04179242,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.03693024,0.03527267
0,24.32509,8.308585,4.597001,4.441125,3.753435,3.753435,0,275.8201,35.60821,0,0,71.21642,71.21642,0,0.1390747,0.01828765,0,0,0.06908857,0.06908857,0,0.1393744,0.01219177,0,0,0.07339684,0.07624497,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.05275831,0.05525036
0,33.44575,9.495527,4.441125,4.441125,6.052233,6.052233,0,284.8658,35.60821,0,0,94.21048,94.21048,0,0.1436358,0.01828765,0,0,0.09139559,0.09139559,0,0.1437918,0.01709735,0.017481,0.01567433,0.1239,0.1248267,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.06481569,0.08624708
0,42.86182,10.94306,4.279575,4.441125,8.961206,8.961206,0,293.633,35.60821,0,0,207.6298,204.5536,0,0.1480564,0.01828765,0,0,0.2014261,0.1984418,0,0.148319,0.02081265,0.05059749,0.04492303,0.1761422,0.1751474,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.1214198,0.121904
0,52.58881,12.5052,5.692367,5.567245,15.83577,15.83577,0,304.2368,50.35762,79.62239,71.21642,273.512,273.512,0,0.1534031,0.02586265,0.157329,0.141069,0.2653398,0.2653398,0,0.1459331,0.02398348,0.09153172,0.08200889,0.2018226,0.2011594,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.1964902,0.1457675
0,62.63939,14.19375,8.137257,8.223367,24.75566,24.7841,0,312.4609,50.35762,71.21642,61.67524,204.5536,204.5536,0,0.1575498,0.02586265,0.1407194,0.1221693,0.1984418,0.1984418,0,0.1277317,0.02750294,0.09750395,0.09558326,0.1847978,0.1835601,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.1575063,0.137835
0,73.03439,16.01272,10.34751,10.27921,31.42603,31.44843,0,195.0343,61.67524,35.60821,35.60821,133.2337,133.2337,0,0.09834067,0.03167514,0.07035968,0.07053448,0.1292529,0.1292529,0,0.09247357,0.03137103,0.0722052,0.08200889,0.139258,0.1374458,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.09976925,0.1055695
0,79.69491,18.03995,12.04614,12.10447,35.76628,35.78597,0,50.35762,71.21642,0,35.60821,79.62239,71.21642,0,0.02539145,0.0365753,0,0.07053448,0.07724337,0.06908857,0,0.05709083,0.03429608,0.03127097,0.05276019,0.09889073,0.09551392,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.05405758,0.07139605
0,80.95782,20.17802,13.42871,13.42871,37.815,37.815,0,35.60821,71.21642,0,0,50.35762,50.35762,0,0.01795446,0.0365753,0,0,0.048853,0.048853,0,0.04225231,0.03484054,0.007817742,0.0235115,0.0892481,0.08571424,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.03119934,0.05775451
0,80.06532,22.58312,14.29267,14.34187,37.57206,37.57206,0,94.21048,71.21642,0,0,106.8246,100.7152,0,0.04750305,0.0365753,0,0,0.1036329,0.097706,0,0.05370329,0.0389879,0,0.007837165,0.1121688,0.1084779,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.06094819,0.06808927
0,76.96992,25.15087,14.72956,14.72956,35.13038,35.11033,0,163.1774,50.35762,0,0,170.771,167.0173,0,0.08227771,0.02586265,0,0,0.1656686,0.1620271,0,0.08197549,0.0455658,0,0,0.147792,0.1449136,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.09641179,0.08946665
0,71.65162,23.85726,14.72956,14.72956,30.6774,30.6774,0,228.0039,155.2126,0,0,198.2582,198.2582,0,0.1149647,0.07971403,0,0,0.1923345,0.1923345,0,0.1150315,0.05620762,0,0.007837165,0.1731855,0.1714273,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.120679,0.1087789
0,64.11769,18.99107,14.2433,14.2433,24.38294,24.38294,0,293.633,123.3505,0,0,198.2582,195.0343,0,0.1480564,0.06335028,0,0,0.1923345,0.1892069,0,0.1444841,0.05817639,0.01105596,0.02675776,0.1766192,0.1759812,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.1215108,0.1183309
0,54.3671,14.96676,13.27041,13.32338,18.03995,18.07896,0,361.3841,100.7152,0,35.60821,167.0173,170.771,0,0.182218,0.05172529,0,0.07053448,0.1620271,0.1656686,0,0.1620216,0.05419518,0.0377474,0.05925272,0.1609642,0.1608602,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.1201795,0.1197559
0,42.39914,11.50782,11.86941,11.92861,12.78375,12.78375,0,356.0823,87.22195,50.35762,50.35762,142.4329,142.4329,0,0.1795447,0.04479542,0.09950362,0.09975083,0.1381772,0.1381772,0,0.1614411,0.04565701,0.0754948,0.08715677,0.1371126,0.1363286,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.1223172,0.1148706
0,30.58542,8.64106,10.07153,10.07153,8.64106,8.64106,0,280.3795,71.21642,71.21642,61.67524,112.6031,106.8246,0,0.1413736,0.0365753,0.1407194,0.1221693,0.1092386,0.1036329,0,0.1448431,0.04008533,0.1021862,0.1039774,0.1105735,0.1078896,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.1089294,0.103862
0,21.26582,6.391871,7.692255,7.783291,5.692367,5.567245,0,236.1982,71.21642,50.35762,50.35762,87.22195,87.22195,0,0.1190965,0.0365753,0.09950362,0.09975083,0.08461587,0.08461587,0,0.1219751,0.04228184,0.09760672,0.09364929,0.08496793,0.08128231,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.08715503,0.08602728
0,13.21722,4.747762,5.814797,5.692367,3.936636,3.936636,0,198.2582,71.21642,50.35762,50.35762,61.67524,50.35762,0,0.09996624,0.0365753,0.09950362,0.09975083,0.05983246,0.048853,0,0.09919619,0.05162851,0.07091527,0.0689915,0.06398992,0.05970724,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.06884594,0.06669718
0,6.608606,4.747762,4.111682,4.111682,3.560822,3.560822,0,155.2126,155.2126,0,0,35.60821,35.60821,0,0.0782617,0.07971403,0,0,0.03454429,0.03454429,0,0.07814189,0.06188852,0.03316788,0.04108744,0.05049696,0.04805708,0.3475437,0.3475437,0.3475437,0.4083007,0.4515449,0.6745199,1,0,0,0,0,0,0,0,0,0.03491259,0.05043586
