vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,pEndEff#Bone_Hand_L,pEndEff#Bone_Hand_R,pEndEff#Bone_Foot_L,pEndEff#Bone_Foot_R,wEndEff#Bone_Hand_L,wEndEff#Bone_Hand_R,wEndEff#Bone_Foot_L,wEndEff#Bone_Foot_R,p0,p
0,9.715529,18.95394,9.495527,9.495527,7.121644,7.121644,0,118.0991,174.4439,71.21642,79.62239,35.60821,35.60821,0,0.04697822,0.06292979,0.09877275,0.1105662,0.06835852,0.06851879,0,0.04673531,0.06215894,0.09730241,0.1077971,0.06076312,0.06090559,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.07526985,0.07064384
0,9.715529,18.95394,9.495527,9.495527,7.121644,7.121644,0,118.0991,174.4439,71.21642,79.62239,35.60821,35.60821,0,0.04697822,0.06292979,0.09877275,0.1105662,0.06835852,0.06851879,0,0.04599408,0.05934013,0.09261765,0.1005127,0.04557234,0.04567919,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.07526985,0.06076222
0,8.802588,13.27041,6.920994,6.818455,6.391871,6.391871,0,112.6031,155.2126,61.67524,61.67524,0,0,0,0.04479198,0.05599219,0.08553971,0.08564422,0,0,0,0.04475453,0.05381095,0.08471845,0.08871289,0.02278617,0.0228396,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.03363574,0.04555372
0,9.642754,8.559152,4.597001,4.747762,5.934703,5.814797,0,106.8246,123.3505,50.35762,50.35762,0,0,0,0.0424934,0.04449807,0.06984288,0.06992821,0,0,0,0.04350251,0.04602274,0.0765455,0.07793599,0.007595391,0.007613199,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.02796943,0.03415302
0,11.86941,5.173754,2.907398,2.65408,5.30816,5.30816,0,106.8246,106.8246,50.35762,50.35762,0,0,0,0.0424934,0.03853647,0.06984288,0.06992821,0,0,0,0.0427488,0.03781039,0.06382666,0.06390464,0.007595391,0,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.02732786,0.02726077
0,14.68165,3.936636,1.678587,1.678587,4.747762,4.747762,0,106.8246,79.62239,50.35762,50.35762,0,0,0,0.0424934,0.02872339,0.06984288,0.06992821,0,0,0,0.0424934,0.03152268,0.04656192,0.05211289,0.02278617,0,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.02627181,0.02589792
0,17.76452,5.30816,2.373881,2.65408,3.936636,3.936636,0,106.8246,61.67524,0,0,35.60821,0,0,0.0424934,0.02224904,0,0,0.06835852,0,0,0.0427488,0.03235106,0.03104128,0.03979164,0.04871846,0.01076669,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.02124508,0.03107976
0,20.99915,6.920994,3.753435,3.560822,2.907398,2.907398,0,106.8246,87.22195,0,35.60821,35.60821,0,0,0.0424934,0.03146489,0,0.04944671,0.06835852,0,0,0.04373461,0.03832556,0.03104128,0.04301,0.07261557,0.03230007,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.02915055,0.04393788
0,24.38294,7.412442,4.893881,5.035762,1.678587,1.678587,0,112.6031,181.567,50.35762,35.60821,50.35762,50.35762,0,0.04479198,0.0654994,0.06984288,0.04944671,0.09667355,0.09690021,0,0.04588767,0.04508579,0.04656192,0.05252602,0.09651268,0.06905985,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.07781003,0.06456386
0,27.91211,10.21045,6.391871,6.501142,1.678587,2.055841,0,123.3505,128.3873,50.35762,50.35762,61.67524,50.35762,0,0.04906715,0.04631508,0.06984288,0.06992821,0.1184004,0.09690021,0,0.04910376,0.04250056,0.06529699,0.06833972,0.1120824,0.09951264,0.3475436,0.3475436,0.3475436,0.4083006,0.4515448,0.6745197,1,0,0,0,0,0,0,0,0,0.08360728,0.08189319
