vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,vBones#Bone_Eye_L,vBones#Bone_Eye_R,vBones#Bone_Shoulder_L,vBones#Bone_UpperArm_L,vBones#Bone_Forearm_L,vBones#Bone_Hand_L,vBones#Bone_Fingers_L,vBones#Bone_Thumb_L,vBones#Bone_Shoulder_R,vBones#Bone_UpperArm_R,vBones#Bone_Forearm_R,vBones#Bone_Hand_R,vBones#Bone_Fingers_R,vBones#Bone_Thumb_R,vBones#Bone_UpperLeg_L,vBones#Bone_LowerLeg_L,vBones#Bone_Foot_L,vBones#Bone_Toes_L,vBones#Bone_UpperLeg_R,vBones#Bone_LowerLeg_R,vBones#Bone_Foot_R,vBones#Bone_Toes_R,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,aBones#Bone_Eye_L,aBones#Bone_Eye_R,aBones#Bone_Shoulder_L,aBones#Bone_UpperArm_L,aBones#Bone_Forearm_L,aBones#Bone_Hand_L,aBones#Bone_Fingers_L,aBones#Bone_Thumb_L,aBones#Bone_Shoulder_R,aBones#Bone_UpperArm_R,aBones#Bone_Forearm_R,aBones#Bone_Hand_R,aBones#Bone_Fingers_R,aBones#Bone_Thumb_R,aBones#Bone_UpperLeg_L,aBones#Bone_LowerLeg_L,aBones#Bone_Foot_L,aBones#Bone_Toes_L,aBones#Bone_UpperLeg_R,aBones#Bone_LowerLeg_R,aBones#Bone_Foot_R,aBones#Bone_Toes_R,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,p0Bones#Bone_Eye_L,p0Bones#Bone_Eye_R,p0Bones#Bone_Shoulder_L,p0Bones#Bone_UpperArm_L,p0Bones#Bone_Forearm_L,p0Bones#Bone_Hand_L,p0Bones#Bone_Fingers_L,p0Bones#Bone_Thumb_L,p0Bones#Bone_Shoulder_R,p0Bones#Bone_UpperArm_R,p0Bones#Bone_Forearm_R,p0Bones#Bone_Hand_R,p0Bones#Bone_Fingers_R,p0Bones#Bone_Thumb_R,p0Bones#Bone_UpperLeg_L,p0Bones#Bone_LowerLeg_L,p0Bones#Bone_Foot_L,p0Bones#Bone_Toes_L,p0Bones#Bone_UpperLeg_R,p0Bones#Bone_LowerLeg_R,p0Bones#Bone_Foot_R,p0Bones#Bone_Toes_R,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,pBones#Bone_Eye_L,pBones#Bone_Eye_R,pBones#Bone_Shoulder_L,pBones#Bone_UpperArm_L,pBones#Bone_Forearm_L,pBones#Bone_Hand_L,pBones#Bone_Fingers_L,pBones#Bone_Thumb_L,pBones#Bone_Shoulder_R,pBones#Bone_UpperArm_R,pBones#Bone_Forearm_R,pBones#Bone_Hand_R,pBones#Bone_Fingers_R,pBones#Bone_Thumb_R,pBones#Bone_UpperLeg_L,pBones#Bone_LowerLeg_L,pBones#Bone_Foot_L,pBones#Bone_Toes_L,pBones#Bone_UpperLeg_R,pBones#Bone_LowerLeg_R,pBones#Bone_Foot_R,pBones#Bone_Toes_R,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,wBones#Bone_Eye_L,wBones#Bone_Eye_R,wBones#Bone_Shoulder_L,wBones#Bone_UpperArm_L,wBones#Bone_Forearm_L,wBones#Bone_Hand_L,wBones#Bone_Fingers_L,wBones#Bone_Thumb_L,wBones#Bone_Shoulder_R,wBones#Bone_UpperArm_R,wBones#Bone_Forearm_R,wBones#Bone_Hand_R,wBones#Bone_Fingers_R,wBones#Bone_Thumb_R,wBones#Bone_UpperLeg_L,wBones#Bone_LowerLeg_L,wBones#Bone_Foot_L,wBones#Bone_Toes_L,wBones#Bone_UpperLeg_R,wBones#Bone_LowerLeg_R,wBones#Bone_Foot_R,wBones#Bone_Toes_R,p0,p
0,43.51424,8.308585,10.07153,10.07153,28.03801,28.03801,0,0,21.36496,69.97031,29.12249,79.45589,0,0,12.78375,58.79921,0,52.38749,0,0,20.28248,4.893881,33.96821,5.814797,17.20042,6.501142,29.5785,0,1.104793,50.35762,163.1774,100.7152,100.7152,195.0343,195.0343,0,0,204.5536,874.4,118.0991,821.3101,0,0,146.8164,523.3323,275.8201,892.3421,0,0,50.35762,0,50.35762,0,35.60821,50.35762,61.67524,0,0.07347389,0.01252369,0.04374649,0.05076652,0.05075835,0.4548586,0.4548586,0,0,0.2103226,0.04229517,0.01138319,0.0479386,0,0,0.0784667,0.02533065,0.04357522,0.02689416,0,0,0.01247826,0,0.006730966,0,0.01107856,0.01350846,0.009650048,0,0.07264754,0.01252369,0.0416921,0.05001081,0.05000276,0.4485712,0.4475985,0,0,0.2072937,0.04347569,0.01132433,0.04946659,0,0,0.07572903,0.02819706,0.04204104,0.02504966,0,0,0.01278986,0,0.006511916,0.0006648505,0.01107856,0.01200752,0.009650049,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.06107132,0.06028877
0,43.51424,8.308585,10.07153,10.07153,28.03801,28.03801,0,0,21.36496,69.97031,29.12249,79.45589,0,0,12.78375,58.79921,0,52.38749,0,0,20.28248,4.893881,33.96821,5.814797,17.20042,6.501142,29.5785,0,1.104793,50.35762,163.1774,100.7152,100.7152,195.0343,195.0343,0,0,204.5536,874.4,118.0991,821.3101,0,0,146.8164,523.3323,275.8201,892.3421,0,0,50.35762,0,50.35762,0,35.60821,50.35762,61.67524,0,0.07347389,0.01252369,0.04374649,0.05076652,0.05075835,0.4548586,0.4548586,0,0,0.2103226,0.04229517,0.01138319,0.0479386,0,0,0.0784667,0.02533065,0.04357522,0.02689416,0,0,0.01247826,0,0.006730966,0,0.01107856,0.01350846,0.009650048,0,0.07038455,0.01310008,0.03661418,0.0470686,0.0475953,0.4308919,0.4278436,0,0,0.1976686,0.04429134,0.01114473,0.0500558,0,0,0.07396294,0.03145915,0.0374331,0.02456076,0,0,0.01310147,0,0.006292865,0.001329701,0.009847613,0.009005642,0.009650049,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.06107132,0.05783519
0,42.1659,10.07153,7.783291,7.692255,21.62712,21.62712,0,0,14.48847,44.25266,25.17887,55.25392,0,0,12.78375,46.10806,8.64106,70.88058,0,0,19.06511,4.597001,33.55089,4.747762,16.31775,5.035762,28.16335,0,0.9929632,50.35762,94.21048,87.22195,87.22195,170.771,167.0173,0,0,178.0411,1094.053,112.6031,1056.915,0,0,100.7152,1056.315,188.421,341.5421,0,0,61.67524,0,35.60821,35.60821,35.60821,0,61.67524,0,0.06603669,0.01252369,0.02525704,0.0439651,0.04395802,0.3982719,0.3895176,0,0,0.1830623,0.05291987,0.01085345,0.06169049,0,0,0.05382771,0.05112839,0.02976754,0.01029369,0,0,0.01528268,0,0.004759511,0.005983654,0.01107856,0,0.009650048,0,0.0663563,0.01469513,0.02904732,0.04130602,0.04236794,0.394637,0.3908181,0,0,0.1781665,0.04226299,0.01084438,0.04737108,0,0,0.07916027,0.04118437,0.02798346,0.02788059,0,0,0.01372467,0,0.006241898,0.001994551,0.008616662,0.004502821,0.009815922,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.05402841,0.05331995
0,40.32128,11.56887,6.391871,6.501142,16.01272,16.05665,0,0,8.559152,17.76452,21.39791,26.80496,0,0,10.94306,40.68651,14.96676,61.229,0,0,17.64516,4.279575,32.63559,3.560822,15.15385,3.560822,26.56739,0,0.9103748,71.21642,61.67524,61.67524,71.21642,151.0729,146.8164,0,0,146.8164,806.5104,106.8246,676.5573,0,0,163.1774,596.9033,100.7152,1297.145,0,0,50.35762,0,50.35762,0,0,0,61.67524,0,0.06054418,0.01771117,0.01653462,0.03108802,0.03589157,0.3523319,0.3424051,0,0,0.1509571,0.03901131,0.01029649,0.0394896,0,0,0.08721087,0.02889167,0.01591142,0.03909445,0,0,0.01247826,0,0.006730966,0,0,0,0.009650048,0,0.06220953,0.0176817,0.02535198,0.03340844,0.03500592,0.3480989,0.3438718,0,0,0.1513178,0.03643316,0.01047557,0.03874783,0,0,0.08930404,0.04421894,0.02334592,0.03260663,0,0,0.01403627,0,0.007063658,0.001329701,0.007895587,0.00150094,0.01014767,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.04603196,0.04760559
0,38.00083,11.3227,6.167525,6.167525,11.13449,11.19758,0,0,3.560822,25.84158,17.72482,15.20027,0,0,6.167525,25.20683,18.31125,19.96746,0,0,15.92449,4.111682,31.17848,2.373881,13.79101,2.373881,24.7841,0,0.8659031,87.22195,79.62239,50.35762,50.35762,123.3505,128.3873,0,0,118.0991,345.2346,106.8246,316.4929,0,0,264.0777,1725.09,0,2029.701,0,0,61.67524,0,61.67524,0,35.60821,0,71.21642,0,0.0575866,0.02169167,0.0213461,0.02538326,0.02537918,0.2876778,0.2994246,0,0,0.1214298,0.01669917,0.01029649,0.0184732,0,0,0.1411375,0.08349886,0,0.06117285,0,0,0.01528268,0,0.008243716,0,0.01107856,0,0.01114291,0,0.05948303,0.02294435,0.02468018,0.02623744,0.02730178,0.2944374,0.2939774,0,0,0.1213383,0.02979567,0.009083457,0.03041361,0,0,0.09177656,0.05613094,0.02806754,0.03793634,0,0,0.01515361,0,0.008633302,0.0006648505,0.01086737,0,0.01079143,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.04251647,0.04287231
0,35.17046,8.882252,6.501142,6.501142,7.219878,7.121644,0,0,0,26.08576,14.2433,7.962241,0,0,3.936636,48.93922,18.69198,53.10865,0,0,13.99383,3.753435,29.14667,1.678587,12.22031,0,22.76951,0,0.8650931,100.7152,155.2126,35.60821,35.60821,106.8246,100.7152,0,0,87.22195,606.3869,100.7152,376.8421,0,0,137.91,345.2346,375.156,210.6611,0,0,61.67524,0,79.62239,0,50.35762,0,71.21642,0,0.05753274,0.02504738,0.04161121,0.01794868,0.01794579,0.2491363,0.2348879,0,0,0.08968186,0.02933124,0.009707619,0.02199569,0,0,0.07370663,0.01671026,0.05926872,0.006349082,0,0,0.01528268,0,0.01064259,0,0.01566746,0,0.01114291,0,0.05943582,0.03051554,0.02823358,0.01906644,0.01959765,0.2404368,0.2440661,0,0,0.09181156,0.02504435,0.007873974,0.02578797,0,0,0.07459414,0.0551747,0.03916192,0.03545176,0,0,0.01666271,0,0.01176307,0,0.0156234,0,0.01141545,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.03619332,0.03844067
0,31.89327,4.597001,7.022036,7.022036,4.279575,4.279575,0,0,3.560822,25.15087,10.87849,14.29267,0,0,7.873274,44.7434,6.052233,53.04229,0,0,11.80991,3.357175,26.48773,0,10.34751,0,20.52415,0,0.9081616,174.4439,61.67524,35.60821,35.60821,79.62239,87.22195,0,0,61.67524,588.3451,0,576.37,0,0,50.35762,2321.147,458.7801,1882.216,0,0,79.62239,0,100.7152,0,71.21642,0,79.62239,0,0.06039699,0.04338335,0.01653462,0.01794868,0.01794579,0.1856952,0.2034189,0,0,0.06341465,0.02845855,0,0.03364182,0,0,0.02691385,0.1123496,0.07248001,0.05672782,0,0,0.01972986,0,0.01346193,0,0.02215713,0,0.01245816,0,0.06207257,0.03842121,0.02718356,0.01279185,0.01278979,0.1883742,0.1944645,0,0,0.06269582,0.02111245,0.006565908,0.02359077,0,0,0.04912789,0.06598467,0.04523468,0.03417978,0,0,0.01924668,0,0.01600107,0,0.0202608,0,0.01227336,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.03982236,0.03471968
0,26.11275,5.814797,7.316793,7.316793,2.65408,2.907398,0,0,5.692367,35.02998,11.6296,32.22287,0,0,6.052233,38.60771,9.039472,17.48475,0,0,9.270305,3.140349,23.22893,0,7.962241,0,18.03995,0,0.9895966,207.6298,137.91,0,0,50.35762,61.67524,0,0,35.60821,167.0173,112.6031,383.5124,0,0,50.35762,534.1238,87.22195,833.5692,0,0,87.22195,0,178.0411,0,87.22195,0,79.62239,0,0.0658128,0.05163651,0.03697253,0,0,0.117444,0.1438389,0,0,0.03661246,0.008078713,0.01085345,0.02238503,0,0,0.02691385,0.02585298,0.01377969,0.02512282,0,0,0.02161298,0,0.02379756,0,0.02713683,0,0.01245816,0,0.06687166,0.04176559,0.02429636,0.005982892,0.005981928,0.1341941,0.1377037,0,0,0.03626095,0.01668571,0.006941208,0.01870532,0,0,0.02737087,0.05620313,0.03954588,0.02736985,0,0,0.02053079,0,0.01974937,0,0.02120534,0,0.01318595,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.02667646,0.02851597
0,19.10202,10.14123,7.412442,7.412442,3.140349,2.907398,0,0,6.818455,36.98628,15.56659,44.37982,0,0,4.441125,54.12036,12.16253,41.4583,0,0,6.391871,2.907398,17.44441,0,5.934703,1.678587,15.29267,0,1.100441,163.1774,61.67524,0,0,50.35762,35.60821,0,0,0,271.1841,79.62239,71.21642,0,0,35.60821,1821.968,275.8201,441.8866,0,0,100.7152,0,198.2582,0,61.67524,0,94.21048,0,0.07318447,0.04058141,0.01653462,0,0,0.117444,0.08304542,0,0,0,0.01311731,0.007674547,0.004156793,0,0,0.01903097,0.08818799,0.04357522,0.01331795,0,0,0.02495652,0,0.02649985,0,0.01918864,0,0.01474069,0,0.06819551,0.03801327,0.01837117,0.003988595,0.001993976,0.08587945,0.08224811,0,0,0.02093527,0.01286046,0.006048684,0.01146367,0,0,0.01531494,0.05932618,0.03598707,0.0230803,0,0,0.01871008,0,0.01987318,0,0.01735043,0,0.01364039,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.024754,0.02225904
0,13.53321,12.10447,7.022036,6.920994,3.753435,3.936636,0,0,6.920994,30.74622,18.31125,44.18893,0,0,2.907398,10.14123,2.907398,26.726,0,0,3.560822,2.65408,10.94306,0,4.893881,2.373881,12.33505,0,1.198576,112.6031,0,0,0,0,0,0,0,0,278.1091,50.35762,61.67524,0,0,0,216.5963,146.8164,813.5544,0,0,61.67524,0,118.0991,0,35.60821,0,100.7152,0,0.07971088,0.02800383,0,0,0,0,0,0,0,0,0.01345228,0.00485381,0.003599888,0,0,0,0.01048383,0.02319468,0.02451959,0,0,0.01528268,0,0.01578552,0,0.01107856,0,0.01575846,0,0.06317292,0.02802591,0.01848201,0.006808957,0.002819908,0.03914799,0.03443664,0,0,0.01557424,0.00998446,0.00452933,0.006508173,0,0,0.007219532,0.04820844,0.03808114,0.01756243,0,0,0.01304156,0,0.01529064,0,0.01271303,0,0.01205723,0,1.083471,1.083471,0.4281604,0.2345555,2.381794,0.482537,1.212464,0.2355198,0.2359144,0.06507702,0.7738473,0.8350289,0.6738139,0.2815986,0.2102149,0.06507743,0.773849,0.8482255,0.6609393,0.2805817,0.2079923,1.445778,1.432617,0.4378318,0.341068,1.446721,1.431686,0.4378318,0.3410681,0.01126833,0.01588195
