vRoot,vBones#srfBind_Cn_Pelvis,vBones#srfBind_Cn_SpineA,vBones#srfBind_Cn_SpineB,vBones#srfBind_Cn_SpineC,vBones#srfBind_Cn_Neck,vBones#srfBind_Cn_Head,vBones#srfBind_Cn_Nose,vBones#srfBind_Lf_Ear,vBones#srfBind_Rt_Ear,vBones#srfBind_Lf_ArmA,vBones#srfBind_Lf_ArmB,vBones#srfBind_Lf_ArmC,vBones#srfBind_Lf_ArmD,vBones#Hand_L,vBones#srfBind_Rt_ArmA,vBones#srfBind_Rt_ArmB,vBones#srfBind_Rt_ArmC,vBones#srfBind_Rt_ArmD,vBones#Hand_R,vBones#srfBind_Lf_LegA,vBones#srfBind_Lf_LegB,vBones#srfBind_Lf_LegC,vBones#srfBind_Lf_LegD,vBones#srfBind_Lf_FootA,vBones#srfBind_Lf_FootB,vBones#srfBind_Rt_LegA,vBones#srfBind_Rt_LegB,vBones#srfBind_Rt_LegC,vBones#srfBind_Rt_LegD,vBones#srfBind_Rt_FootA,vBones#srfBind_Lf_FootB 1,vBones#srfBind_Lf_FootB 2,vBones#srfBind_Lf_FootB 3,aRoot,aBones#srfBind_Cn_Pelvis,aBones#srfBind_Cn_SpineA,aBones#srfBind_Cn_SpineB,aBones#srfBind_Cn_SpineC,aBones#srfBind_Cn_Neck,aBones#srfBind_Cn_Head,aBones#srfBind_Cn_Nose,aBones#srfBind_Lf_Ear,aBones#srfBind_Rt_Ear,aBones#srfBind_Lf_ArmA,aBones#srfBind_Lf_ArmB,aBones#srfBind_Lf_ArmC,aBones#srfBind_Lf_ArmD,aBones#Hand_L,aBones#srfBind_Rt_ArmA,aBones#srfBind_Rt_ArmB,aBones#srfBind_Rt_ArmC,aBones#srfBind_Rt_ArmD,aBones#Hand_R,aBones#srfBind_Lf_LegA,aBones#srfBind_Lf_LegB,aBones#srfBind_Lf_LegC,aBones#srfBind_Lf_LegD,aBones#srfBind_Lf_FootA,aBones#srfBind_Lf_FootB,aBones#srfBind_Rt_LegA,aBones#srfBind_Rt_LegB,aBones#srfBind_Rt_LegC,aBones#srfBind_Rt_LegD,aBones#srfBind_Rt_FootA,aBones#srfBind_Lf_FootB 1,aBones#srfBind_Lf_FootB 2,aBones#srfBind_Lf_FootB 3,p0Root,p0Bones#srfBind_Cn_Pelvis,p0Bones#srfBind_Cn_SpineA,p0Bones#srfBind_Cn_SpineB,p0Bones#srfBind_Cn_SpineC,p0Bones#srfBind_Cn_Neck,p0Bones#srfBind_Cn_Head,p0Bones#srfBind_Cn_Nose,p0Bones#srfBind_Lf_Ear,p0Bones#srfBind_Rt_Ear,p0Bones#srfBind_Lf_ArmA,p0Bones#srfBind_Lf_ArmB,p0Bones#srfBind_Lf_ArmC,p0Bones#srfBind_Lf_ArmD,p0Bones#Hand_L,p0Bones#srfBind_Rt_ArmA,p0Bones#srfBind_Rt_ArmB,p0Bones#srfBind_Rt_ArmC,p0Bones#srfBind_Rt_ArmD,p0Bones#Hand_R,p0Bones#srfBind_Lf_LegA,p0Bones#srfBind_Lf_LegB,p0Bones#srfBind_Lf_LegC,p0Bones#srfBind_Lf_LegD,p0Bones#srfBind_Lf_FootA,p0Bones#srfBind_Lf_FootB,p0Bones#srfBind_Rt_LegA,p0Bones#srfBind_Rt_LegB,p0Bones#srfBind_Rt_LegC,p0Bones#srfBind_Rt_LegD,p0Bones#srfBind_Rt_FootA,p0Bones#srfBind_Lf_FootB 1,p0Bones#srfBind_Lf_FootB 2,p0Bones#srfBind_Lf_FootB 3,pRoot,pBones#srfBind_Cn_Pelvis,pBones#srfBind_Cn_SpineA,pBones#srfBind_Cn_SpineB,pBones#srfBind_Cn_SpineC,pBones#srfBind_Cn_Neck,pBones#srfBind_Cn_Head,pBones#srfBind_Cn_Nose,pBones#srfBind_Lf_Ear,pBones#srfBind_Rt_Ear,pBones#srfBind_Lf_ArmA,pBones#srfBind_Lf_ArmB,pBones#srfBind_Lf_ArmC,pBones#srfBind_Lf_ArmD,pBones#Hand_L,pBones#srfBind_Rt_ArmA,pBones#srfBind_Rt_ArmB,pBones#srfBind_Rt_ArmC,pBones#srfBind_Rt_ArmD,pBones#Hand_R,pBones#srfBind_Lf_LegA,pBones#srfBind_Lf_LegB,pBones#srfBind_Lf_LegC,pBones#srfBind_Lf_LegD,pBones#srfBind_Lf_FootA,pBones#srfBind_Lf_FootB,pBones#srfBind_Rt_LegA,pBones#srfBind_Rt_LegB,pBones#srfBind_Rt_LegC,pBones#srfBind_Rt_LegD,pBones#srfBind_Rt_FootA,pBones#srfBind_Lf_FootB 1,pBones#srfBind_Lf_FootB 2,pBones#srfBind_Lf_FootB 3,wRoot,wBones#srfBind_Cn_Pelvis,wBones#srfBind_Cn_SpineA,wBones#srfBind_Cn_SpineB,wBones#srfBind_Cn_SpineC,wBones#srfBind_Cn_Neck,wBones#srfBind_Cn_Head,wBones#srfBind_Cn_Nose,wBones#srfBind_Lf_Ear,wBones#srfBind_Rt_Ear,wBones#srfBind_Lf_ArmA,wBones#srfBind_Lf_ArmB,wBones#srfBind_Lf_ArmC,wBones#srfBind_Lf_ArmD,wBones#Hand_L,wBones#srfBind_Rt_ArmA,wBones#srfBind_Rt_ArmB,wBones#srfBind_Rt_ArmC,wBones#srfBind_Rt_ArmD,wBones#Hand_R,wBones#srfBind_Lf_LegA,wBones#srfBind_Lf_LegB,wBones#srfBind_Lf_LegC,wBones#srfBind_Lf_LegD,wBones#srfBind_Lf_FootA,wBones#srfBind_Lf_FootB,wBones#srfBind_Rt_LegA,wBones#srfBind_Rt_LegB,wBones#srfBind_Rt_LegC,wBones#srfBind_Rt_LegD,wBones#srfBind_Rt_FootA,wBones#srfBind_Lf_FootB 1,wBones#srfBind_Lf_FootB 2,wBones#srfBind_Lf_FootB 3,pEndEff#Hand_L,pEndEff#Hand_R,pEndEff#srfBind_Lf_FootA,pEndEff#srfBind_Rt_FootA,wEndEff#Hand_L,wEndEff#Hand_R,wEndEff#srfBind_Lf_FootA,wEndEff#srfBind_Rt_FootA,p0,p
0,324.9417,3.140349,6.052233,6.052233,31.9815,79.0648,0,0,0,0,179.5076,0,58.85909,26.11275,203.2496,0,0,68.66953,11.69001,61.20598,0,27.27389,0,52.42782,0,15.15385,0,32.06948,0,77.07053,0,0,0,7.499633,8374.397,0,0,0,528.1558,1825.444,0,0,0,0,4536.886,0,1225.261,471.0528,5099.834,0,0,1502.326,0,1659.911,0,334.0348,0,1594.055,0,213.6493,0,531.7447,0,1965.268,0,0,0,0.0003611814,1,0,0,0,0.2609375,0.7467229,0,0,0,0,0.6761283,0,0.2674103,0.04786033,1,0,0,0.5058832,0,0.2043343,0,0.07263292,0,0.1914275,0,0.0347292,0,0.1196864,0,0.2227681,0,0,0,0.0003551877,0.9214817,0,0,0,0.2565924,0.7143676,0,0,0,0,0.6245219,0,0.2561977,0.04624867,0.9222938,0,0,0.4858669,0.001366042,0.1853076,0,0.07100049,0,0.1736814,0,0.03381761,0,0.1169248,0,0.205627,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.2635929,0.2488096
0,324.9417,3.140349,6.052233,6.052233,31.9815,79.0648,0,0,0,0,179.5076,0,58.85909,26.11275,203.2496,0,0,68.66953,11.69001,61.20598,0,27.27389,0,52.42782,0,15.15385,0,32.06948,0,77.07053,0,0,0,7.499633,8374.397,0,0,0,528.1558,1825.444,0,0,0,0,4536.886,0,1225.261,471.0528,5099.834,0,0,1502.326,0,1659.911,0,334.0348,0,1594.055,0,213.6493,0,531.7447,0,1965.268,0,0,0,0.0003611814,1,0,0,0,0.2609375,0.7467229,0,0,0,0,0.6761283,0,0.2674103,0.04786033,1,0,0,0.5058832,0,0.2043343,0,0.07263292,0,0.1914275,0,0.0347292,0,0.1196864,0,0.2227681,0,0,0,0.0003372116,0.7460495,0,0,0,0.2252089,0.614052,0,0,0,0,0.504461,0,0.2164941,0.03972118,0.7441138,0,0,0.4155994,0.004663959,0.1473809,0,0.06600978,0,0.1399135,0,0.03108098,0,0.1008648,0,0.1650793,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.2635929,0.2089566
0,45.92435,2.907398,5.173754,5.173754,14.58538,20.42093,0,0,0,0,28.48665,0,17.96169,10.34751,33.55089,0,0,18.57858,10.27921,6.052233,0,16.14415,0,7.022036,0,8.223367,0,14.29267,0,11.56887,0,0,0,6.379559,2456.509,0,0,0,449.0029,1113.581,0,0,0,0,1420.328,0,762.8823,328.2917,1533.236,0,0,967.3419,50.35762,268.8362,0,266.4675,0,264.0777,0,163.1774,0,421.3224,0,604.2923,0,0,0,0.0003072387,0.2933356,0,0,0,0.2218316,0.4555255,0,0,0,0,0.2116703,0,0.1664972,0.03335538,0.3006443,0,0,0.3257363,0.01229438,0.03309362,0,0.05794102,0,0.03171265,0,0.02652487,0,0.09483227,0,0.06849808,0,0,0,0.0003012466,0.4627104,0,0,0,0.1648325,0.4454229,0,0,0,0,0.3102959,0,0.1504224,0.02787588,0.4559198,0,0,0.2977569,0.01032793,0.08675045,0,0.05605061,0,0.08569887,0,0.0255995,0,0.07239676,0,0.1006765,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.1305429,0.1429115
0,36.17752,2.373881,4.279575,4.279575,1.678587,20.42093,0,0,0,0,19.50345,0,7.316793,0,17.84365,0,0,13.68847,8.559152,2.907398,0,7.219878,0,7.962241,0,3.936636,0,0,0,8.559152,0,0,0,5.260376,1070.03,0,0,0,35.60821,330.2171,0,0,0,0,402.8612,0,50.35762,35.60821,488.2357,0,0,159.2448,71.21642,278.1091,0,195.0343,0,393.3058,0,112.6031,0,0,0,106.8246,0,0,0,0.000253339,0.127774,0,0,0,0.01759238,0.1350798,0,0,0,0,0.06003807,0,0.01099043,0.003617897,0.09573559,0,0,0.05362304,0.01738687,0.03423511,0,0.04240848,0,0.04723145,0,0.0183039,0,0,0,0.01210885,0,0,0,0.0002532985,0.2259649,0,0,0,0.0841531,0.2608239,0,0,0,0,0.1452397,0,0.07706369,0.01573384,0.2131243,0,0,0.1637377,0.01581545,0.0432257,0,0.04250262,0,0.04637861,0,0.01808239,0,0.03615339,0,0.04625247,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.03796617,0.07778639
0,0,1.678587,3.560822,3.560822,2.373881,13.58516,0,0,0,0,6.608606,0,5.567245,0,2.055841,0,0,8.308585,6.052233,6.818455,0,0,0,5.173754,0,3.753435,0,0,0,5.692367,0,0,0,4.137912,241.5067,0,0,0,0,322.4462,0,0,0,0,61.67524,0,137.91,0,50.35762,0,0,230.7677,87.22195,0,0,128.3873,0,61.67524,0,61.67524,0,35.60821,0,71.21642,0,0,0,0.0001992813,0.0288387,0,0,0,0,0.131901,0,0,0,0,0.009191409,0,0.03009854,0,0.009874363,0,0,0.07770718,0.02129448,0,0,0.02791668,0,0.007406478,0,0.01002546,0,0.008014783,0,0.008072564,0,0,0,0.000199348,0.07275455,0,0,0,0.02855738,0.1327953,0,0,0,0,0.04280091,0,0.03097486,0.009376826,0.06016526,0,0,0.07401155,0.02064287,0.01608555,0,0.02760085,0,0.01830732,0,0.01035656,0,0.01320851,0,0.01478651,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.02786344,0.03422888
0,7.600129,1.678587,2.907398,2.907398,2.055841,7.962241,0,0,0,0,5.035762,0,0,0,0,0,0,0,3.140349,6.2807,0,3.560822,0,7.506873,0,5.035762,0,0,0,8.476453,0,0,0,3.020105,50.35762,0,0,0,0,50.35762,0,0,0,0,61.67524,0,0,159.2448,50.35762,0,0,0,94.21048,128.3873,0,50.35762,0,50.35762,0,0,0,0,0,35.60821,0,0,0,0.0001454479,0.006013283,0,0,0,0,0.02059947,0,0,0,0,0.009191409,0,0,0.01617973,0.009874363,0,0,0,0.02300067,0.01580442,0,0.01094982,0,0.006047364,0,0,0,0,0,0.004036282,0,0,0,0.0001454243,0.0263061,0,0,0,0.001954709,0.06489841,0,0,0,0,0.01427882,0,0.007909723,0.01088003,0.01612305,0,0,0.02322638,0.02310423,0.01340526,0,0.01648939,0,0.01187565,0,0.005836993,0,0.001781063,0,0.007175613,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.005773454,0.0152352
0,8.722198,1.18694,2.373881,2.373881,1.678587,6.71435,0,0,0,0,4.279575,0,0,4.747762,2.373881,0,0,0,0,2.055841,0,5.439245,0,5.692367,0,5.439245,0,1.18694,0,10.00134,0,0,0,1.899412,61.67524,0,0,0,0,79.62239,0,0,0,0,50.35762,0,0,112.6031,0,0,0,0,118.0991,94.21048,0,0,0,35.60821,0,0,0,0,0,71.21642,0,0,0,9.147543E-05,0.007364737,0,0,0,0,0.03257063,0,0,0,0,0.007504754,0,0,0.0114408,0,0,0,0,0.02883287,0.01159727,0,0,0,0.004276132,0,0,0,0,0,0.008072564,0,0,0,9.520324E-05,0.01178235,0,0,0,0,0.05204892,0,0,0,0,0.007233111,0,0.003344282,0.01415134,0.003291455,0,0,0.008634131,0.02437601,0.01186402,0,0.01260147,0,0.008446697,0,0.008176664,0,0.0008905315,0,0.008429476,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.006447427,0.01144945
0,8.050224,0,1.678587,1.678587,1.678587,4.111682,0,0,0,0,4.279575,0,0,8.64106,3.140349,0,0,0,3.936636,1.18694,0,5.035762,0,4.111682,0,4.597001,0,1.678587,0,10.74821,0,0,0,0.7811928,155.2126,0,0,0,0,142.4329,0,0,0,0,50.35762,0,0,225.2062,0,0,0,0,87.22195,128.3873,0,79.62239,0,151.0729,0,87.22195,0,0,0,71.21642,0,0,0,3.762215E-05,0.01853418,0,0,0,0,0.05826411,0,0,0,0,0.007504754,0,0,0.0228816,0,0,0,0,0.02129448,0.01580442,0,0.01731319,0,0.01814209,0,0.01417813,0,0,0,0.008072564,0,0,0,6.065387E-05,0.01269289,0,0,0,0,0.05302606,0,0,0,0,0.005780205,0,0,0.01568422,0.001097152,0,0,0,0.02117236,0.01512851,0,0.0134256,0,0.01343014,0,0.01383637,0,0,0,0.01243762,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.01320856,0.01208779
0,12.5052,1.18694,1.18694,1.18694,1.678587,3.357175,0,0,0,0,4.893881,0,0,1.18694,3.936636,0,0,0,6.920994,3.753435,0,2.373881,0,8.64106,0,2.907398,0,1.18694,0,12.16253,0,0,0,0.3526065,50.35762,0,0,0,0,198.2582,0,0,0,0,0,0,0,146.8164,0,0,0,0,94.21048,71.21642,0,133.2337,0,61.67524,0,216.5963,0,0,0,170.771,0,0,0,1.698148E-05,0.006013283,0,0,0,0,0.08110022,0,0,0,0,0,0,0,0.01491698,0,0,0,0,0.02300067,0.008766711,0,0.02897051,0,0.007406478,0,0.03520825,0,0,0,0.01935733,0,0,0,5.372495E-05,0.01445676,0,0,0,0,0.06427532,0,0,0,0,0.003680843,0,0,0.0127008,0,0,0,0,0.0172757,0.01694724,0,0.01499429,0,0.02205732,0,0.02054367,0,0,0,0.02414039,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.01787531,0.01537736
0,11.75012,0,1.18694,1.18694,2.055841,8.961206,0,0,0,0,5.692367,0,0,3.753435,4.111682,0,0,0,3.357175,3.140349,0,2.055841,0,6.2807,0,5.567245,0,0,0,14.29267,0,0,0,1.467126,216.5963,0,0,0,0,133.2337,0,0,0,0,35.60821,0,0,35.60821,0,0,0,0,0,261.6659,0,0,0,308.3763,0,71.21642,0,0,0,254.2936,0,0,0,7.065661E-05,0.02586411,0,0,0,0,0.05450109,0,0,0,0,0.005306662,0,0,0.003617897,0,0,0,0,0,0.03221096,0,0,0,0.03703241,0,0.0115764,0,0,0,0.02882483,0,0,0,7.285387E-05,0.0182665,0,0,0,0,0.06464648,0,0,0,0,0.002602749,0,0,0.009808199,0,0,0,0,0.0152499,0.02132897,0,0.01134174,0,0.04117284,0,0.02444995,0,0.001259402,0,0.04038024,0,0,0,0.6482942,0.6482942,0.3908437,0.2462142,2.20727,0.4407654,2.198303,0,0,0,0.06246772,0.7009112,0.01259374,0.7825191,0,0.05933357,0.7005652,0.0126137,0.784183,0,1.293153,0.05930657,1.176858,0.1060746,0.4099538,0,1.307064,0.05850688,1.167702,0.1071833,1.238692,0,0,0,0,0,0,0,0,0,0,0,0.01474549,0.01766273
