vRoot,vBones#Bone_Hips,vBones#Bone_SpineA,vBones#Bone_SpineB,vBones#Bone_SpineC,vBones#Bone_Neck,vBones#Bone_Head,aRoot,aBones#Bone_Hips,aBones#Bone_SpineA,aBones#Bone_SpineB,aBones#Bone_SpineC,aBones#Bone_Neck,aBones#Bone_Head,p0Root,p0Bones#Bone_Hips,p0Bones#Bone_SpineA,p0Bones#Bone_SpineB,p0Bones#Bone_SpineC,p0Bones#Bone_Neck,p0Bones#Bone_Head,pRoot,pBones#Bone_Hips,pBones#Bone_SpineA,pBones#Bone_SpineB,pBones#Bone_SpineC,pBones#Bone_Neck,pBones#Bone_Head,wRoot,wBones#Bone_Hips,wBones#Bone_SpineA,wBones#Bone_SpineB,wBones#Bone_SpineC,wBones#Bone_Neck,wBones#Bone_Head,pEndEff#Bone_Hand_L,pEndEff#Bone_Hand_R,pEndEff#Bone_Foot_L,pEndEff#Bone_Foot_R,wEndEff#Bone_Hand_L,wEndEff#Bone_Hand_R,wEndEff#Bone_Foot_L,wEndEff#Bone_Foot_R,p0,p
0,8.559152,10.00134,2.65408,2.65408,19.32202,19.35844,0,151.0729,178.0411,50.35762,61.67524,100.7152,106.8246,0,0.1191915,0.1146163,0.08528017,0.1044465,0.06225664,0.06603314,0,0.1191915,0.1092622,0.07608652,0.08846573,0.07100057,0.07171303,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.08399786,0.08359442
0,8.559152,10.00134,2.65408,2.65408,19.32202,19.35844,0,151.0729,178.0411,50.35762,61.67524,100.7152,106.8246,0,0.1191915,0.1146163,0.08528017,0.1044465,0.06225664,0.06603314,0,0.1188984,0.1069002,0.06706493,0.08359044,0.07668907,0.07702781,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.08399786,0.08431861
0,11.50782,4.893881,0,1.18694,17.76452,17.72482,0,151.0729,167.0173,50.35762,50.35762,112.6031,106.8246,0,0.1191915,0.1075197,0.08528017,0.08528017,0.06960505,0.06603314,0,0.1188219,0.1038242,0.05741532,0.0744081,0.08417115,0.08419744,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.08208913,0.08526281
0,15.43024,4.441125,1.678587,1.18694,17.60519,17.56513,0,151.0729,159.2448,50.35762,35.60821,133.2337,128.3873,0,0.1191915,0.102516,0.08528017,0.06030218,0.0823578,0.07936198,0,0.118752,0.1003229,0.04705171,0.0683542,0.09396403,0.09377777,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.08484907,0.08775336
0,19.75465,8.559152,2.65408,2.65408,19.24896,19.21233,0,151.0729,151.0729,0,35.60821,159.2448,159.2448,0,0.1191915,0.09725519,0,0.06030218,0.09843639,0.09843639,0,0.1191109,0.09639159,0.04116918,0.06287784,0.1006642,0.1005364,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.08276558,0.08939777
0,24.29612,13.27041,3.560822,3.753435,22.73855,22.70755,0,146.8164,142.4329,0,35.60821,191.7561,191.7561,0,0.1158333,0.09169307,0,0.06030218,0.1185331,0.1185331,0,0.12096,0.09102465,0.03674077,0.05828262,0.1061947,0.105967,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.09222605,0.0906171
0,28.90398,17.80413,4.597001,4.441125,27.96254,27.93734,0,151.0729,128.3873,0,0,225.2062,225.2062,0,0.1191915,0.08265103,0,0,0.1392101,0.1392101,0,0.1255041,0.08427771,0.03674077,0.05642309,0.1081932,0.1077544,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.0939042,0.09106583
0,33.59285,22.11029,5.173754,5.30816,34.76758,34.76758,0,151.0729,123.3505,0,35.60821,264.0777,264.0777,0,0.1191915,0.07940853,0,0.06030218,0.1632383,0.1632383,0,0.1284005,0.07709599,0.04330719,0.06077603,0.1060036,0.1055703,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.1144458,0.09083654
0,38.35142,26.16665,6.052233,6.052233,43.04222,43.02585,0,159.2448,118.0991,50.35762,35.60821,155.2126,159.2448,0,0.1256389,0.07602787,0.08528017,0.06030218,0.09594394,0.09843639,0,0.1292884,0.06972177,0.05587605,0.06986228,0.099217,0.09875213,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.09143642,0.0895445
0,43.18926,29.98062,6.818455,6.71435,48.33089,48.33089,0,185.0257,106.8246,50.35762,50.35762,106.8246,106.8246,0,0.1459792,0.06876981,0.08528017,0.08528017,0.06603314,0.06603314,0,0.1292836,0.06245244,0.07534486,0.08274696,0.08966726,0.08922224,0.3475436,0.3475436,0.3475437,0.4083006,0.4515448,0.6745196,1,0,0,0,0,0,0,0,0,0.08005574,0.08816358
