keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head,keyFrameIndexBone#Bone_Eye_L 1,keyFrameIndexBone#Bone_Eye_R 1,keyFrameIndexBone#Bone_Shoulder_L,keyFrameIndexBone#Bone_UpperArm_L,keyFrameIndexBone#Bone_Forearm_L,keyFrameIndexBone#Bone_Hand_L,keyFrameIndexBone#Bone_Shoulder_R,keyFrameIndexBone#Bone_UpperArm_R,keyFrameIndexBone#Bone_Forearm_R,keyFrameIndexBone#Bone_Hand_R,keyFrameIndexBone#Bone_UpperLeg_L,keyFrameIndexBone#Bone_LowerLeg_L,keyFrameIndexBone#Bone_Foot_L,keyFrameIndexBone#Bone_Toes_L,keyFrameIndexBone#Bone_UpperLeg_R,keyFrameIndexBone#Bone_LowerLeg_R,keyFrameIndexBone#Bone_Foot_R
10,10,9,12,12,12,10,10,8,7,9,7,12,14,13,7,12,14,9,11,9,10,9,13,10
34,34,34,37,34,34,34,34,31,28,34,27,30,27,34,34,32,36,34,34,34,34,34,34,34
43,47,49,45,45,45,43,43,45,47,47,46,45,44,47,45,48,45,48,41,42,43,39,40,48
63,63,59,57,60,60,64,64,61,61,59,59,65,56,58,64,68,59,59,58,57,61,63,62,61
74,73,74,72,71,71,74,74,77,77,74,71,69,71,71,74,76,71,74,78,74,74,74,70,70
83,82,82,79,80,80,84,84,83,84,82,81,83,82,82,79,85,79,80,84,82,81,85,87,85
93,98,89,90,91,91,93,93,94,96,93,91,96,99,93,97,93,97,91,96,100,99,94,93,93
118,123,115,121,123,123,118,118,112,111,118,114,111,120,115,119,124,112,112,117,111,113,112,119,119
130,135,132,128,132,132,129,129,126,126,130,132,127,134,130,128,134,136,131,130,129,132,127,132,128
143,143,141,142,144,144,143,143,146,145,143,137,142,147,140,147,142,146,138,138,140,146,144,143,138
151,149,151,150,152,152,150,151,151,150,148,154,151,147,148,147,148,151,151,151,151,151,149,149,149
159,160,157,159,159,159,159,159,162,157,159,159,159,158,159,164,156,158,162,157,158,156,160,156,159
169,173,169,165,166,166,169,169,169,169,172,174,173,173,168,171,170,171,169,167,167,169,169,169,165
179,179,176,179,181,181,180,180,185,184,181,174,180,185,180,179,176,179,178,178,177,175,179,179,179
192,188,189,187,195,195,192,192,190,190,192,195,191,192,194,192,192,186,189,188,186,192,188,196,194
201,201,202,201,203,203,201,201,204,203,201,204,204,204,202,199,199,199,198,198,198,199,204,205,201
217,220,217,220,218,218,217,217,212,210,213,217,221,214,219,220,220,220,219,216,216,212,221,221,221
226,226,224,226,226,226,227,226,224,223,224,223,226,223,225,226,225,225,223,223,225,226,225,228,230
235,231,235,235,234,234,234,234,235,234,238,236,236,236,236,237,231,238,231,235,235,235,235,234,236
245,242,243,244,248,248,246,246,244,244,245,245,243,247,245,245,242,245,244,247,245,249,243,243,241
254,251,256,254,258,259,254,254,252,251,253,258,258,258,250,250,254,250,254,255,252,257,253,257,253
267,263,268,264,264,264,267,267,263,264,274,264,265,264,273,270,266,270,266,266,274,269,273,268,273
293,292,292,297,299,298,293,293,289,289,300,293,290,299,292,295,293,295,287,291,292,293,291,292,297
307,304,305,310,310,310,307,307,305,300,307,313,313,313,308,303,303,303,306,309,307,305,304,306,311
319,315,319,320,319,319,319,319,324,323,315,313,313,313,320,315,315,315,314,316,321,322,322,319,319
331,332,335,335,333,333,331,331,330,331,328,325,325,325,331,332,332,332,333,329,331,331,332,333,330
339,339,335,342,339,339,338,338,341,337,342,342,342,338,338,340,338,337,341,341,340,342,341,342,343
353,359,354,354,359,359,353,353,357,357,348,350,349,356,354,350,351,358,359,353,353,352,354,355,353
374,374,379,369,378,378,374,374,374,376,368,367,367,367,375,374,380,374,370,369,369,374,378,379,378
388,391,393,384,387,388,387,388,394,395,385,386,386,394,392,391,386,390,383,388,392,388,395,384,392
408,408,411,408,403,403,409,408,412,409,406,411,411,411,403,413,412,408,408,407,405,407,413,408,413
422,416,417,421,429,429,422,422,418,418,427,423,423,423,420,423,423,422,420,427,419,416,416,424,429
440,437,439,435,438,438,440,440,441,443,436,443,443,443,433,440,440,444,439,444,433,435,438,437,437
458,460,457,455,458,458,458,458,462,462,458,451,455,451,455,460,458,460,460,460,460,454,457,460,463
473,474,478,473,473,473,473,473,474,473,474,477,477,477,474,476,476,476,475,476,470,467,472,474,478
483,484,478,484,486,486,483,483,486,487,484,488,488,488,484,486,486,486,481,481,484,490,483,488,483
499,496,499,504,499,499,499,499,503,497,496,499,495,495,497,492,492,502,504,494,495,499,493,501,496
510,510,508,510,507,507,510,510,508,507,510,508,508,508,508,510,506,510,512,512,510,513,508,510,507
518,518,525,523,519,520,518,518,515,515,523,515,519,515,524,517,524,524,522,518,516,518,521,517,525
533,526,534,533,526,534,533,533,533,532,532,533,533,533,531,529,529,529,535,526,534,536,534,538,530
545,545,545,545,545,545,545,545,542,551,545,540,540,540,545,546,545,550,548,545,548,545,540,545,550
557,558,551,554,556,556,557,557,551,551,559,559,555,556,555,558,558,559,553,557,553,557,555,554,554
