keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head
10,10,7,10,13,13,9,9
17,17,19,18,17,17,17,17
48,48,46,48,48,48,48,48
60,60,60,60,64,64,59,59
72,72,72,69,72,72,72,72
96,96,95,97,97,97,96,96
110,110,114,113,114,110,110,110
123,123,120,123,123,122,123,123
132,132,135,131,131,132,133,133
152,152,152,152,152,152,151,152
162,162,162,162,161,160,162,162
173,173,173,173,173,173,171,171
180,180,179,179,183,183,181,181
196,196,200,196,196,196,196,196
206,206,203,202,205,205,207,207
224,224,224,224,220,220,224,224
235,235,235,235,234,234,236,236
246,246,243,250,246,246,246,246
260,260,260,260,260,260,259,259
265,265,266,269,265,265,265,265
279,279,279,280,277,277,279,279
292,292,289,291,292,292,292,292
312,312,315,311,313,313,310,310
325,325,325,328,325,325,324,324
336,336,336,336,336,336,336,336
347,347,347,351,349,349,347,347
366,366,368,362,362,362,367,367
380,380,380,380,376,376,379,379
394,394,394,394,390,390,396,396
415,415,415,414,413,413,418,418
441,441,439,440,444,444,440,440
455,455,455,455,455,458,452,452
465,465,464,464,464,465,465,465
473,473,477,477,473,473,470,470
487,487,490,487,486,485,488,488
515,515,515,515,515,515,515,515
526,526,526,526,526,530,525,526
542,542,542,542,542,542,542,542
558,558,558,556,562,558,558,558
575,575,573,574,576,575,575,575
585,585,586,588,585,585,583,585
600,600,598,599,599,599,600,600
605,605,605,605,605,605,605,606
619,619,619,621,620,620,618,618
631,631,635,631,631,631,631,632
666,666,666,666,666,666,665,665
677,677,678,674,676,677,677,677
686,686,688,686,689,689,686,686
711,711,713,712,713,712,711,708
721,721,721,723,721,721,721,721
736,736,736,738,736,736,734,734
744,744,742,744,744,744,744,744
765,765,765,762,763,763,765,765
771,771,771,771,771,771,771,771
778,778,778,779,780,780,775,775
789,789,789,788,790,790,789,789
799,799,800,799,799,799,799,799
822,822,822,818,822,822,823,823
855,855,854,855,856,856,855,855
869,869,871,870,870,870,868,868
878,878,878,879,878,878,878,878
900,900,900,900,902,901,898,898
927,927,923,924,923,923,931,931
947,947,944,946,945,945,947,947
965,965,965,967,967,967,964,964
990,990,990,990,991,991,989,989
999,999,998,1002,997,997,998,998
1010,1010,1010,1010,1009,1009,1010,1010
1024,1024,1026,1022,1024,1024,1024,1020
1040,1040,1040,1040,1038,1038,1039,1041
1051,1051,1053,1055,1053,1053,1049,1051
1076,1076,1076,1079,1078,1079,1075,1075
1098,1098,1100,1098,1096,1096,1097,1097
1113,1113,1113,1116,1113,1113,1113,1113
1128,1128,1128,1128,1131,1128,1127,1127
1141,1141,1142,1144,1143,1143,1140,1140
1168,1168,1168,1169,1168,1168,1166,1166
1179,1179,1175,1177,1177,1177,1180,1180
1200,1200,1201,1202,1200,1196,1199,1199
1207,1207,1207,1211,1205,1206,1208,1207
1229,1229,1226,1225,1226,1226,1229,1229
1240,1240,1240,1244,1240,1240,1240,1240
1270,1270,1270,1270,1270,1270,1270,1270
1280,1280,1280,1279,1281,1281,1280,1280
1290,1290,1288,1293,1289,1289,1288,1290
1303,1303,1303,1303,1306,1305,1302,1302
1321,1321,1321,1321,1321,1321,1321,1321
1336,1336,1336,1335,1336,1336,1338,1338
1350,1350,1348,1346,1350,1349,1351,1351
