keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head,keyFrameIndexBone#Bone_Eye_L,keyFrameIndexBone#Bone_Eye_R,keyFrameIndexBone#Bone_Shoulder_L,keyFrameIndexBone#Bone_UpperArm_L,keyFrameIndexBone#Bone_Forearm_L,keyFrameIndexBone#Bone_Hand_L,keyFrameIndexBone#Bone_Fingers_L,keyFrameIndexBone#Bone_Thumb_L,keyFrameIndexBone#Bone_Shoulder_R,keyFrameIndexBone#Bone_UpperArm_R,keyFrameIndexBone#Bone_Forearm_R,keyFrameIndexBone#Bone_Hand_R,keyFrameIndexBone#Bone_Fingers_R,keyFrameIndexBone#Bone_Thumb_R,keyFrameIndexBone#Bone_UpperLeg_L,keyFrameIndexBone#Bone_LowerLeg_L,keyFrameIndexBone#Bone_Foot_L,keyFrameIndexBone#Bone_Toes_L,keyFrameIndexBone#Bone_UpperLeg_R,keyFrameIndexBone#Bone_LowerLeg_R,keyFrameIndexBone#Bone_Foot_R,keyFrameIndexBone#Bone_Toes_R
15,14,14,15,16,16,15,15,15,15,15,15,13,15,15,15,18,14,15,16,15,15,13,20,16,15,12,15,13,15
25,27,24,30,26,26,23,23,25,25,25,22,32,31,25,25,25,32,31,32,25,25,25,25,23,25,27,32,23,25
48,47,48,48,52,52,48,48,48,48,48,47,41,47,48,48,52,42,42,41,48,48,48,51,48,48,47,51,48,48
57,55,54,57,57,57,57,57,57,57,57,53,54,55,57,57,57,57,56,60,57,57,56,57,55,57,55,57,54,57
65,65,65,65,65,65,66,66,65,65,65,62,64,63,65,65,66,65,65,65,65,65,65,65,65,65,65,65,65,65
74,79,79,74,74,74,74,74,74,74,74,73,73,81,74,74,74,74,76,74,74,74,72,76,75,74,74,74,75,74
94,95,94,94,94,94,94,94,94,94,94,91,91,95,94,94,94,94,95,94,94,94,94,94,94,94,94,94,94,94
119,125,123,124,126,126,117,117,119,119,120,120,119,119,119,119,119,119,115,116,119,119,122,119,126,125,116,118,117,119
135,141,140,129,135,135,134,134,135,135,135,134,134,135,135,135,137,134,131,137,135,135,138,134,141,142,136,135,141,135
150,152,151,149,148,148,151,151,150,150,146,143,152,152,150,150,147,150,146,154,150,150,152,149,151,148,148,144,143,150
159,159,166,163,160,160,166,166,159,159,163,158,160,163,159,159,156,163,163,163,159,159,159,156,165,160,162,159,159,159
176,178,179,178,176,176,172,172,176,176,178,172,177,175,176,176,174,174,174,179,176,176,174,178,179,170,175,176,175,176
184,184,185,184,184,184,184,184,184,184,186,186,187,184,184,184,190,187,188,186,184,184,184,184,187,186,180,183,183,184
200,199,204,202,205,205,200,200,200,200,206,201,206,202,200,200,196,198,206,200,200,200,203,199,199,200,198,204,200,200
213,214,215,213,211,211,214,214,213,213,220,209,215,207,213,213,215,218,218,218,213,213,212,218,213,212,209,212,213,213
228,229,222,228,227,227,229,229,228,233,228,228,222,223,228,228,224,228,226,231,228,228,223,227,226,227,227,230,230,228
238,233,233,237,237,237,242,242,239,239,240,240,240,233,238,238,242,243,233,240,238,238,239,239,243,245,238,237,237,238
253,252,253,256,253,253,248,248,253,253,250,254,255,255,253,253,248,247,247,247,253,253,248,260,252,253,248,250,253,253
271,275,269,270,272,272,270,270,269,269,274,275,271,264,271,271,268,269,265,272,271,271,266,276,270,271,269,276,271,271
288,283,287,294,294,294,288,288,288,288,288,285,284,284,288,288,289,288,294,288,288,288,284,289,290,288,284,287,288,288
306,309,305,305,307,307,306,306,303,306,306,305,306,309,306,306,311,304,306,304,306,306,305,306,307,307,305,307,303,306
316,321,319,319,321,321,314,314,316,316,316,316,316,316,316,316,320,314,318,314,316,316,318,312,316,313,318,313,317,316
326,321,329,327,321,321,328,328,326,329,325,325,328,328,326,326,327,327,326,324,326,326,324,324,324,325,326,330,329,326
337,335,340,337,337,337,339,339,337,337,335,341,342,332,337,337,337,335,344,339,337,337,344,341,344,337,338,336,337,337
352,345,345,347,353,353,345,345,352,352,347,348,347,346,352,352,345,359,352,359,352,352,350,348,352,345,359,353,352,352
371,374,376,365,371,371,370,370,370,370,372,364,364,366,371,371,372,365,371,368,371,371,373,371,371,371,376,375,375,371
381,384,384,380,387,387,379,379,381,381,384,384,381,380,381,381,381,384,383,386,381,381,382,387,384,383,386,383,381,381
405,405,405,399,399,399,408,408,407,405,409,408,410,410,405,405,406,407,410,411,405,405,405,409,406,405,407,404,405,405
417,414,415,421,417,417,414,414,415,413,417,419,414,423,417,417,415,421,422,411,417,417,413,417,417,419,418,417,419,417
432,432,432,429,431,431,433,433,430,431,436,433,437,435,432,432,433,433,427,426,432,432,430,434,433,431,433,429,431,432
445,447,445,446,444,443,440,440,445,445,446,446,444,442,445,445,444,444,450,452,445,445,445,442,444,446,445,449,448,445
