keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head
15,15,13,15,16,16,15,15
24,24,25,26,26,27,23,23
48,48,48,48,52,48,48,48
57,57,56,56,57,53,58,58
123,123,124,127,127,127,123,123
134,134,134,138,135,135,134,134
151,151,151,148,148,148,152,152
156,156,156,156,160,160,156,156
166,166,169,162,162,166,166,166
173,173,177,172,175,175,172,172
184,184,185,185,184,184,183,183
212,212,213,213,210,210,214,214
228,228,232,228,228,228,229,229
240,240,242,237,238,238,244,244
270,270,271,269,272,272,270,270
288,288,288,288,288,288,288,288
306,306,305,307,305,305,307,307
314,314,318,314,314,314,314,314
324,324,324,327,323,323,326,326
337,337,338,339,337,337,337,337
368,368,367,365,371,368,369,369
379,379,382,379,378,378,379,379
397,397,397,399,397,397,397,397
409,409,405,409,409,409,409,409
426,426,426,427,426,426,425,425
433,433,433,430,433,433,436,436
