keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head
10,10,14,8,10,10,10,11
27,27,30,27,28,28,27,27
38,38,39,39,39,40,34,34
49,49,46,53,50,50,49,50
62,62,62,60,63,63,62,62
73,73,73,73,73,73,73,73
86,86,87,89,84,84,86,86
95,95,95,97,96,96,95,95
102,102,104,102,105,102,101,102
108,108,108,108,109,109,108,108
112,112,112,116,112,112,113,113
133,133,136,129,129,133,134,134
143,143,144,143,139,139,144,144
150,150,153,153,150,150,150,151
161,161,161,162,161,160,160,162
179,179,176,179,179,179,177,179
190,190,188,188,190,190,190,189
197,197,194,197,197,197,196,198
208,208,207,207,208,208,207,209
223,223,223,224,223,223,220,224
235,235,237,237,238,236,234,235
242,242,242,243,242,242,243,241
263,263,263,263,264,264,263,263
271,271,271,269,271,271,271,271
279,279,279,277,277,277,279,279
290,290,290,292,290,290,291,290
298,298,299,298,298,298,299,298
304,304,306,304,304,304,305,305
312,312,310,312,314,314,312,312
331,331,329,331,331,331,329,329
338,338,341,337,338,338,335,335
348,348,348,352,348,349,348,348
358,358,358,360,356,356,359,359
373,373,374,373,374,374,372,372
380,380,381,380,380,380,380,380
389,389,390,389,389,387,388,389
403,403,403,407,407,407,402,402
413,413,414,412,412,412,414,414
423,423,422,425,423,422,423,424
432,432,432,431,432,432,433,433
442,442,442,440,442,441,444,445
455,455,452,457,456,456,455,455
461,461,461,462,462,462,461,461
470,470,470,469,470,470,470,470
479,479,483,475,475,475,479,480
490,490,488,493,493,493,490,490
513,513,515,513,516,516,511,511
523,523,521,526,523,523,523,523
530,530,529,531,527,527,532,532
538,538,537,540,539,539,536,536
555,555,554,558,558,558,555,555
564,564,564,564,564,564,564,564
574,574,571,576,576,576,573,573
583,583,583,586,583,583,583,583
590,590,592,591,591,590,590,590
598,598,599,600,600,600,597,597
613,613,612,614,613,613,611,613
634,634,634,634,634,634,634,634
643,643,642,643,643,643,643,643
668,668,671,668,668,668,668,668
682,682,684,680,682,682,682,682
695,695,691,695,695,695,695,695
709,709,713,708,707,708,709,709
718,718,720,714,715,715,718,718
733,733,737,733,733,733,733,733
743,743,746,743,740,740,743,743
762,762,761,758,758,758,763,762
778,778,778,778,780,780,776,776
787,787,786,787,787,787,786,786
791,791,790,791,791,791,791,791
801,801,801,801,798,798,802,802
815,815,814,814,817,817,813,814
824,824,822,824,828,828,824,824
848,848,848,850,849,849,848,848
875,875,878,874,873,873,878,878
884,884,886,884,884,884,880,880
888,888,886,888,888,888,889,889
896,896,895,895,900,900,896,896
907,907,907,909,907,907,907,907
912,912,912,914,912,912,912,912
918,918,918,919,917,917,918,918
933,933,933,935,932,932,933,933
938,938,939,938,938,938,939,939
948,948,947,951,951,951,947,947
960,960,960,959,960,960,959,958
971,971,967,972,972,972,969,969
979,979,977,977,980,979,980,980
993,993,993,993,993,993,993,992
1000,1000,1003,1000,1000,1000,1001,1001
1007,1007,1011,1009,1004,1004,1007,1007
1021,1021,1019,1021,1019,1020,1021,1022
1031,1031,1031,1031,1031,1031,1031,1031
1041,1041,1039,1042,1044,1044,1041,1041
1048,1048,1045,1048,1048,1048,1048,1048
1053,1053,1053,1051,1051,1051,1054,1054
1067,1067,1067,1071,1070,1070,1067,1067
1077,1077,1078,1077,1077,1077,1081,1081
1086,1086,1087,1086,1086,1086,1086,1086
1090,1090,1090,1090,1090,1090,1090,1090
1100,1100,1101,1097,1096,1096,1100,1100
1108,1108,1106,1106,1111,1111,1108,1108
1116,1116,1112,1116,1117,1117,1116,1116
1130,1130,1131,1131,1126,1127,1130,1130
1137,1137,1138,1138,1137,1137,1136,1136
1143,1143,1143,1141,1143,1143,1143,1143
1150,1150,1150,1147,1150,1150,1150,1150
1171,1171,1173,1171,1171,1171,1167,1167
1177,1177,1177,1178,1177,1177,1177,1177
1190,1190,1191,1193,1190,1190,1189,1189
1204,1204,1205,1202,1206,1206,1203,1204
1215,1215,1213,1215,1215,1215,1215,1215
1231,1231,1231,1234,1231,1231,1229,1229
1244,1244,1242,1244,1240,1244,1244,1244
1263,1263,1263,1259,1260,1260,1263,1263
1275,1275,1271,1275,1271,1275,1275,1275
1296,1296,1296,1296,1292,1296,1296,1296
1307,1307,1310,1307,1307,1307,1307,1307
1314,1314,1317,1315,1314,1314,1314,1314
