intervalType,startFrame,endFrame,amplitude,probability
GazeFixation,0,10,2.401837,0.5871301
GazeFixation,10,23,14.49356,0.6842259
GazeShift,23,36,58.3298,0.889451
GazeFixation,36,57,23.7633,0.5972787
GazeShift,57,64,53.53199,0.9342984
GazeShift,64,77,74.85059,0.5950247
GazeFixation,77,92,12.47977,0.6899292
GazeFixation,92,108,13.14487,0.7021626
GazeShift,108,119,90.48019,0.9793938
GazeFixation,119,130,44.61058,0.506792
GazeShift,130,135,4.439767,0.5812764
GazeFixation,135,145,5.674886,0.8298367
GazeShift,145,152,6.720737,0.6629568
GazeFixation,152,157,1.84589,0.9402958
GazeFixation,157,167,1.708346,0.7590318
GazeShift,167,181,1.723628,0.5372055
GazeFixation,181,194,6.664092,0.5127695
GazeFixation,194,204,1.562227,0.6527454
GazeShift,204,218,15.37792,0.8122778
GazeFixation,218,224,3.052296,0.7202
GazeShift,224,239,10.30884,0.6176267
GazeFixation,239,244,4.951041,0.8253653
GazeShift,244,267,13.61777,0.5159503
GazeFixation,267,272,0.3658403,0.9875563
GazeFixation,272,285,5.038084,0.8533787
GazeShift,285,296,15.27104,0.8108429
GazeFixation,296,304,14.06639,0.6897277
GazeShift,304,312,40.64064,0.9246486
GazeFixation,312,317,19.08019,0.5873023
GazeFixation,317,332,18.96245,0.5111308
GazeShift,332,352,46.08547,0.6844767
GazeShift,352,360,25.24763,0.8204649
GazeShift,360,369,15.3788,0.781523
GazeFixation,369,375,2.087879,0.9184877
GazeShift,375,382,3.547844,0.5608642
GazeFixation,382,387,1.248352,0.8800459
GazeShift,387,407,7.274728,0.6772256
GazeFixation,407,413,3.512069,0.771937
GazeShift,413,422,6.34069,0.487119
GazeShift,422,430,8.962212,0.6645182
GazeFixation,430,442,2.182564,0.9090754
GazeShift,442,451,51.04244,0.9380673
GazeFixation,451,459,39.30721,0.5309528
GazeShift,459,469,37.80532,0.6332484
GazeShift,469,479,27.72013,0.8241585
GazeFixation,479,484,3.963337,0.880535
GazeShift,484,492,5.712441,0.5340923
GazeFixation,492,496,1.317153,0.9208151
GazeFixation,496,502,1.865086,0.7461102
GazeShift,502,520,20.56063,0.8226016
GazeFixation,520,526,6.162971,0.6230307
GazeFixation,526,541,5.085962,0.7340806
GazeShift,541,547,5.560985,0.6542441
GazeFixation,547,552,3.474122,0.8237057
GazeFixation,552,560,3.69438,0.8876513
GazeShift,560,571,8.852904,0.5421617
GazeFixation,571,575,6.381715,0.7929119
GazeFixation,575,592,19.65846,0.6233407
GazeFixation,592,601,5.998061,0.8095757
GazeFixation,601,609,3.730614,0.5474616
GazeFixation,609,626,6.39522,0.8172232
GazeShift,626,634,24.23538,0.8687762
GazeFixation,634,639,17.92138,0.645478
GazeShift,639,646,21.96764,0.8106513
GazeFixation,646,653,23.04304,0.5915527
GazeShift,653,670,46.24223,0.860685
GazeShift,670,679,20.95509,0.8236897
GazeShift,679,687,16.4777,0.7349042
GazeShift,687,700,8.762396,0.5572864
GazeFixation,700,707,3.295268,0.8315338
GazeFixation,707,721,20.30748,0.6234268
GazeShift,721,729,13.51759,0.7741413
GazeShift,729,746,44.7338,0.6488748
GazeFixation,746,758,21.57468,0.5809237
GazeShift,758,770,8.193763,0.5313711
GazeShift,770,792,79.04011,0.8169806
GazeFixation,792,799,9.401761,0.7431981
GazeFixation,799,808,9.641716,0.6996034
GazeFixation,808,822,6.296066,0.7630477
GazeFixation,822,833,6.222394,0.5450179
GazeFixation,833,842,1.937247,0.897434
GazeShift,842,849,8.766587,0.7196102
GazeFixation,849,871,12.46244,0.6586461
GazeFixation,871,878,14.02339,0.6745806
GazeFixation,878,889,6.935538,0.7143024
GazeShift,889,901,23.7026,0.8462303
GazeShift,901,913,11.99773,0.7147163
GazeFixation,913,934,17.40678,0.6023063
GazeShift,934,944,12.8759,0.7552662
GazeFixation,944,955,7.428616,0.7907981
GazeShift,955,964,14.39802,0.6597453
