intervalType,startFrame,endFrame,amplitude,probability
GazeFixation,0,3,1.848009,0.7326952
GazeShift,3,17,14.19962,0.6412987
GazeFixation,17,24,2.156584,0.546268
GazeShift,24,33,4.786019,0.6367273
GazeFixation,33,48,1.122742,0.6422423
GazeShift,48,57,16.83329,0.6572375
GazeShift,57,67,12.48274,0.5890566
GazeShift,67,85,25.05832,0.6555174
GazeFixation,85,93,4.1207,0.5518528
GazeShift,93,98,3.634588,0.5801009
GazeFixation,98,103,1.082636,0.8289445
GazeFixation,103,112,7.276157,0.7810177
GazeShift,112,117,9.307742,0.5498179
GazeShift,117,130,35.47313,0.5901198
GazeShift,130,140,43.9915,0.890553
GazeFixation,140,146,19.67639,0.6289012
GazeShift,146,160,19.69642,0.5191048
GazeShift,160,166,18.56007,0.7010787
GazeFixation,166,170,8.929796,0.7000924
GazeShift,170,179,18.45622,0.775088
GazeFixation,179,188,13.02995,0.7037694
GazeShift,188,194,11.21507,0.6598138
GazeFixation,194,198,3.389227,0.5273479
GazeShift,198,212,23.99479,0.5375111
GazeShift,212,219,44.88842,0.9416307
GazeShift,219,225,33.79331,0.5801592
GazeShift,225,236,35.78645,0.9549298
GazeShift,236,242,18.7126,0.7301856
GazeFixation,242,248,5.622251,0.5644138
GazeShift,248,259,30.99487,0.563741
GazeShift,259,265,48.50107,0.9663977
GazeFixation,265,275,15.4691,0.5497154
GazeShift,275,281,5.21158,0.5449932
