intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,15,9.777667,0.2450581,0.7549418
GazeShift,15,24,43.52022,0.9750581,0.02656131
GazeFixation,24,48,7.797018,0.2235982,0.7851274
GazeShift,48,57,31.1997,0.8592162,0.1412389
GazeFixation,57,134,7.055801,0.2692417,0.7305952
GazeShift,134,156,68.39124,0.8041008,0.1851616
GazeFixation,156,166,21.60961,0.4684764,0.5380394
GazeShift,166,173,45.93696,0.8193086,0.1787003
GazeFixation,173,228,12.52678,0.4086683,0.5859959
GazeShift,228,240,38.13261,0.8073305,0.1999162
GazeShift,240,270,44.03147,0.5579812,0.4310144
GazeShift,270,288,160.9705,0.9999679,0.005418423
GazeFixation,288,306,6.870241,0.1885232,0.8114768
GazeShift,306,314,71.68862,0.9701533,0.0551023
GazeFixation,314,324,20.53349,0.388771,0.6144682
GazeShift,324,337,32.19933,0.5559005,0.434383
GazeShift,337,379,39.05419,0.7449211,0.2781453
GazeShift,379,397,109.0546,0.7792839,0.2026823
GazeFixation,397,409,30.26309,0.4701343,0.5576963
GazeShift,409,426,62.5879,0.7617201,0.2132571
