intervalType,startFrame,endFrame,amplitude,probability
GazeFixation,0,8,0.63025,0.9178598
GazeFixation,8,14,1.656113,0.6742746
GazeFixation,14,30,9.565422,0.7375357
GazeShift,30,35,22.12742,0.7106296 --OK
GazeFixation,35,41,11.93154,0.7192494
GazeFixation,41,56,1.945111,0.8529481
GazeFixation,56,62,2.553513,0.5686889
GazeFixation,62,70,1.029456,0.9652097
GazeFixation,70,77,0.4809199,0.970768
GazeFixation,77,86,5.289354,0.8400697
GazeShift,86,90,1.675847,0.5215011 --maybe
GazeFixation,90,101,21.71242,0.6120409
GazeShift,101,106,57.65144,0.8189576 --OK
GazeShift,106,130,30.23035,0.5145296 --maybe
GazeShift,130,135,42.8703,0.7993997 --OK
GazeShift,135,147,35.52475,0.5352729 --maybe
GazeFixation,147,159,3.212479,0.8793466
GazeFixation,159,167,0.5218958,0.8343794
GazeFixation,167,174,9.14108,0.7663708
GazeShift,174,180,25.30686,0.6873925 --OK
GazeShift,180,186,23.6056,0.5379961 --OK
GazeShift,186,201,30.03819,0.575622 --OK
GazeFixation,201,210,5.450249,0.7718316
GazeFixation,210,215,2.833932,0.6182117
GazeFixation,215,223,2.548218,0.9195002
GazeShift,223,235,15.54952,0.6611639 --OK
GazeFixation,235,240,11.19438,0.7294743
GazeShift,240,249,37.24571,0.855566 --OK
GazeShift,249,270,63.34868,0.7296501 --OK
GazeShift,270,282,12.19501,0.6023639 --OK
GazeFixation,282,288,3.913365,0.8818473
GazeFixation,288,299,1.59127,0.5589392
GazeFixation,299,307,1.879719,0.6092996
GazeFixation,307,320,19.85989,0.5837399
GazeShift,320,325,12.70346,0.7340814 --maybe
GazeFixation,325,330,13.5723,0.6865612 ##maybe
GazeShift,330,338,33.19538,0.6921606 --OK
GazeShift,338,350,78.47974,0.8346723 --OK (but it should be joined with preceding gaze shift)
GazeShift,350,359,6.045848,0.5653077 --no
GazeFixation,359,373,11.36796,0.7051404
GazeShift,373,383,2.533968,0.5502273 --no
GazeFixation,383,391,9.223623,0.7265661
GazeShift,391,396,19.21607,0.6407895 --OK
GazeShift,396,416,41.37539,0.5778364 --maybe
GazeFixation,416,423,1.228601,0.8980864
GazeFixation,423,432,19.16863,0.5558169
GazeShift,432,440,24.13601,0.6252697 --OK
GazeFixation,440,446,7.221892,0.7038482
GazeShift,446,454,43.30154,0.7308374 --OK
GazeShift,454,462,38.25838,0.5267773 --OK
GazeFixation,462,474,26.14379,0.538381
GazeFixation,474,481,10.54766,0.6082594 ##maybe
GazeShift,481,492,16.68828,0.6914944 --OK
GazeFixation,492,498,7.401042,0.7284116
GazeFixation,498,505,3.856712,0.7391441
GazeShift,505,514,11.26257,0.510563 --no
GazeShift,514,521,14.74318,0.6345881 --OK
GazeFixation,521,530,18.00666,0.6081301 ##maybe
GazeShift,530,539,45.59647,0.7868658 --OK
GazeFixation,539,543,12.44537,0.6013981 ##no (should be a gaze shift)
GazeShift,543,549,16.42684,0.6253302 --maybe
GazeShift,549,555,17.13457,0.690644 --OK
GazeFixation,555,560,9.474548,0.7603214
GazeFixation,560,572,9.683711,0.7325044
GazeShift,572,589,26.05533,0.7324371 --no (probably thrown off by balance shift)
GazeFixation,589,597,19.66953,0.5062231 ##no (should be a gaze shift)
GazeFixation,597,603,7.141058,0.6862464
GazeShift,603,614,39.55914,0.7287188 --OK
GazeShift,614,631,39.62335,0.6583962 --OK
GazeFixation,631,635,4.088399,0.7626465
GazeFixation,635,645,10.93749,0.5770262
GazeFixation,645,649,0.5226451,0.6273708
GazeFixation,649,656,5.721458,0.5153592 ##no (should be a gaze shift)
GazeFixation,656,660,2.63158,0.9170981
GazeShift,660,675,5.903156,0.6540831 --maybe
GazeFixation,675,682,1.879615,0.9392741
GazeFixation,682,698,12.1916,0.7158842
GazeShift,698,704,74.41321,0.965964 --OK (but terminates too quickly)
GazeFixation,704,716,33.68687,0.5449702
GazeFixation,716,721,0.4801054,0.7463183
GazeFixation,721,730,8.285128,0.7809048
GazeShift,730,736,40.05164,0.9330464 --OK
GazeShift,736,749,32.99276,0.5258828 --maybe (but should have terminated around 740)
GazeFixation,749,763,8.983953,0.5149864
GazeFixation,763,771,9.121583,0.5896221
GazeFixation,771,781,9.620895,0.4880165 ##no (should have been a gaze shift)
GazeFixation,781,790,6.360881,0.660938
GazeFixation,790,797,2.54745,0.7399564
GazeFixation,797,810,0.7149112,0.9304662
GazeFixation,810,820,0.2185032,0.5863063
GazeFixation,820,836,14.09897,0.6893011
GazeShift,836,844,25.53314,0.6142716 --OK
GazeShift,844,857,35.25018,0.5113457 --OK
GazeFixation,857,868,11.64488,0.5231752
GazeFixation,868,879,7.428775,0.547561
GazeFixation,879,886,0.9600154,0.8838549
GazeFixation,886,893,3.749253,0.5661025
GazeFixation,893,901,7.830978,0.6825234
GazeFixation,901,913,4.743467,0.5254343
GazeShift,913,926,21.80436,0.6958524
GazeFixation,926,935,9.260834,0.7471646
GazeFixation,935,953,3.7171,0.8870451
GazeShift,953,957,16.98105,0.7790299
GazeFixation,957,964,11.33771,0.5900564
GazeFixation,964,971,11.56025,0.7134935
GazeShift,971,982,94.6478,0.8070511
GazeShift,982,991,23.38919,0.599327
GazeShift,991,1003,10.76657,0.7088897
GazeShift,1003,1022,24.4685,0.5240446
GazeShift,1022,1039,56.3923,0.6394265
GazeShift,1039,1048,28.05787,0.6449769
GazeShift,1048,1055,18.87757,0.7572203
GazeFixation,1055,1074,21.41917,0.5067593
GazeFixation,1074,1079,1.254294,0.7198422
GazeFixation,1079,1086,2.342596,0.9032154
GazeShift,1086,1094,1.737087,0.5479441
GazeFixation,1094,1105,3.55903,0.5595397
GazeFixation,1105,1116,3.426856,0.6231443
GazeFixation,1116,1124,2.103289,0.8032053
GazeFixation,1124,1131,3.198799,0.6768857
GazeShift,1131,1151,16.98285,0.5329559
GazeShift,1151,1157,5.876098,0.524035
GazeFixation,1157,1175,9.993634,0.5935825
GazeFixation,1175,1180,1.804827,0.896076
GazeFixation,1180,1188,1.42711,0.6540831
GazeFixation,1188,1206,17.93698,0.5811388
GazeShift,1206,1215,93.99191,0.9878489
GazeFixation,1215,1224,16.3977,0.6615781
GazeFixation,1224,1230,4.052266,0.5569133
GazeFixation,1230,1239,7.39595,0.7806649
GazeShift,1239,1245,37.91282,0.9271652
GazeFixation,1245,1256,20.80735,0.6145228
GazeFixation,1256,1262,2.58528,0.704047
GazeFixation,1262,1272,2.510143,0.7446445
GazeFixation,1272,1283,7.864619,0.6529952
GazeFixation,1283,1296,8.172649,0.5424917
GazeFixation,1296,1304,5.252439,0.7630112
GazeShift,1304,1320,27.23995,0.5907529
GazeFixation,1320,1324,16.64298,0.6588464
GazeShift,1324,1331,23.16251,0.6288517
GazeFixation,1331,1340,9.724434,0.5100494
GazeShift,1340,1349,3.605217,0.4999823
GazeShift,1349,1360,8.162361,0.5771899
GazeFixation,1360,1368,1.822631,0.9383564
GazeFixation,1368,1379,7.372034,0.702406
GazeFixation,1379,1384,0.8030819,0.6785588
GazeShift,1384,1402,12.29302,0.5113808
GazeFixation,1402,1409,1.516719,0.6897292
GazeFixation,1409,1414,2.850393,0.8543135
GazeFixation,1414,1418,4.720366,0.7617913
GazeFixation,1418,1434,2.342345,0.8186202
GazeFixation,1434,1444,0.9995593,0.8272841
GazeFixation,1444,1448,0.4159008,0.8544222
GazeFixation,1448,1458,1.163652,0.7757793
