intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,11,8.5364,0.222299,0.777701
GazeShift,11,27,54.36742,0.9347118,0.06749199
GazeFixation,27,51,42.95505,0.4977082,0.522671
GazeShift,51,61,51.15538,0.8098218,0.188212
GazeFixation,61,85,12.83939,0.3043826,0.6978889
GazeShift,85,95,52.7059,0.9312211,0.09823615
GazeFixation,95,133,35.05848,0.3866916,0.6159983
GazeShift,133,161,76.61696,0.8193119,0.200843
GazeFixation,161,178,2.353017,0.1400911,0.8571705
GazeShift,178,196,114.6977,0.9423406,0.06332768
GazeFixation,196,222,30.06817,0.4661301,0.5328742
GazeShift,222,242,59.50938,0.8034979,0.1945978
GazeFixation,242,271,18.46478,0.4226176,0.5975066
GazeShift,271,278,25.22776,0.7904501,0.193593
GazeFixation,278,302,25.15215,0.5078174,0.5118375
GazeShift,302,335,45.13252,0.7420428,0.2476467
GazeFixation,335,359,4.966805,0.4077727,0.5709434
GazeShift,359,372,12.18673,0.6981944,0.2926039
GazeFixation,372,388,22.63125,0.4779074,0.53135
GazeShift,388,403,17.28243,0.7325839,0.2791039
GazeFixation,403,412,12.86555,0.3215509,0.6848532
GazeShift,412,423,30.07565,0.6939016,0.2759436
GazeShift,423,433,37.70691,0.7942239,0.2346973
GazeShift,433,462,64.91917,0.7203359,0.2673377
GazeFixation,462,470,6.466537,0.4682159,0.545001
GazeShift,470,492,21.93962,0.7367088,0.2822171
GazeShift,492,512,12.11186,0.6616451,0.3604734
GazeFixation,512,537,9.891215,0.3891318,0.603646
GazeShift,537,565,69.23058,0.8786851,0.1285419
GazeShift,565,573,32.0011,0.6158786,0.3849831
GazeShift,573,614,84.20872,0.8831962,0.1239661
GazeShift,614,633,44.31629,0.5117958,0.4875265
GazeShift,633,644,89.69411,0.8657274,0.1380665
GazeShift,644,668,39.21338,0.5226479,0.4814784
GazeShift,668,681,81.78044,0.970921,0.05053821
GazeFixation,681,708,3.531582,0.1079767,0.8920233
GazeShift,708,718,63.79864,0.8537526,0.1557383
GazeFixation,718,733,1.752453,0.188465,0.827353
GazeShift,733,761,123.7289,0.8458364,0.1470008
GazeShift,761,787,32.17587,0.7944002,0.2087424
GazeFixation,787,801,8.325533,0.2519227,0.77477
GazeShift,801,825,28.36007,0.843949,0.1724097
GazeShift,825,848,48.87621,0.7610397,0.2109509
GazeFixation,848,875,20.69846,0.382261,0.6201453
GazeShift,875,886,28.73483,0.6665301,0.3327678
GazeShift,886,910,49.52893,0.8245152,0.1736811
GazeShift,910,936,36.61798,0.7437029,0.2353724
GazeFixation,936,947,7.872677,0.3639925,0.6209974
GazeShift,947,970,21.33173,0.7080414,0.2996664
GazeFixation,970,1007,14.80477,0.4345101,0.5650613
GazeShift,1007,1068,146.7398,0.9031102,0.1099517
GazeShift,1068,1088,26.50131,0.8519036,0.1767753
GazeFixation,1088,1098,12.61335,0.3242618,0.6754863
GazeShift,1098,1108,12.79513,0.7158799,0.2886863
GazeFixation,1108,1116,5.69385,0.2937652,0.6961955
GazeShift,1116,1204,81.60917,0.8589373,0.1572
GazeShift,1204,1231,27.41321,0.5171474,0.4753929
GazeShift,1231,1242,37.65532,0.8056394,0.204174
GazeFixation,1242,1263,12.43505,0.3764321,0.6105968
GazeShift,1263,1276,85.96163,0.8186325,0.1904565
GazeFixation,1276,1314,22.78636,0.3998865,0.6040494
