Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,AheadTargetPosition,HeadAlign,TorsoAlign,TurnBody
Norman,WaitForBusGaze1,26,47,96,RoadLeft,"0 0 0",0,0,True
Norman,WaitForBusGaze2,97,22,123,RoadRight,"0 0 0",0,0,True
Norman,WaitForBusGaze3,124,36,178,Watch,"0 0 0",0,0,True
Norman,WaitForBusGaze4,179,23,239,Sidewalk,"0 0 0",0,0,True
Norman,WaitForBusGaze5,240,25,278,Sidewalk,"0 0 0",0,0,True
Norman,WaitForBusGaze6,279,23,324,Sidewalk,"0 0 0",0,0,True
Norman,WaitForBusGaze7,325,30,392,RoadRight,"0 0 0",0,0,True
Norman,WaitForBusGaze8,393,14,426,SideWalk,"0 0 0",0,0,True
Norman,WaitForBusGaze9,427,18,452,RoadRight,"0 0 0",0,0,True
Norman,WaitForBusGaze10,453,47,521,SideWalk,"0 0 0",0,0,True
Norman,WaitForBusGaze11,522,50,601,RoadRight,"0 0 0",0,0,True
Norman,WaitForBusGaze12,602,32,659,RoadLeft,"0 0 0",0,0,True
Norman,WaitForBusGaze13,660,24,697,RoadLeft,"0 0 0",0,0,True
Norman,WaitForBusGaze14,698,15,729,RoadRight,"0 0 0",0,0,True
Norman,WaitForBusGaze15,730,16,769,SideWalk,"0 0 0",0,0,True
Norman,WaitForBusGaze16,770,32,835,SideWalk,"0 0 0",0,0,True
Norman,WaitForBusGaze17,836,40,902,SideWalk,"0 0 0",0,0,True
Norman,WaitForBusGaze18,903,34,950,Watch,"0 0 0",0,0,True
Norman,WaitForBusGaze19,951,15,970,RoadLeft,"0 0 0",0,0,True
Norman,WaitForBusGaze20,971,43,1023,SideWalk,"0 0 0",0,0,True
Norman,WaitForBusGaze21,1024,42,1129,RoadLeft,"0 0 0",0,0,True
Norman,WaitForBusGaze22,1130,43,1202,RoadLeft,"0 0 0",0,0,True
Norman,WaitForBusGaze23,1203,19,1236,RoadRight,"0 0 0",0,0,True
Norman,WaitForBusGaze24,1237,19,1302,SideWalk,"0 0 0",0,0,True
Norman,WaitForBusGaze25,1303,65,1373,RoadLeft,"0 0 0",0,0,True
Norman,WaitForBusGaze26,1374,40,1476,RoadLeft,"0 0 0",0,0,True
Norman,WaitForBusGaze27,1477,51,1553,RoadRight,"0 0 0",0,0,True
